# LK8000 RUSSIAN MESSAGES - RUS_MSG.TXT
# MASTER UPDATED:  130215
#
# This file is loaded on startup and all messages are stored internally.
# If you are translating these messages, try to respect sizes.
# The first _@Mn_  are the indexes, and you cannot change them!
#
# Please note that ENG_MSG.TXT is the english master language for LK8000
# and it should always exist. Do not change ENG_MSG.TXT!
#
# All lines that are empty, or starting with a # , are ignored.
# DEVELOPERS ADDING NEW MESSAGES HERE SHOULD REQUEST A NUMBERING SLOT TO PAOLO

_@M1_ "Разл"
_@M781_ "Варио зеленый+красный"
_@M782_ "Варио разноцветный"
_@M783_ "Варио красный+синий"
_@M784_ "Варио"
_@M785_ "Вариометр "
_@M786_ "Очень большой"
_@M787_ "Виртуальные кнопки "
_@M788_ "Объем "
_@M789_ "Предупр"
_@M790_ "Время предупрежд.*"
_@M791_ "Предупр"
_@M792_ "Предупреждения "
_@M793_ "Водоемы "
_@M794_ "Волны"
_@M795_ "Редактор точки"
_@M796_ "Информация о точке"
_@M797_ "Анализ точки"
_@M798_ "Редактор UTM точки"
_@M799_ "Примечания точек "
_@M800_ "Точка"
_@M801_ "Финишная\nточка"
_@M802_ "Следующ\nточка"
_@M803_ "Предыд\nточка"
_@M804_ "Старт\nточка"
_@M805_ "Ошибка структуры файла точек"
_@M806_ "Файл точек 1 "
_@M807_ "Файл точек 2 "
_@M808_ "Надписи точек "
_@M809_ "Редактор Точек"
_@M810_ "Точки исключены. Сохранить в любом случае?"
_@M811_ "Точки за пределами местности"
_@M812_ "Прогноз погоды"
_@M813_ "Параметры погоды"
_@M814_ "Масса "
_@M815_ "Белый план"
_@M816_ "Белый"
_@M817_ "Это будет финиш?"
_@M818_ "Настройки ветра"
_@M819_ "Стрелка ветра"
_@M820_ "Ветер по высотам"
_@M821_ "Нагрузка на крыло"
_@M822_ "Winpilot"
_@M823_ "Диапазон"
_@M824_ "Точки за картой "
_@M825_ "Желтый"
_@M826_ "Да все"
_@M827_ "Да"
_@M828_ "Ваш код"
_@M829_ "Зомби "
_@M830_ "Зона "
_@M831_ " Пробел "
_@M832_ "Добавить точку"
_@M833_ "резерв"
_@M834_ "поток"
_@M835_ "переход"
_@M836_ "долет"
_@M837_ "за границей местности"
_@M838_ "Первые 8"
_@M839_ "Первые 10"
_@M840_ "Первые 12"
_@M841_ "Размер шрифта "
_@M842_ "Крупный шрифт"
_@M843_ "Мелкий шрифт"
_@M850_ "ОТКРЫТИЕ СТАРТОВОГО ЦИЛИНДРА ЧЕРЕЗ 1 ЧАС"
_@M851_ "ОТКРЫТИЕ СТАРТОВОГО ЦИЛИНДРА ЧЕРЕЗ 30 МИНУТ"
_@M852_ "10 МИНУТ ДО НАЧАЛА"
_@M853_ "5 МИНУТ ДО НАЧАЛА"
_@M854_ "АКТИВНАЯ КАРТА ВКЛЮЧЕНА"
_@M855_ "АКТИВНАЯ КАРТА ВЫКЛЮЧЕНА"
_@M856_ "АВТОМАСШТАБ ВКЛЮЧЕН"
_@M857_ "АВТОМАСШТАБ ВЫКЛЮЧЕН"
_@M858_ "ПЕРЕМЕЩЕНИЕ НА КАРТЕ ВКЛЮЧЕНО"
_@M859_ "ПЕРЕМЕЩЕНИЕ НА КАРТЕ ВЫКЛЮЧЕНО"
_@M860_ "АВТО MACCREADY ВКЛЮЧЕНО"
_@M861_ "АВТО MACCREADY ВЫКЛЮЧЕНО"
_@M862_ "ЗАПИСЬ ТРЕКА ВКЛЮЧЕНА"
_@M863_ "ЗАПИСЬ ТРЕКА ВЫКЛЮЧЕНА"
_@M864_ "ЗАПИСЬ ТРЕКА NMEA ВКЛЮЧЕНА"
_@M865_ "ЗАПИСЬ ТРЕКА NMEA ВЫКЛЮЧЕНА"
_@M866_ "Качество"
_@M867_ "ПОМОШНИК ЦЕНТРОВКИ ВКЛЮЧЕН"
_@M868_ "ПОМОШНИК ЦЕНТРОВКИ ВЫКЛЮЧЕН"
_@M869_ "Внутри ВП"
_@M870_ "Выход"
_@M871_ "Ближайшее ВП"
_@M872_ "УВЕЛИЧЕНИЕ МАСШТАБА НА 20с"
_@M873_ "ВОЗВРАТ К НОРМАЛЬНОМУ МАСШТАБУ"
_@M874_ "Для запуска, нажмите на центр экрана"
_@M875_ "ВНИМАНИЕ: GPS ВЫДАЕТ НЕПРАВИЛЬНУЮ ДАТУ, И ВЕРОЯТНО НЕВЕРНОЕ ВРЕМЯ"
_@M876_ "Старт записи трека с заявлением"
_@M877_ "Настройки сохранены"
_@M878_ "Блокнот"
_@M879_ "ЦЕЛЬ ПРОСТО ИСЧЕЗЛА"
_@M880_ "РАЗБЛОКИРОВАТЬ текущую цель?"
_@M881_ "Выбор цели"
_@M882_ "УКАЗЫВАТЬ ЦЕЛЬ"
_@M883_ "ЦЕЛЬ ИСЧЕЗЛА!"
_@M884_ "БЛОКИРОВАТЬ эту цель?"
_@M885_ "Настройки"
_@M886_ "Расч зад"
_@M887_ "Уст. ветра"
_@M888_ "Предупр"
_@M889_ "Масса"
_@M890_ "Нет"
_@M891_ "Очистить старую задачу и загрузить"
_@M892_ "(вручную)"
_@M893_ "(авто)"
_@M894_ "Вкл"
_@M895_ "Принудит"
_@M896_ "Не прину"
_@M897_ "Авто"
_@M898_ "Все Выкл."
_@M899_ "Все Вкл."
_@M900_ "Загрузка файла ландшафта..."
_@M901_ "Загрузка названий местности..."
_@M902_ "Загрузка файла топологии..."
_@M903_ "Загрузка файла точек..."
_@M904_ "Тактический летный компьютер"
_@M905_ "Поток"
_@M906_ "Переход"
_@M907_ "Задача"
_@M908_ "Выбор"
_@M909_ "Поворот"
_@M910_ "Цель"
_@M911_ "Вид"
_@M912_ "[нет направления]"
_@M913_ "Эксперимент"
_@M914_ "[нет цели]"
_@M915_ "НЕ ДЛЯ ПОЛЕТОВ ПО ПРИБОРАМ"
_@M916_ "ВНИМАНИЕ, НЕТ ПОСАДОК!"
_@M917_ "Координата "
_@M918_ "Коорд"
_@M919_ "ШирДолг"
_@M920_ "ОШИБКА ЗАГРУЗКИ ФАЙЛА ПОЛЯРЫ!"
_@M921_ "отсчет"
_@M922_ "НЕ ЛЕТИМ"
_@M923_ "ВЕРНИСЬ за ЦИЛИНДР"
_@M924_ "ВЕРНИСЬ в ЦИЛИНДР"
_@M925_ "ЗАДАЧА НЕ НАЧАТА"
_@M926_ "ВЫ В ЦИЛИНДРЕ, ПОВЕРНИТЕ НА СЛЕДУЮЩУЮ ТОЧКУ, КОГДА БУДЕТЕ ГОТОВЫ"
_@M927_ "ОЖИДАНИЕ СОЕДИНЕНИЯ GPS"
_@M928_ "ПЕРЕЗАПУСК COM-ПОРТОВ"
_@M929_ "ОЖИДАНИЕ ПОЗИЦИИ GPS"
_@M930_ "ВЗЛЕТ"
_@M931_ "ПОСАДКА"
_@M932_ "ВЫШЕ ФИНАЛЬНОГО ГЛАЙДА"
_@M933_ "НИЖЕ ФИНАЛЬНОГО ГЛАЙДА"
_@M934_ "ФИНАЛЬНЫЙ ГЛАЙД ПЕРЕСЕКАЕТ РЕЛЬЕФ"
_@M935_ "ОЧИСТКА МЕТОК"
_@M936_ "Спортивный класс"
_@M937_ "Спортивный класс: "
_@M938_ "Соревновательный номер"
_@M939_ "Соревновательный номер: "
_@M940_ "Заливка "
_@M941_ "Только контур"
_@M942_ "Шаблоны"
_@M943_ "Прозрачная"
_@M944_ "Прозрачность "
_@M945_ "Схема, только границы"
_@M946_ "Полупрозрачный, только границы"

_@M950_ "Прозр. поля данных "
_@M951_ "Невозможно остановить RX поток!"
_@M952_ "Невозможно записать данные в порт!"
_@M953_ "Прозрачный"
_@M954_ "Сглаживание шрифтов "
_@M955_ "Чистый шрифт"
_@M956_ "Сглаживание"
# Page 1.5 name, keep short:
_@M957_ "Соревнование"

# ON/OFF in dialog windows (not Menu)
_@M958_ "Вкл"
_@M959_ "Выкл"

#
# Paragliding lock/unlock screen feature
#
_@M960_ "РАЗБЛОКИРОВАТЬ ЭКРАН?"
_@M961_ "БЛОКИРОВАТЬ ЭКРАН?"
# 962 max 35 characters!
_@M962_ "ЭКРАН БЛОКИРОВАН ДО ВЗЛЕТА"
_@M963_ "ДВОЙНОЙ КЛИК — ПРИНУДИТЕЛЬНАЯ РАЗБЛОКИРОВКА"
_@M964_ "ЭКРАН РАЗБЛОКИРОВАН"
#
# Menu buttons, MAX 8 character per line! Keep \n !
_@M965_ "РАЗБЛОК\nЭКРАН"
_@M966_ "БЛОК\nЭКРАН"

#
# GPS and COM port warnings
#
_@M970_ " GPS: НЕ ОПРЕДЕЛЕНО ПОЛОЖЕНИЕ "
_@M971_ " GPS: Нет Com-порта "
_@M972_ " GPS: Нет данных Rx "
_@M973_ " GPS не найден "
_@M974_ " нет связи с GPS "
_@M975_ " ошибка данных GPS "

#
# Infoboxes in Description / Tile order. 
# In titles use maximum 7 characters
#
_@M1001_ "Высота QNH"
_@M1002_ "ВЫСОТА"
_@M1003_ "Высота над землей"
_@M1004_ "ВЫС.нз"
_@M1005_ "Сред скоропод за 30 сек"
_@M1006_ "ВАР.30с"
_@M1007_ "Курс на следующую точку"
_@M1008_ "КУРС.т"
_@M1009_ "Качество за 20 сек"
_@M1010_ "АК.20с"
_@M1011_ "Качество от потока"
_@M1012_ "АК.от"
_@M1013_ "Скорость относительно земли"
_@M1014_ "СКОР"
_@M1015_ "Сред скоропод в посл потоке"
_@M1016_ "ВАР.пос"
_@M1017_ "Набор в последнем потоке"
_@M1018_ "НАБ.п"
_@M1019_ "Время в последнем потоке"
_@M1020_ "ВРЕМ.п"
_@M1021_ "Настройки MC"
_@M1022_ "MC"
_@M1023_ "Расстояние до след точки"
_@M1024_ "ДИСТ.т"
_@M1025_ "Высота прибыт на след точку"
_@M1026_ "ПРИБ.т"
_@M1027_ "Необх выс достиж след точки"
_@M1028_ "нВЫС.т"
_@M1029_ "Следующая точка"
_@M1030_ "СЛЕД"
_@M1031_ "Высота прибытия на финиш"
_@M1032_ "ПРИБ.ф"
_@M1033_ "Необх высота достиж финиша"
_@M1034_ "нВЫС.ф"
_@M1035_ "Средняя скорость в задаче"
_@M1036_ "СрСкЗад"
_@M1037_ "Расстояние до финиша"
_@M1038_ "ДИСТ.ф"
_@M1039_ "_Reserved 1"
_@M1040_ "OLD fLD"
_@M1041_ "Высота земли над ур моря"
_@M1042_ "Земля"
_@M1043_ "Сред скоропод в текущ потоке"
_@M1044_ "ВАР.тек"
_@M1045_ "Набор в текущ потоке"
_@M1046_ "НАБОР"
_@M1047_ "Текущий курс"
_@M1048_ "КУРС"
_@M1049_ "Вариометр"
_@M1050_ "ВАРИО"
_@M1051_ "Скорость ветра"
_@M1052_ "ВЕТ.скр"
_@M1053_ "Направление ветра"
_@M1054_ "ВЕТ.нпр"
_@M1055_ "AAТ время"
_@M1056_ "AATime"
_@M1057_ "AAТ макс дистанция"
_@M1058_ "AADmax"
_@M1059_ "AAТ мин дистанция"
_@M1060_ "AADmin"
_@M1061_ "AAТ макс скорость"
_@M1062_ "AAVmax"
_@M1063_ "AAТ мин скорость"
_@M1064_ "AAVmin"
_@M1065_ "Приборная возд скорость"
_@M1066_ "ПВС"
_@M1067_ "Барометрическая высота"
_@M1068_ "ВЫС.БАР"
_@M1069_ "Скорость МС"
_@M1070_ "скорMС"
_@M1071_ "Процент времени в наборе"
_@M1072_ "%НАБ"
_@M1073_ "Время полета"
_@M1074_ "ВРМ.плт"
_@M1075_ "Перегрузка G"
_@M1076_ "G"
_@M1077_ "_Reserved 2"
_@M1078_ "OLD nLD"
_@M1079_ "Местное время"
_@M1080_ "ВРЕМЯ"
_@M1081_ "Время GMT"
_@M1082_ "GMT"
_@M1083_ "Расчетное время до финиша"
_@M1084_ "рВРМ.ф"
_@M1085_ "Расчетное время до след точки"
_@M1086_ "рВРМ.т"
_@M1087_ "Скорость StF"
_@M1088_ "STF"
_@M1089_ "Нетто варио"
_@M1090_ "Нетто"
_@M1091_ "Время прибыт на финиш"
_@M1092_ "мВРМ.ф"
_@M1093_ "Время прибыт на сл.точку"
_@M1094_ "мВРМ.т"
_@M1095_ "Разница текущ-необход курс"
_@M1096_ "Поворот"
_@M1097_ "Температура за бортом"
_@M1098_ "Темпер"
_@M1099_ "Относительная влажность"
_@M1100_ "Влажн"
_@M1101_ "Прогноз температуры"
_@M1102_ "ПргнТмп"
_@M1103_ "AAТ расстояние к цели"
_@M1104_ "AADtgt"
_@M1105_ "AAТ скорость к цели"
_@M1106_ "AAVtgt"
_@M1107_ "Качество с вариометра"
_@M1108_ "АК.вар"
_@M1109_ "Истинная воздушн скорость"
_@M1110_ "ИВС"
_@M1111_ "Код команды"
_@M1112_ "КмндКод"
_@M1113_ "Курс на команду"
_@M1114_ "КмндКур"
_@M1115_ "Разница курсов на команду"
_@M1116_ "КмндПов"
_@M1117_ "Расстояние до команды"
_@M1118_ "КмндДис"
_@M1119_ "Мгновенная скорость в задаче"
_@M1120_ "МгСкЗад"
_@M1121_ "Расстояние домой"
_@M1122_ "ДИСТ.с"
_@M1123_ "Достигн скорость в задаче"
_@M1124_ "СКОР.з"
_@M1125_ "AAТ разница времени"
_@M1126_ "AAdT"
_@M1127_ "Сред скоропод всех потоков"
_@M1128_ "ВАР.все"
_@M1129_ "Расстояние с вариометра"
_@M1130_ "ДИСТ.вр"
_@M1131_ "Уровень заряда батареи"
_@M1132_ "БАТАРЕЯ"
_@M1133_ "Качество до финиша"
_@M1134_ "АК.ф"
_@M1135_ "Качество до Альт 1"
_@M1136_ "АК.А1"
_@M1137_ "Качество до Альт 2"
_@M1138_ "АК.А1"
_@M1139_ "Качество до лучшей посадки"
_@M1140_ "АК.лп"
_@M1141_ "Высота над стартом"
_@M1142_ "ВЫС.нс"
_@M1143_ "Качество усредненое"
_@M1144_ "АК.ср"
_@M1145_ "Качество до следующ точки"
_@M1146_ "АК.т"
_@M1147_ "Эшелон"
_@M1148_ "Эшелон"
_@M1149_ "Пройденное растояние"
_@M1150_ "ДИСТ.пр"
_@M1151_ "Высота прибыт на Альт 1"
_@M1152_ "ПРИБ.A1"
_@M1153_ "Высота прибыт на Альт 2"
_@M1154_ "ПРИБ.A2"
_@M1155_ "Высота прибыт на лучш посад"
_@M1156_ "ПРИБ.лп"
_@M1157_ "Направление домой"
_@M1158_ "ОТстарта"
_@M1159_ "Расстояние до зоны ВП"
_@M1160_ "ДИСТ.ВП"
_@M1161_ "Батареи внешних устройств"
_@M1162_ "ВншБат"
_@M1163_ "Батарея внешн устр-ва 1"
_@M1164_ "ВншБат1"
_@M1165_ "Батарея внешн устр-ва 2"
_@M1166_ "ВншБат2"
_@M1167_ "Одометр"
_@M1168_ "Oдометр"
_@M1169_ "Высота в других единицах"
_@M1170_ "aВЫС"
_@M1171_ "Высота над земл в др ед"
_@M1172_ "aВЫС.нз"
_@M1173_ "Высота GPS"
_@M1174_ "ВЫС.GPS"
_@M1175_ "Эквивалентный МС"
_@M1176_ "эквMC"
_@M1177_ "_Experimental1"
_@M1178_ "Exp1"
_@M1179_ "_Experimental2"
_@M1180_ "Exp2"
_@M1181_ "Заряд батареи"
_@M1182_ "Бат"

# LK Info pages infobox titles, maximum 7 chars
_@M1183_ "РучнMC"
_@M1184_ "АвтоMC"
_@M1185_ "Ветер"
_@M1186_ "эквПВС"
_@M1187_ "АК.тч"
_@M1188_ "ПРИБ"
_@M1189_ "ВАР.30с"
_@M1190_ "ПРИБ.Mc0"
_@M1191_ "ПРИБ.фMc0"
_@M1192_ "StDis"
_@M1193_ "RelAlt"
_@M1194_ "Вар"
_@M1195_ "БЛОК"
_@M1196_ "ДЕЛЬФИН"
_@M1197_ "Крен"
_@M1198_ ""
_@M1199_ "Спутн"
_@M1200_ "Старт"

# McCready mode $(MacCreadyMode) in menu macros, use 3-4 chrs maximum!
_@M1201_ "Ручн"
_@M1202_ "Авто"
# Map label modes $(MapLabelsToggleActionName) in menu macros
_@M1203_ "Точки"
_@M1204_ "Топо"
# $(VisualGlideToggleName) if extended VisualGlide is enabled
_@M1205_ "Движущ"

# Startup / Shutdown dialog texts
_@M1206_ "Инициализация..."
_@M1207_ "ОШИБКА. РАЗРЕШЕНИЕ НЕ ПОДДЕРЖИВАЕТСЯ!"
_@M1208_ "ОШИБКА. НЕТ ПАПКИ:"
_@M1209_ "ПРОВЕРЬТЕ УСТАНОВКУ!"
_@M1210_ "ПАРАПЛАНЕРНЫЙ РЕЖИМ"
_@M1211_ "СИМУЛЯЦИЯ"
_@M1212_ "АВТОМАТИЧЕСКАЯ ПОДСВЕТКА"
_@M1213_ "НЕТ УПРАВЛЕНИЯ ПОДСВЕТКОЙ"
_@M1214_ "АВТОМАТИЧЕСКАЯ МАКСИМАЛЬНАЯ ГРОМКОСТЬ"
_@M1215_ "НЕТ УПРАВЛЕНИЯ ЗВУКОМ"
_@M1216_ "Сканирование прогноза погоды"
_@M1217_ "Старт устройств"
_@M1218_ "Инициализация экрана"
_@M1219_ "Выключение, подождите..."
_@M1220_ "Выключение, сохранение трека..."
_@M1221_ "Выключение, сохранение профиля..."
_@M1222_ "Выключение, сохранение задачи..."

# Topology options reset msgbox
_@M1223_ "Настройки топологии установлены по умолчанию"

# Waypoint filters 1229 no more than 3 chrs!
_@M1224_ "Аэропорты"
_@M1225_ "Посадки"
_@M1226_ "Точки"
_@M1227_ "Файл 1"
_@M1228_ "Файл 2"
_@M1229_ "HDG"

# TeamCode dialog captions
_@M1230_ "Team Ref.: "
_@M1231_ "Team code: SET REF!"

# Waypoint edit dialog (same or less chars!)
_@M1232_ "Шир "
_@M1233_ "Широта "
_@M1234_ "Дол "
_@M1235_ "Долгота "

# Waypoint list flags (Home,Airport,Landable,Turnpoint) 1chr!
_@M1236_ "H"
_@M1237_ "A"
_@M1238_ "L"
_@M1239_ "T"

# dlgLKAirspaceWarning - Airspace warning messages
_@M1240_ "Вторжение"
_@M1241_ "Вылет"
_@M1242_ "Полет внутри Летной Зоны"
_@M1243_ "Ожидается вылет из Летной Зоны"
_@M1244_ "Приближается вылет из Летной Зоны"
_@M1245_ "Вылет из Летной Зоны"
_@M1246_ "Ожидается влет в Летную Зону"
_@M1247_ "Вторжение в Летную Зону"
_@M1248_ "Полет вне Летной Зоны"
_@M1249_ "Полет вне Нелетной Зоны"
_@M1250_ "Ожидается влет в Нелетную Зону"
_@M1251_ "Приближается влет в Нелетную Зону"
_@M1252_ "Вторжение в Нелетную Зону"
_@M1253_ "Полет внутри Неленой Зоны"
_@M1254_ "Вылет из Нелетной Зоны"
_@M1255_ "ЖЕЛТОЕ ПРЕДУПРЕЖДЕНИЕ"
_@M1256_ "КРАСНОЕ ПРЕДУПРЕЖДЕНИЕ"
_@M1257_ "вылет"
_@M1258_ "влет"
_@M1259_ "Слишком далеко, не рассчитывается"
_@M1260_ "ниже"
_@M1261_ "выше"
_@M1262_ "Сообщение"
_@M1263_ "Предупр.Уровень"
_@M1264_ "HDist"
_@M1265_ "VDist" 

# dlgAirspaceDetails - Airspace details
_@M1266_ "AckУровень"
_@M1267_ "Подтвердить Желтый"
_@M1268_ "Подтвердить Красный"
_@M1269_ "Отключить"
_@M1270_ "FLY-IN"
_@M1271_ "FLY-OUT"
_@M1272_ "Установить как Летную Зону?"
_@M1273_ "Установить как Нелетную Зону"

# dlgConfig - Airspace warnings
_@M1274_ "Предупр"
_@M1275_ "Параметры предупреждения ВП"
_@M1276_ "Параметры предупреждения ВП сохранены."
_@M1277_ "Время повтора сообщ.ВП "
_@M1278_ "Вертикальная граница "
_@M1279_ "Пауза сообщения "
_@M1280_ "Включить это ВП?"
_@M1281_ "Обозначения карты "
_@M1282_ "ВКЛЮЧИТЬ"
_@M1283_ "ОТКЛЮЧИТЬ"
_@M1284_ "Отключить это ВП?" 

# new airspace infobox
_@M1285_ "Вертикальный слой ВП"
_@M1286_ "Слой ВП" 

# airspace analysis dialog page
_@M1287_ "По полету"
_@M1288_ "По направл к след Тчк"
_@M1289_ "След Тчк"
_@M1290_ "По текущему направл"
_@M1291_ "Ближн ВП"
_@M1292_ "По направл к ближн ВП"
_@M1293_ "Сонар Вкл"
_@M1294_ "Сонар Выкл"
_@M1295_ "Вид сбоку"
 
# LK info page headers, try to use the same or less number of chars here,
# or test it with different screen reolutions and landscape/portrait mode too!
_@M1300_ "Дист"
_@M1301_ "Курс"
_@M1302_ "АК"
_@M1303_ "Приб"
_@M1304_ "Дист"
_@M1305_ "Курс"
_@M1306_ "АК"
_@M1307_ "ВысПриб"
_@M1308_ "Приб"
_@M1309_ "ОБЩ"
_@M1310_ "ИСТ"
_@M1311_ "ПОС"
_@M1312_ "ПОС"
_@M1313_ "AПТ"
_@M1314_ "АПТ"
_@M1315_ "ТЧК"

# Reserved waypoint names, comments
_@M1316_ "TAKEOFF"
_@M1317_ "THERMAL"
_@M1318_ "TEAMMATE"
_@M1319_ "TARGET"
_@M1320_ "LAST GOOD THERMAL"
_@M1321_ "TEAM MATE"
_@M1322_ "FLARM TARGET"

# Overlay multitarget prefixes, maximum 2chars!
_@M1323_ "T>"
_@M1324_ "B>"
_@M1325_ "1>"
_@M1326_ "2>"
_@M1327_ "H>"
_@M1328_ "L>"
_@M1329_ "M>"
_@M1330_ "F>"

# LK traffic page headers, try to use the same or less number of chars here,
# or test it with different screen reolutions and landscape/portrait mode too!
_@M1331_ "ТРФ"
_@M1332_ "Вар"
_@M1333_ "Варио"
_@M1334_ "Выс"

# Mapwindow texts
_@M1335_ " ЛАНДШАФТ?"
_@M1336_ " Л?"
_@M1337_ " АМШ"
_@M1338_ " ПАН"
_@M1339_ " iAUX"
_@M1340_ " ТРМ0"
_@M1341_ " НАВ1"
_@M1342_ " ВЫС2"
_@M1343_ " СТA3"
_@M1344_ " ЗАД4"
_@M1345_ " AЛТ5"
_@M1346_ " СИС6"
_@M1347_ " ПЛТ7"
_@M1348_ " ФИН8"
_@M1349_ " РЕЗ9"
_@M1350_ " ПОВТОР"
_@M1351_ " БАЛЛАСТ"

# LKUtils
_@M1352_ "УРОВЕНЬ ЗАРЯДА БАТАРЕИ"
_@M1353_ "КОНТРОЛЬ ЗАРЯДА ОТКЛЮЧЕН"
_@M1354_ "КРИТИЧЕСКИЙ УРОВЕНЬ ЗАРЯДА БАТАРЕИ!"
_@M1355_ "УРОВЕНЬ ЗАРЯДА БАТАРЕИ ОЧЕНЬ НИЗКИЙ!"
_@M1356_ "УРОВЕНЬ ЗАРЯДА БАТАРЕИ НИЗКИЙ!"
_@M1357_ "ПРЕДУПРЕЖДЕНИЯ О ЗАРЯДЕ БАТАРЕИ ОТКЛЮЧЕНЫ"

# Logger task declaration
_@M1400_ "Заявление задачи"
_@M1401_ "Включение режима заявления"
_@M1402_ "Выключение режима заявления"
_@M1403_ "Отправка заявления"
_@M1404_ "Открытие соединения"
_@M1405_ "Тест соединения"
_@M1406_ "Закрытие соединения"
_@M1410_ "Неизвестная ошибка"
_@M1411_ "Устройство не подключено!"
_@M1412_ "Недостаточно точек!"
_@M1413_ "Слишком много точек!"
_@M1414_ "Устройство не отвечает!"
_@M1415_ "Заявление не подтверждено!"
_@M1420_ "Ошибка при заявлении"
_@M1421_ "Описание задачи"
_@M1422_ "Старт и Финиш"

_@M1423_ "Запрещено во время полета!"

#
# Variometer Bar
#
_@M1424_ "Режим шкалы варио "
_@M1425_ "Варио в потоках и на переходе"
_@M1426_ "Варио в потоках, Нетто на переходе"
_@M1427_ "Варио в потоках, STF на переходе"

#
# Contests
#
_@M1450_ "Соревнование"
_@M1451_ "Изменить"
_@M1452_ "Обнаружен старт свободного полета"

#
# Contest infoboxes, full name and abbreviated name for boxes
# We need OLC ahead of full names, to keep ordering in infobox list during 
configuration
#
# League predicted is not used
#
_@M1455_ "OLC Классик Дистанция"
_@M1456_ "OLC дист"
_@M1457_ "OLC FAI Треугольник Дистанция"
_@M1458_ "FAI дист"
_@M1459_ "OLC Лига Дистанция"
_@M1460_ "ЛИГ дист"
_@M1461_ "OLC FAI 3 TPs Дистанция"
_@M1462_ "3TP дист"

_@M1463_ "OLC Классик*Прогноз Дистанции"
_@M1464_ "OLC*дист"
_@M1465_ "OLC FAI Треугольник*Прогноз Дистанции"
_@M1466_ "FAI*дист"
_@M1467_ "OLC Лига*Прогноз Дистанции"
_@M1468_ "ЛИГ*дист"
_@M1469_ "OLC FAI 3 TPs*Прогноз Дистанции"
_@M1470_ "3TP*дист"

_@M1471_ "OLC Классик Скорость"
_@M1472_ "OLC скор"
_@M1473_ "OLC FAI Треугольник Скорость"
_@M1474_ "FAI скор"
_@M1475_ "OLC Лига Скорость"
_@M1476_ "ЛИГ скор"
_@M1477_ "OLC FAI 3 TPs Скорость"
_@M1478_ "3TP скор"

_@M1479_ "OLC Классик*Прогноз Скорость"
_@M1480_ "OLC*скор"
_@M1481_ "OLC FAI Треугольник*Прогноз Скорость"
_@M1482_ "FAI*скор"
_@M1483_ "OLC Лига*Прогноз Скорость"
_@M1484_ "ЛИГ*скор"
_@M1485_ "OLC FAI 3 TPs*Прогноз Скорость"
_@M1486_ "3TP*скор"

_@M1487_ "OLC Класскик Очки"
_@M1488_ "OLC очки"
_@M1489_ "OLC FAI Треугольник Очки"
_@M1490_ "FAI очки"
_@M1491_ "OLC Лига Очки"
_@M1492_ "ЛИГ очки"
_@M1493_ "OLC FAI 3 TPs Очки"
_@M1494_ "3TP очки"

_@M1495_ "OLC Классик*Прогноз Очки"
_@M1496_ "OLC*очки"
_@M1497_ "OLC FAI Треугольник*Прогноз Очки"
_@M1498_ "FAI*очки"
_@M1499_ "OLC League*Прогноз Очки"
_@M1500_ "ЛИГ*очки"
_@M1501_ "OLC FAI 3 TPs*Прогноз Очки"
_@M1502_ "3TP*очки"

_@M1503_ "OLC Дополн. Очки"
_@M1504_ "ДОП очки"
_@M1505_ "OLC Дополн.*Прогноз Очки"
_@M1506_ "ДОП*очки"

# #############################
# NEW 2.4 messages
# #############################

# Device name for "no device"
_@M1600_ "ОТКЛЮЧИТЬ"
# Ex-963, new message for screen unlock
_@M1601_ "Дважды нажмите на нижний правый угол, чтобы РАЗБЛОКИРОВАТЬ"

# Config system menu page 
_@M1602_ "Нижняя панель"
_@M1603_ "Инфо страницы"
_@M1604_ "Настройка xxxx"
_@M1605_ "Настройка Нижней панели"
_@M1606_ "Настройка Инфо Страниц"
_@M1607_ "Сохранение настроек Полей Данных"
_@M1608_ "Сохранение настроек Инфо Страниц"

# Config InfoPages
_@M1610_ "1.1 Переход "
_@M1611_ "1.2 Поток "
_@M1612_ "1.3 Задача "
_@M1613_ "1.4 Выбор "
_@M1614_ "1.5 Соревн "
_@M1615_ "1.6 Повор "
_@M1616_ "2.1 АПТ "
_@M1617_ "2.2 ПОС "
_@M1618_ "2.3 ТЧК "
_@M1619_ "2.4 ВП "
_@M1620_ "3.1 ОБЩ "
_@M1621_ "3.2 ИСТ "
_@M1622_ "3.3 ПТК "

# New airspace messages
_@M1630_ "Высота превышения "

# Navboxes
_@M1640_ "Положение закрылков"
_@M1641_ "Закрылки"

# Header nearest Airspaces
_@M1642_ "ВП"

_@M1643_ "ВКЛЮЧЕНО"

_@M1644_ "Высота прибытия домой"
_@M1645_ "ПРИБ.дом"

# Menu Config 15, Alarms
_@M1646_ "15 Сигнал"
_@M1647_ "Макс. Высота 1 "
_@M1648_ "Макс. Высота 2 "
_@M1649_ "Макс. Высота 3 "

# "ALARM x ALTITUDE 1234"   warning message
_@M1650_ "СИГНАЛ"
_@M1651_ "ВЫСОТА"

# customkey for airspace analysis
_@M1652_ "Анализ ВП"
_@M1653_ "Инфо страница 2.4 ВП"

# Airspace details buttons
_@M1654_ "ВЫБОР"
_@M1655_ "АНАЛИЗ"
_@M1656_ "*ИЗБРАННОЕ*"

