# LK8000 UKRAINIAN MESSAGES - UKR_MSG.TXT
# MASTER UPDATED:  150517
#
# This file is loaded on startup and all messages are stored internally.
# If you are translating these messages, try to respect sizes.
# The first _@Mn_  are the indexes, and you cannot change them!
#
# Please note that ENG_MSG.TXT is the english master language for LK8000
# and it should always exist. Do not change ENG_MSG.TXT!
#
# All lines that are empty, or starting with a # , are ignored.
# DEVELOPERS ADDING NEW MESSAGES HERE SHOULD REQUEST A NUMBERING SLOT TO PAOLO

@M1_ "Різн"
_@M778_ "Позначення білим"
_@M779_ "Змінний"
_@M780_ "Варіо чорний"
_@M781_ "Варіо зелений+червоний"
_@M782_ "Варіо різнокольоровий"
_@M783_ "Варіо червоний+синій"
_@M784_ "Варіо"
_@M785_ "Варіометр "
_@M786_ "Дуже великий"
_@M787_ "Віртуальні кнопки "
_@M788_ "Об'єм "
_@M789_ "Попередж"
_@M790_ "Час попередж.*"
_@M791_ "Попередж"
_@M792_ "Попередження "
_@M793_ "Водойми "
_@M794_ "Хвилі"
_@M795_ "Редактор точки"
_@M796_ Інформація про точку"
_@M797_ "Аналіз точки"
_@M798_ "Редактор UTM точки"
_@M799_ "Примітки точок "
_@M800_ "Точка"
_@M801_ "Фінішна\nточка"
_@M802_ "Наступна\nточка"
_@M803_ "Попередня\nточка"
_@M804_ "Старт\nточка"
_@M805_ "Помилка структури файлу точок"
_@M806_ "Файл точок 1 "
_@M807_ "Файл точок 2 "
_@M808_ "Написи точок "
_@M809_ "Редактор Точок"
_@M810_ "Точки виключені. Всеодно зберегти?"
_@M811_ "Точки за межами місцевості"
_@M812_ "Прогноз погоди"
_@M813_ "Параметри погоди"
_@M814_ "Маса "
_@M815_ "Білий план"
_@M816_ "Білий"
_@M817_ "Це буде фініш?"
_@M818_ "Налаштунки вітру"
_@M819_ "Стрілка вітру"
_@M820_ "Вітер по висотам"
_@M821_ "Навантаження на крило"
_@M822_ "Winpilot"
_@M823_ "Діапазон"
_@M824_ "Точки за картою "
_@M825_ "Жовтий"
_@M826_ "Так все"
_@M827_ "Так"
_@M828_ "Ваш код"
_@M829_ "Зомбі "
_@M830_ "Зона "
_@M831_ " Пробіл "
_@M832_ "Добавити точку"
_@M833_ "резерв"
_@M834_ "поток"
_@M835_ "перехід"
_@M836_ "доліт"
_@M837_ "за межами місцевості"
_@M838_ "Перші 8"
_@M839_ "Перші 10"
_@M840_ "Перші 12"
_@M841_ "Розмір шрифту "
_@M842_ "Великий шрифт"
_@M843_ "Малий шрифт"
_@M850_ "ВІДКРИТТЯ СТАРТОВОГО ЦИЛІНДРУ ЧЕРЕЗ 1 ГОД"
_@M851_ "ВІДКРИТТЯ СТАРТОВОГО ЦИЛІНДРУ ЧЕРЕЗ 30 ХВ"
_@M852_ "10 ХВИЛИН ДО ПОЧАТКУ"
_@M853_ "5 ХВИЛИН ДО ПОЧАТКУ"
_@M854_ "АКТИВНА КАРТА ВВІМКНЕНА"
_@M855_ "АКТИВНА КАРТА ВИМКНЕНА"
_@M856_ "АВТОМАСШТАБ ВВІМКНЕНО"
_@M857_ "АВТОМАСШТАБ ВИМКНЕННО"
_@M858_ "ПЕРЕМІЩЕННЯ НА КАРТІ ВВІМКНЕНО"
_@M859_ "ПЕРЕМІЩЕННЯ НА КАРТІ ВИМКНЕННО"
_@M860_ "АВТО MACCREADY ВВІМКНЕНО"
_@M861_ "АВТО MACCREADY ВИМКНЕННО"
_@M862_ "ЗАПИС ТРЕКУ ВВІМКНЕНО"
_@M863_ "ЗАПИС ТРЕКУ ВИМКНЕННО"
_@M864_ "ЗАПИС ТРЕКУ NMEA ВВІМКНЕНО"
_@M865_ "ЗАПИС ТРЕКУ NMEA ВИМКНЕННО"
_@M866_ "Якість"
_@M867_ "ПОМІЧНИК ЦЕНТРОВКИ ВВІМКНЕНО"
_@M868_ "ПОМІЧНИК ЦЕНТРОВКИ ВИМКНЕННО"
_@M869_ "Всередині ПП"
_@M870_ "Вихід"
_@M871_ "Найближчий ПП"
_@M872_ "ЗБІЛЬШЕННЯ МАСШТАБУ НА 20с"
_@M873_ "ПОВЕРНЕННЯ ДО НОРМАЛЬНОГО МАСШТАБУ"
_@M874_ "Для запуску натисніть на центр екрану"
_@M875_ "УВАГА: GPS ВИДАЄ НЕПРАВИЛЬНУ ДАТУ, Й ЙМОВІРНО НЕВІРНИЙ ЧАС"
_@M876_ "Старт запису треку з заявою"
_@M877_ "Налаштування збережено"
_@M878_ "Блокнот"
_@M879_ "ЦІЛЬ ПРОСТО ЗНИКЛА"
_@M880_ "РОЗБЛОКУВАТИ поточну ціль?"
_@M881_ "Вибір цілі"
_@M882_ "ВКАЗУВАТИ ЦІЛЬ"
_@M883_ "ЦЕЛЬ ЗНИКЛА!"
_@M884_ "БЛОКУВАТИ цю ціль?"
_@M885_ "Налаштування"
_@M886_ "Розр здч"
_@M887_ "Налашт. вітру"
_@M888_ "Попередж"
_@M889_ "Маса"
_@M890_ "Ні"
_@M891_ "Очистити стару задачу и завантажити"
_@M892_ "(вручну)"
_@M893_ "(авто)"
_@M894_ "Ввімкн"
_@M895_ "Примусов"
_@M896_ "Не примус"
_@M897_ "Авто"
_@M898_ "Все Вимкн."
_@M899_ "Все Ввімкн."
_@M900_ "Завантаження файлу ландшафту..."
_@M901_ "Завантаження назв місцевості..."
_@M902_ "Завантаження файлу топології..."
_@M903_ "Завантаження файлу точок..."
_@M904_ "Тактичний льотний компютер"
_@M905_ "Потік"
_@M906_ "Перехід"
_@M907_ "Задача"
_@M908_ "Вибір"
_@M909_ "Поворот"
_@M910_ "Ціль"
_@M911_ "Вид"
_@M912_ "[нема напрм]"
_@M913_ "Експеримент"
_@M914_ "[нема цілі]"
_@M915_ "НЕ ДЛЯ ПОЛЬОТіВ ПО ПРИЛАДАХ"
_@M916_ "УВАГА! НЕМА ПОСАДОК!"
_@M917_ "Координата "
_@M918_ "Коорд"
_@M919_ "ШирДовг"
_@M920_ "ПОМИЛКА ЗАВАНТАЖЕННЯ ФАЙЛУ ПОЛЯРИ!"
_@M921_ "відлік"
_@M922_ "НЕ ЛЕТИМО"
_@M923_ "ВЕРНИСЬ за ЦИЛІНДР"
_@M924_ "ВЕРНИСЬ в ЦИЛІНДР"
_@M925_ "ЗАДАЧУ НЕ ПОЧАТО"
_@M926_ "ВИ В ЦИЛІНДРІ, ПОВЕРНІТЬ НА НАСТУПНУ ТОЧКУ, КОЛИ БУДЕТЕ ГОТОВІ"
_@M927_ "ОЧІКУВАННЯ З'ЄДНАННЯ GPS"
_@M928_ "ПЕРЕЗАПУСК COM-ПОРТІВ"
_@M929_ "ОЧІКУВАННЯ ПОЗИЦІЇ GPS"
_@M930_ "ВЗЛІТ"
_@M931_ "ПОСАДКА"
_@M932_ "ВИЩЕ ФІНАЛЬНОГО ГЛАЙДУ"
_@M933_ "НИЖЧЕ ФІНАЛЬНОГО ГЛАЙДУ"
_@M934_ "ФІНАЛЬНИЙ ГЛАЙД ПЕРЕТИНАЄ РЕЛЬЄФ"
_@M935_ "ОЧИЩЕННЯ МІТОК"
_@M936_ "Спортивний клас"
_@M937_ "Спортивний клас: "
_@M938_ "Змагальний номер"
_@M939_ "Змагальний номер: "
_@M940_ "Заливка "
_@M941_ "Тільки контур"
_@M942_ "Шаблони"
_@M943_ "Прозора"
_@M944_ "Прозорість "
_@M945_ "Схема, тільки межі"
_@M946_ "Напівпрозорий, тільки межі"

_@M950_ "Прозор. поля даних "
_@M951_ "Неможливо зупинити RX потік!"
_@M952_ "Неможливо записати дані в порт!"
_@M953_ "Прозорий"
_@M954_ "Зглажування шрифтів "
_@M955_ "Чистий шрифт"
_@M956_ "Зглажування"
# Page 1.5 name, keep short:
_@M957_ "Змагання"

# ON/OFF in dialog windows (not Menu)
_@M958_ "Ввімкн"
_@M959_ "Вимкн"

#
# Paragliding lock/unlock screen feature
#
_@M960_ "РОЗБЛОКУВАТИ ЕКРАН?"
_@M961_ "БЛОКУВАТИ ЕКРАН?"
# 962 max 35 characters!
_@M962_ "ЕКРАН БЛОКОВАНО ДО ВЗЛЬОТУ"
_@M963_ "ДВІЙНИЙ КЛІК — ПРИМУСОВЕ РАЗБЛОКУВАННЯ"
_@M964_ "ЕКРАН РОЗБЛОКОВАНО"
#
# Menu buttons, MAX 8 character per line! Keep \n !
_@M965_ "РОЗБЛОК\nЕКРАН"
_@M966_ "БЛОК\nЕКРАН"
_@M967_ "Зміни ПП "
_@M968_ "тільки за цей час"
_@M969_ "стійкий"

#
# GPS and COM port warnings
#
_@M970_ " GPS: НЕ ЗНАЙДЕНО ПОЛОЖЕННЯ "
_@M971_ " GPS: Нема Com-порта "
_@M972_ " GPS: Нема даних Rx "
_@M973_ " GPS не знайдено "
_@M974_ " нема звязку з GPS "
_@M975_ " помилка даних GPS "

#
# Infoboxes in Description / Tile order. 
# In titles use maximum 7 characters
#
_@M1001_ "Висота QNH"
_@M1002_ "ВИСОТА"
_@M1003_ "Висота над землею"
_@M1004_ "ВИС.нз"
_@M1005_ "Серд шв.підйм за 30 сек"
_@M1006_ "ВАР.30с"
_@M1007_ "Курс на наступну точку"
_@M1008_ "КУРС.т"
_@M1009_ "Якість за 20 сек"
_@M1010_ "АЯ.20с"
_@M1011_ "Якість від потоку"
_@M1012_ "АЯ.вд"
_@M1013_ "Швидкість відносно землі"
_@M1014_ "ШВДК"
_@M1015_ "Серд шв.підйм в крайн потоці"
_@M1016_ "ВАР.пос"
_@M1017_ "Набір в крайнім потоці"
_@M1018_ "НАБ.п"
_@M1019_ "Час в крайнім потоці"
_@M1020_ "ЧАС.п"
_@M1021_ "Налаштування MC"
_@M1022_ "MC"
_@M1023_ "Відстань до наст точки"
_@M1024_ "ДИСТ.т"
_@M1025_ "Висота прибут на наст точку"
_@M1026_ "ПРИБ.т"
_@M1027_ "Необх вис досяг наст точки"
_@M1028_ "нВИС.т"
_@M1029_ "Наступна точка"
_@M1030_ "НАСТ"
_@M1031_ "Висота прибуття на фініш"
_@M1032_ "ПРИБ.ф"
_@M1033_ "Необх висота досяг фінішу"
_@M1034_ "нВИС.ф"
_@M1035_ "Середня швидкість в задачі"
_@M1036_ "СрШвЗдч"
_@M1037_ "Відстань до фінішу"
_@M1038_ "ДИСТ.ф"
_@M1039_ "_Reserved 1"
_@M1040_ "OLD fLD"
_@M1041_ "Висота землі над рвн моря"
_@M1042_ "Земля"
_@M1043_ "Сер. шв.підйм в дійсн потоці"
_@M1044_ "ВАР.дсн"
_@M1045_ "Набір в дійсному потоці"
_@M1046_ "НАБІР"
_@M1047_ "Дійсний курс"
_@M1048_ "КУРС"
_@M1049_ "Варіометр"
_@M1050_ "ВАРІО"
_@M1051_ "Швидкість вітру"
_@M1052_ "ВІТ.швд"
_@M1053_ "Напрямок вітру"
_@M1054_ "ВІТ.нпр"
_@M1055_ "AAТ час"
_@M1056_ "AATime"
_@M1057_ "AAТ макс дистанція"
_@M1058_ "AADmax"
_@M1059_ "AAТ мін дистанція"
_@M1060_ "AADmin"
_@M1061_ "AAТ макс швидкість"
_@M1062_ "AAVmax"
_@M1063_ "AAТ мін швидкість"
_@M1064_ "AAVmin"
_@M1065_ "Приборна повітр швдк"
_@M1066_ "ППШ"
_@M1067_ "Барометрична висота"
_@M1068_ "ВИС.БАР"
_@M1069_ "Швидкість МС"
_@M1070_ "швдкMС"
_@M1071_ "Процент часу в наборі"
_@M1072_ "%НАБ"
_@M1073_ "Час польоту"
_@M1074_ "ЧАС.плт"
_@M1075_ "Перегрузка G"
_@M1076_ "G"
_@M1077_ "_Reserved 2"
_@M1078_ "OLD nLD"
_@M1079_ "Місцевий час"
_@M1080_ "ЧАС"
_@M1081_ "Час GMT"
_@M1082_ "GMT"
_@M1083_ "Розрахунковий час до фінішу"
_@M1084_ "рЧАС.ф"
_@M1085_ "Розрахунковий час до наст точки"
_@M1086_ "рЧАС.т"
_@M1087_ "Швидкість StF"
_@M1088_ "STF"
_@M1089_ "Нето варіо"
_@M1090_ "Нето"
_@M1091_ "Час прибуття на фініш"
_@M1092_ "мЧАС.ф"
_@M1093_ "Час прибут на наст.точку"
_@M1094_ "мЧАС.т"
_@M1095_ "Різниця дійсн-необхід курс"
_@M1096_ "Поворот"
_@M1097_ "Температура за бортом"
_@M1098_ "Темпер"
_@M1099_ "Відносна вологість"
_@M1100_ "Волог"
_@M1101_ "Прогноз температури"
_@M1102_ "ПргнТмп"
_@M1103_ "AAТ відстань до цілі"
_@M1104_ "AADtgt"
_@M1105_ "AAТ швидкість до цілі"
_@M1106_ "AAVtgt"
_@M1107_ "Якість з варіометра"
_@M1108_ "АЯ.вар"
_@M1109_ "Істинна повітр швидкість"
_@M1110_ "ІПШ"
_@M1111_ "Код команди"
_@M1112_ "КмндКод"
_@M1113_ "Курс на команду"
_@M1114_ "КмндКур"
_@M1115_ "Різниця курсів на команду"
_@M1116_ "КмндПов"
_@M1117_ "Відстань до команди"
_@M1118_ "КмндДис"
_@M1119_ "Миттєва швидкість в задачі"
_@M1120_ "МтШвЗдч"
_@M1121_ "Відстань додому"
_@M1122_ "ДИСТ.з"
_@M1123_ "Досягн швидкість в задачі"
_@M1124_ "ШВ.здч"
_@M1125_ "AAТ різниця часу"
_@M1126_ "AAdT"
_@M1127_ "Ср шв.підійм. всіх потоків"
_@M1128_ "ВАР.всі"
_@M1129_ "Відстань з варіометра"
_@M1130_ "ДИСТ.вр"
_@M1131_ "Рівень заряду батареї"
_@M1132_ "БАТАРЕЯ"
_@M1133_ "Якість до фінішу"
_@M1134_ "АЯ.ф"
_@M1135_ "Якість до Альт 1"
_@M1136_ "АЯ.А1"
_@M1137_ "Якість до Альт 2"
_@M1138_ "АЯ.А1"
_@M1139_ "Якість до кращої посадки"
_@M1140_ "АЯ.кп"
_@M1141_ "Висота над стартом"
_@M1142_ "ВИС.нс"
_@M1143_ "Якість середня"
_@M1144_ "АЯ.ср"
_@M1145_ "Якість до наст точки"
_@M1146_ "АЯ.т"
_@M1147_ "Ешелон"
_@M1148_ "Ешелон"
_@M1149_ "Пройдена відстань"
_@M1150_ "ДИСТ.пр"
_@M1151_ "Висота прибут на Альт 1"
_@M1152_ "ПРИБ.A1"
_@M1153_ "Висота прибут на Альт 2"
_@M1154_ "ПРИБ.A2"
_@M1155_ "Висота прибут на крщ посад"
_@M1156_ "ПРИБ.кп"
_@M1157_ "Напрямок додому"
_@M1158_ "ВІДстарту"
_@M1159_ "Відстань до зони ПП"
_@M1160_ "ДИСТ.ПП"
_@M1161_ "Батареї зовнішніх пристроїв"
_@M1162_ "ЗвнБат"
_@M1163_ "Батарея зовн пристр 1"
_@M1164_ "ЗвнБат1"
_@M1165_ "Батарея зовн пристр 2"
_@M1166_ "ЗвнБат2"
_@M1167_ "Одометр"
_@M1168_ "Oдометр"
_@M1169_ "Висота в інших одиницях"
_@M1170_ "aВИС"
_@M1171_ "Висота над земл в ін од"
_@M1172_ "aВИС.нз"
_@M1173_ "Висота GPS"
_@M1174_ "ВИС.GPS"
_@M1175_ "Еквівалентний МС"
_@M1176_ "еквMC"
_@M1177_ "_Experimental1"
_@M1178_ "Exp1"
_@M1179_ "_Experimental2"
_@M1180_ "Exp2"
_@M1181_ "Заряд батареї"
_@M1182_ "Бат"

# LK Info pages infobox titles, maximum 7 chars
_@M1183_ "РучнMC"
_@M1184_ "АвтоMC"
_@M1185_ "Вітер"
_@M1186_ "еквПВС"
_@M1187_ "АЯ.тч"
_@M1188_ "ПРИБ"
_@M1189_ "ВАР.30с"
_@M1190_ "ПРИБ.Mc0"
_@M1191_ "ПРИБ.фMc0"
_@M1192_ "StDis"
_@M1193_ "RelAlt"
_@M1194_ "Вар"
_@M1195_ "БЛОК"
_@M1196_ "ДЕЛЬФІН"
_@M1197_ "Крен"
_@M1198_ ""
_@M1199_ "Супутн"
_@M1200_ "Старт"

# McCready mode $(MacCreadyMode) in menu macros, use 3-4 chrs maximum!
_@M1201_ "Ручн"
_@M1202_ "Авто"
# Map label modes $(MapLabelsToggleActionName) in menu macros
_@M1203_ "Точки"
_@M1204_ "Топо"
# $(VisualGlideToggleName) if extended VisualGlide is enabled
_@M1205_ "Рухомі"

# Startup / Shutdown dialog texts
_@M1206_ "Ініціалізація..."
_@M1207_ "ПОМИЛКА. РАЗДІЛЬНА ЗДАТНІСТЬ НЕ ПІДТРИМУЄТЬСЯ!"
_@M1208_ "ПОМИЛКА. НЕМА ПАПКИ:"
_@M1209_ "ПЕРЕВІРТЕ УСТАНОВКУ!"
_@M1210_ "ПАРАПЛАНЕРНИЙ РЕЖИМ"
_@M1211_ "СИМУЛЯЦІЯ"
_@M1212_ "АВТОМАТИЧНА ПІДСВІТКА"
_@M1213_ "НЕМА УПРАВЛІННЯ ПІДСВІТКОЮ"
_@M1214_ "АВТОМАТИЧНА МАКСИМАЛЬНА ГУЧНІСТЬ"
_@M1215_ "НЕМА УПРАВЛІННЯ ЗВУКОМ"
_@M1216_ "Сканування прогнозу погоди"
_@M1217_ "Старт пристроїв"
_@M1218_ "Ініціализація екрану"
_@M1219_ "Вимкнення, чекайте..."
_@M1220_ "Вимкнення, збереження треку..."
_@M1221_ "Вимкнення, збереження профілю..."
_@M1222_ "Вимкнення, збереження задачі..."

# Topology options reset msgbox
_@M1223_ "Налаштування топології встановлено по замовчуванню"

# Waypoint filters 1229 no more than 3 chrs!
_@M1224_ "Аеропорти"
_@M1225_ "Посадки"
_@M1226_ "Точки"
_@M1227_ "Файл 1"
_@M1228_ "Файл 2"
_@M1229_ "HDG"

# TeamCode dialog captions
_@M1230_ "Team Ref.: "
_@M1231_ "Team code: SET REF!"

# Waypoint edit dialog (same or less chars!)
_@M1232_ "Шир "
_@M1233_ "Широта "
_@M1234_ "Дов "
_@M1235_ "Довгота "

# Waypoint list flags (Home,Airport,Landable,Turnpoint) 1chr!
_@M1236_ "H"
_@M1237_ "A"
_@M1238_ "L"
_@M1239_ "T"

# dlgLKAirspaceWarning - Airspace warning messages
_@M1240_ "Вторгнення"
_@M1241_ "Виліт"
_@M1242_ "Політ всередині Льотної Зони"
_@M1243_ "Очікується виліт з Льотної Зони"
_@M1244_ "Наближення до виліт з Льотної Зони"
_@M1245_ "Виліт з Льотної Зони"
_@M1246_ "Очікується вліт в Льотну Зону"
_@M1247_ "Вторгнення в Льотну Зону"
_@M1248_ "Політ поза Льотною Зоною"
_@M1249_ "Політ поза Нельотною Зоною"
_@M1250_ "Очікується вліт в Нельотну Зону"
_@M1251_ "Наближується вліт в Нельотну Зону"
_@M1252_ "Вторгнення в Нельотну Зону"
_@M1253_ "Політ всередині Нельотної Зони"
_@M1254_ "Виліт з Нельотної Зони"
_@M1255_ "ЖОВТЕ ПОПЕРЕДЖЕННЯ"
_@M1256_ "ЧЕРВОНЕ ПОПЕРЕДЖЕННЯ"
_@M1257_ "виліт"
_@M1258_ "вліт"
_@M1259_ "Надто далеко, не розраховується"
_@M1260_ "нижче"
_@M1261_ "вище"
_@M1262_ "Повідомленняе"
_@M1263_ "Попередж.рівень"
_@M1264_ "HDist"
_@M1265_ "VDist" 

# dlgAirspaceDetails - Airspace details
_@M1266_ "AckРівень"
_@M1267_ "Підтвердити Жовтий"
_@M1268_ "Підтвердити Червоний"
_@M1269_ "Вимкнути"
_@M1270_ "FLY-IN"
_@M1271_ "FLY-OUT"
_@M1272_ "Встановити как Льотну Зону?"
_@M1273_ "Встановити как Нельотну Зону"

# dlgConfig - Airspace warnings
_@M1274_ "Попередж"
_@M1275_ "Параметри попередження ПП"
_@M1276_ "Параметри попередження ПП збережено."
_@M1277_ "Час повтору повід.ПП "
_@M1278_ "Вертикальна межа "
_@M1279_ "Пауза повідомлення "
_@M1280_ "Ввімкнути цей ПП?"
_@M1281_ "Позначеня карти "
_@M1282_ "ВВІМКНУТИ"
_@M1283_ "ВИМКНУТИ"
_@M1284_ "Вимкнути цей ПП?" 

# new airspace infobox
_@M1285_ "Вертикальний шар ПП"
_@M1286_ "Шар ПП" 

# airspace analysis dialog page
_@M1287_ "По польоту"
_@M1288_ "По напр до наст Тчк"
_@M1289_ "Наст Тчк"
_@M1290_ "По дійсному напрям"
_@M1291_ "Ближн ПП"
_@M1292_ "По напрям до ближн ПП"
_@M1293_ "Сонар Ввімк"
_@M1294_ "Сонар Вимкн"
_@M1295_ "Вид збоку"
 
# LK info page headers, try to use the same or less number of chars here,
# or test it with different screen reolutions and landscape/portrait mode too!
_@M1300_ "Дист"
_@M1301_ "Курс"
_@M1302_ "АЯ"
_@M1303_ "Приб"
_@M1304_ "Дист"
_@M1305_ "Курс"
_@M1306_ "АЯ"
_@M1307_ "ВисПриб"
_@M1308_ "Приб"
_@M1309_ "ЗАГ"
_@M1310_ "ІСТ"
_@M1311_ "ПОС"
_@M1312_ "ПОС"
_@M1313_ "AПТ"
_@M1314_ "АПТ"
_@M1315_ "ТЧК"

# Reserved waypoint names, comments
_@M1316_ "TAKEOFF"
_@M1317_ "THERMAL"
_@M1318_ "TEAMMATE"
_@M1319_ "TARGET"
_@M1320_ "LAST GOOD THERMAL"
_@M1321_ "TEAM MATE"
_@M1322_ "FLARM TARGET"

# Overlay multitarget prefixes, maximum 2chars!
_@M1323_ "T>"
_@M1324_ "B>"
_@M1325_ "1>"
_@M1326_ "2>"
_@M1327_ "H>"
_@M1328_ "L>"
_@M1329_ "M>"
_@M1330_ "F>"

# LK traffic page headers, try to use the same or less number of chars here,
# or test it with different screen reolutions and landscape/portrait mode too!
_@M1331_ "ТРФ"
_@M1332_ "Вар"
_@M1333_ "Варіо"
_@M1334_ "Вис"

# Mapwindow texts
_@M1335_ " ЛАНДШАФТ?"
_@M1336_ " Л?"
_@M1337_ " АМШ"
_@M1338_ " ПАН"
_@M1339_ " iAUX"
_@M1340_ " ТРМ0"
_@M1341_ " НАВ1"
_@M1342_ " ВИС2"
_@M1343_ " СТA3"
_@M1344_ " ЗДЧ4"
_@M1345_ " AЛТ5"
_@M1346_ " СИС6"
_@M1347_ " ПЛТ7"
_@M1348_ " ФІН8"
_@M1349_ " РЕЗ9"
_@M1350_ " ПОВТОР"
_@M1351_ " БАЛЛАСТ"

# LKUtils
_@M1352_ "РІВЕНЬ ЗАРЯДУ БАТАРЕЇ"
_@M1353_ "КОНТРОЛЬ ЗАРЯДУ ВИМКНЕНО"
_@M1354_ "КРИТИЧНИЙ РІВЕНЬ ЗАРЯДУ БАТАРЕЇ!"
_@M1355_ "РІВЕНЬ ЗАРЯДУ БАТАРЕЇ ДУЖЕ НИЗЬКИЙ!"
_@M1356_ "РІВЕНЬ ЗАРЯДУ БАТАРЕЇ НИЗЬКИЙ!"
_@M1357_ "ПОПЕРЕДЖЕННЯ ПРО ЗАРЯД БАТАРЕЇ ВИМКНЕНО"

# Logger task declaration
_@M1400_ "Заявка задачі"
_@M1401_ "Ввімкнення режиму заявки"
_@M1402_ "Вимкнення режиму заявки"
_@M1403_ "Відправка заявки"
_@M1404_ "Відкриття з'єднання"
_@M1405_ "Тест з'єднання"
_@M1406_ "Закриття з'єднання"
_@M1410_ "Невідома помилка"
_@M1411_ "Пристрій не підєднано!"
_@M1412_ "Недостатньо точок!"
_@M1413_ "Надто багато точок!"
_@M1414_ "Пристрій не відповідає!"
_@M1415_ "Заявки не підтверждено!"
_@M1420_ "Помилка при заявці"
_@M1421_ "Опис задачі"
_@M1422_ "Старт і Фініш"

_@M1423_ "Заборонено під час польоту!"

#
# Variometer Bar
#
_@M1424_ "Режим шкали варіо "
_@M1425_ "Варіо в потоках і на переході"
_@M1426_ "Варіо в потоках, Нето на переході"
_@M1427_ "Варіо в потоках, STF на переході"

#
# Contests
#
_@M1450_ "Змагання"
_@M1451_ "Змінити"
_@M1452_ "Виявлено старт вільного польоту"

#
# Contest infoboxes, full name and abbreviated name for boxes
# We need OLC ahead of full names, to keep ordering in infobox list during 
configuration
#
# League predicted is not used
#
_@M1455_ "OLC Класична Дистанція"
_@M1456_ "OLC дист"
_@M1457_ "OLC FAI Трикутник Дистанція"
_@M1458_ "FAI дист"
_@M1459_ "OLC Ліга Дистанція"
_@M1460_ "ЛІГ дист"
_@M1461_ "OLC FAI 3 TPs Дистанція"
_@M1462_ "3TP дист"

_@M1463_ "OLC Классик*Прогноз Дистанції"
_@M1464_ "OLC*дист"
_@M1465_ "OLC FAI Трикутник*Прогноз Дистанції"
_@M1466_ "FAI*дист"
_@M1467_ "OLC Ліга*Прогноз Дистанції"
_@M1468_ "ЛІГ*дист"
_@M1469_ "OLC FAI 3 TPs*Прогноз Дистанції"
_@M1470_ "3TP*дист"

_@M1471_ "OLC Классик Швидкість"
_@M1472_ "OLC швдк"
_@M1473_ "OLC FAI Трикутник Швидкість"
_@M1474_ "FAI швдк"
_@M1475_ "OLC Ліга Швидкість"
_@M1476_ "ЛІГ швдк"
_@M1477_ "OLC FAI 3 TPs Швидкість"
_@M1478_ "3TP швдк"

_@M1479_ "OLC Классик*Прогноз Швидкість"
_@M1480_ "OLC*швдк"
_@M1481_ "OLC FAI Трикутник*Прогноз Швидкість"
_@M1482_ "FAI*швдк"
_@M1483_ "OLC Ліга*Прогноз Швидкість"
_@M1484_ "ЛІГ*швдк"
_@M1485_ "OLC FAI 3 TPs*Прогноз Швидкість"
_@M1486_ "3TP*швдк"

_@M1487_ "OLC Классик Очки"
_@M1488_ "OLC очки"
_@M1489_ "OLC FAI Трикутник Очки"
_@M1490_ "FAI очки"
_@M1491_ "OLC Ліга Очки"
_@M1492_ "ЛІГ очки"
_@M1493_ "OLC FAI 3 TPs Очки"
_@M1494_ "3TP очки"

_@M1495_ "OLC Классик*Прогноз Очки"
_@M1496_ "OLC*очки"
_@M1497_ "OLC FAI Трикутник*Прогноз Очки"
_@M1498_ "FAI*очки"
_@M1499_ "OLC League*Прогноз Очки"
_@M1500_ "ЛІГ*очки"
_@M1501_ "OLC FAI 3 TPs*Прогноз Очки"
_@M1502_ "3TP*очки"

_@M1503_ "OLC Додатк. Очки"
_@M1504_ "ДОД очки"
_@M1505_ "OLC Додатк.*Прогноз Очки"
_@M1506_ "ДОД*очки"

# #############################
# NEW 2.4 messages
# #############################

# Device name for "no device"
_@M1600_ "ВІДКЛЮЧИТИ"
# Ex-963, new message for screen unlock
_@M1601_ "Двічі натисніть внизу правий кут, щоб РОЗБЛОКУВАТИ"

# Config system menu page 
_@M1602_ "Нижня панель"
_@M1603_ "Інфо сторінки"
_@M1604_ "Налаштування xxxx"
_@M1605_ "Налаштування Нижня панель"
_@M1606_ "Налаштування Інфо Сторінок"
_@M1607_ "Збереження налаштувань Полів Даних"
_@M1608_ "Збереження налаштувань Інфо Сторінок"

# Config InfoPages
_@M1610_ "1.1 Перехід "
_@M1611_ "1.2 Потік "
_@M1612_ "1.3 Задача "
_@M1613_ "1.4 Вибір "
_@M1614_ "1.5 Змагн "
_@M1615_ "1.6 Повор "
_@M1616_ "2.1 АПТ "
_@M1617_ "2.2 ПОС "
_@M1618_ "2.3 ТЧК "
_@M1619_ "2.4 ПП "
_@M1620_ "3.1 ЗАГ "
_@M1621_ "3.2 ІСТ "
_@M1622_ "3.3 ПТК "

# New airspace messages
_@M1630_ "Висота перевищення "

# Navboxes
_@M1640_ "Положення закрилків"
_@M1641_ "Закрилки"

# Header nearest Airspaces
_@M1642_ "ПП"

_@M1643_ "ВВІМКНЕНО"

_@M1644_ "Висота прибуття додому"
_@M1645_ "ПРИБ.дім"

# Menu Config 15, Alarms
_@M1646_ "15 Сигнал"
_@M1647_ "Макс. Висота 1 "
_@M1648_ "Макс. Висота 2 "
_@M1649_ "Макс. Висота 3 "

# "ALARM x ALTITUDE 1234"   warning message
_@M1650_ "СИГНАЛ"
_@M1651_ "ВИСОТА"

# customkey for airspace analysis
