# LK8000 ENGLISH MESSAGES - ENG_MSG.TXT
# MASTER UPDATED:  101216
#
# This file is loaded on startup and all messages are stored internally.
# If you are translating these messages, try to respect sizes.
# The first _@Mn_  are the indexes, and you cannot change them!
#
# Please note that ENG_MSG.TXT is the english master language for LK8000
# and it should always exist. Do not change ENG_MSG.TXT.
#
# All lines that are empty, or starting with a 
# , are ignored.

# DEVELOPERS ADDING MESSAGES HERE SHOULD REQUEST A NUMBERING SLOT TO PAOLO





_@M1_ " Razlika"
_@M744_ "TrueWind IAS "
_@M745_ "TrueWind period "
_@M746_ "TrueWind ažuriran!"
_@M747_ "Startno vreme zadatka "
_@M748_ "Vreme kapije zadatka "
_@M749_ "Okretna tačka"
_@M750_ "Filter okretne tačke "
_@M751_ "Sertifikat vazduhoplova "
_@M752_ "TIP"
_@M753_ "NEPOZNATO! "
_@M754_ "OTKLjUČANO"
# Unused 755 and 756 since  v3.2 
_@M755_ "KORIŠĆENјE SLOBODNE VISINE PO PRITISKU"
_@M756_ "KORIŠĆENјE VISINE PO PRITISKU"
_@M757_ "KORIŠĆENјE GPS VISINE"
_@M758_ "UTC poravnjanje "
_@M759_ "Nemoguće promeniti podećavanja na portu"
_@M760_ "Nemoguće podesiti vreme na Seriskom portu"
_@M761_ "Nemoguće startovanje RX niti na portu"
_@M762_ "Nemoguće otvaranje porta"
_@M763_ "Neokvireno, bez jedinica"
_@M764_ "Neokvireno, sa jedinicama"
_@M765_ "Nepoznato"
_@M766_ "Korišćenje GPS vremena "
_@M767_ "Kor. HBar UKLjU./ISKLj."
_@M768_ "Kor.MacCready"
_@M769_ "Kor.proseč.efikasnost"
_@M770_ "Kor.visinu po pritisku "
_@M771_ "Kor.crnu spolјnu*"
_@M772_ "V ach"
_@M773_ "V rem"
_@M774_ "V rough air "
_@M775_ "Virtuelna tačka 'WP'"
_@M776_ "Validan kraj"
_@M777_ "Validan start"
_@M778_ "Bele vrednosti"
_@M779_ "Promenlјive"
_@M780_ "Variom. crni"
_@M781_ "Variom. zeleni+crveni"
_@M782_ "Variom. duga"
_@M783_ "Variom. crvena+plava"
_@M784_ "Variom."
_@M785_ "Variometarski panel "
_@M786_ "Veoma Visoko"
# REMOVED after v2.3
_@M787_ "Virtuelni tasteri "
_@M788_ "Jačina "
_@M789_ "UPOZO."
_@M790_ "Vreme upozorenja*"
_@M791_ "Upozorenje"
_@M792_ "Upozorenja "
_@M793_ "Vodena etiketa "
_@M794_ "Talas"
_@M795_ "Ažuriranje tačaka"
_@M796_ "Informacija tačke"
_@M797_ "Kompajler tačke"
_@M798_ "UTM Urednik tačke"
_@M799_ "Beleške tačke "
_@M800_ "Tačka"
_@M801_ "Tačka 'WP'\nKraj"
_@M802_ "Tačka 'WP'\nSledeći"
_@M803_ "Tačka 'WP'\nPrethodni"
_@M804_ "Tačka 'WP'\nStart"
_@M805_ "Fajl tačaka, kompajler greška"
_@M806_ "WP Tačka 1 "
_@M807_ "WP Tačka 2 "
_@M808_ "Stil tačke "
_@M809_ "Ažuriranje tačaka"
_@M810_ "Tačka je izuzeta i snimi u svakom slučaju?"
_@M811_ "Tačka je izvan terena"
_@M812_ "Vremenska prognoza"
_@M813_ "Parametri vremena"
_@M814_ "Težina"
_@M815_ "Bela spolјna linija"
_@M816_ "Belo"
_@M817_ "Da li će biti završeno?"
_@M818_ "Podešavanje vetra"
# 819 REMOVED after 2.3
_@M819_ "Strelica vetra"
_@M820_ "Vetar po visini"
_@M821_ "Optereć.krila "
# 822 REMOVED after 3.0
_@M822_ "Winpilot"
_@M823_ "Radna dužina"
_@M824_ "Tačka izvan terena "
_@M825_ "Žuta"
_@M826_ "Da SVE"
_@M827_ "Da"
_@M828_ "Vaš kod "
_@M829_ "Zombie "
_@M830_ "Zona "
_@M831_ "_RAZMAK_"
_@M832_ "Dodaj tačku"
_@M833_ "Pomoćni uređaj"
_@M834_ "kruženje"
_@M835_ "krstarenje"
_@M836_ "finesa do cilјa"
_@M837_ "izvan okvira terena"
_@M838_ "Prvih 8"
_@M839_ "Prvih 10"
_@M840_ "Prvih 12"
_@M841_ "Veličina fonta "
_@M842_ "Veliki font "
_@M843_ "Mali font "
_@M850_ "PRVA KAPIJA SE OTVARA ZA 1 SAT"
_@M851_ "PRVA KAPIJA SE OTVARA ZA 30 MINUTA"
_@M852_ "10 MINUTA DO POČETKA"
_@M853_ "5 MINUTA DO POČETKA"
_@M854_ "Aktivna mapa UKLjUČENA"
_@M855_ "Aktivna mapa ISKLjUČENA"
_@M856_ "Auto.Povećanje UKLjUČENO"
_@M857_ "Auto.Povećanje ISKLjUČENO"
_@M858_ "Pan mod UKLjUČEN"
_@M859_ "Pan mod ISKLjUČEN"
_@M860_ "Auto.MacCready UKLjUČEN"
_@M861_ "Auto.MacCready ISKLjUČEN"
_@M862_ "Letački dnevnik UKLjUČEN"
_@M863_ "Letački dnevnik ISKLjUČEN"
_@M864_ "NMEA upisivanje UKLjUČENO"
_@M865_ "NMEA upisivanje ISKLjUČENO"
_@M866_ "Kvalitet"
_@M867_ "ORBITER UKLjUČEN"
_@M868_ "ORBITER ISKLjUČEN"
_@M869_ "U vazdušnom prostoru"
_@M870_ "Izlaz"
_@M871_ "Najbliži vazd.prostor"
_@M872_ "PANORAMSKO UVEĆANјE ZA 20sek."
_@M873_ "VRAĆANјE NA NORMALNO UVEĆANјE"
_@M874_ "Kliknite na centar ekrana za POČETAK"
_@M875_ "UPOZORENјE: GPS ŠALjE NETAČNE PODATKE I VEROVATNO NETAČNO VREME"
_@M876_ "Start Let.Dnevnika sa deklaracijom"
_@M877_ "Podešavanja snimlјena"
_@M878_ "Beleške"
_@M879_ "IZVINITE SILj JE JEDNOSTAVNO NESTAO"
_@M880_ "OTKLjUČAVANјE trenutnog cilјa?"
_@M881_ "Izbor cilјa"
_@M882_ "CILj OBJAVLjEN"
_@M883_ "CILj NESTAO!"
_@M884_ "ZAKLjUČAVANјE ovog cilјa?"
_@M885_ "Podešav."
_@M886_ "Digitron"
_@M887_ "Porešavanje vetra"
_@M888_ "Upozorenja"
_@M889_ "Masa"
_@M890_ "NE"
_@M891_ "Brisanje starog zadatka i učitavanje"
_@M892_ "(ručno)"
_@M893_ "(autom.)"
_@M894_ "UKLjU."
_@M895_ "Nasilno"
_@M896_ "NENasilno"
_@M897_ "Autom."
_@M898_ "SVE ISKLjU."
_@M899_ "SVE UKLjU."
_@M900_ "Učitavanje fajla terena..."
_@M901_ "Učitavanje naziva terena..."
_@M902_ "Učitavanje topografije iz topografskog fajla..."
_@M903_ "Učitavanje takaka iz fajla..."
_@M904_ "TAKTIČKI LETAČKI RAČUNAR"
_@M905_ "Termal"
_@M906_ "Krstar."
_@M907_ "Zadatak"
_@M908_ "Izborni"
_@M909_ "Okret"
_@M910_ "CILj"
_@M911_ "Pogled"
_@M912_ "[bez odredišta]"
_@M913_ "Eksperimentalno"
_@M914_ "[bez cilјa]"
_@M915_ "NIJE ZA IFR KORIŠĆENјE"
_@M916_ "UPOZORENјE, BEZ SLETANјA"
_@M917_ "Lat/Lon "
_@M918_ "Lat/Lon"
_@M919_ "LatLon"
_@M920_ "Grepka u učitavanju fajla polare!"
_@M921_ "odbrojavanje"
_@M922_ "BEZ LETENјA"
_@M923_ "NETAČNO UNUTRA"
_@M924_ "NETAČNO SPOLjA"
_@M925_ "START BEZ ZADAZKA"
_@M926_ "U sektoru, napredni ARM kada bude spreman"
_@M927_ "Čekanje GPS konekcije"
_@M928_ "Resetovanje Com portova"
_@M929_ "Čekanje za popravku GPS-a"
_@M930_ "POLETANјE"
_@M931_ "SLETANјE"
_@M932_ "Iznad finese do cilјa"
_@M933_ "Ispod finese do cilјa"
_@M934_ "Krajnja finesa kroz teren"
_@M935_ "Marker očišćen"
_@M936_ "Klasa tamičenja"
_@M937_ "Klasa tamičenja: "
_@M938_ "Takmičarski IB"
_@M939_ "Takmičarski IB: "
_@M940_ "Popunjavanje "
_@M941_ "Samo spolјne linije"
_@M942_ "Šare"
_@M943_ "Polu-Providno"
_@M944_ "Neprozirnost "
_@M945_ "Šara, samo granične"
_@M946_ "Polu-Providno, samo granične"
_@M947_ "IZGUBLjEN FLARM"
_@M948_ "Pronađen"
_@M949_ "TP"
_@M950_ "Neproz. donje bar linije "
_@M951_ "Nemoguće zaustaviti RX nit!"
_@M952_ "Nemoguće pisanje podataka u port!"
_@M953_ "Polu-Providan"
_@M954_ "Sređivanje slova "
_@M955_ "ClearType"
_@M956_ "Anti Preklapanje"
# Page 1.5 name, keep short:
_@M957_ "Tamičenje"

# ON/OFF in dialog windows (not Menu)
_@M958_ "UKLjU."
_@M959_ "ISKLj."

#
# Paragliding lock/unlock screen feature
#
_@M960_ "POTVRDA OTKLjUČAVANјA EKRANA?"
_@M961_ "POTVRDA ZAKLjUČAVANјA EKRANA?"
# 962 max 35 characters!
_@M962_ "EKRAN JE ZAKLjUČAN DOK POLEĆETE"
# 963 unused since 2.3
_@M963_ "DUPLI KLIK NA EKRAN ZA OTKLjUČAVANјE"
_@M964_ "EKRAN JE OTKLjUČAN"
#
# Menu buttons, MAX 8 character per line! Keep \n !
_@M965_ "OTKLjUČ.\nEKRANA"
_@M966_ "ZAKLjUČ.\nEKRANA"
_@M967_ "Promena Vazduš.prost. "
_@M968_ "samo ovaj put"
_@M969_ "Uporan"
#
# GPS and COM port warnings
#
_@M970_ "NEISPRAVAN GPS SIG."
_@M971_ " GPS: NEMA Com PORTA "
_@M972_ "NE VIDIM GPS UREĐ."
_@M973_ " GPS nedostaje "
_@M974_ " GPS nije konektovan "
_@M975_ " GPS greška u podac. "

#
# V6.2
#
_@M981_ "Automatski kontrast"
_@M982_ "(rezervisano)"
_@M983_ "Saobraćaj na mapi"

#
# Infoboxes in Description / Tile order. 
# In titles use maximum 7 characters
#
_@M1001_ "Visina QNH"
_@M1002_ "VisQNH"
_@M1003_ "Visina AGL"
_@M1004_ "VisAGL"
_@M1005_ "Termali poslednjih 30sek."
_@M1006_ "TP.30s"
_@M1007_ "Azimut"
_@M1008_ "Azi."
_@M1009_ "Efikasnost poslednjih 20sek."
_@M1010_ "E.20s"
_@M1011_ "Efikasnost kretanja u poslednjem termalu"
_@M1012_ "E.PTer"
_@M1013_ "Brzina u odnosu na zemlјu"
_@M1014_ "Brz.Zem"
_@M1015_ "Prosečan poslednji termal"
_@M1016_ "∑PosTrm"
_@M1017_ "Dobitak u poslednjem termalu"
_@M1018_ "+PosTrm"
_@M1019_ "Vreme poslednjeg termala"
_@M1020_ "VrPsTrm"
_@M1021_ "MacCready podešavanja"
_@M1022_ "MacC"
_@M1023_ "Sledeće rastojanje"
_@M1024_ "Sl.Ras"
_@M1025_ "Sledeća dolazna visina"
_@M1026_ "SlD.Vis"
_@M1027_ "Sledeća potrebna visina"
_@M1028_ "SlP.Vis"
# 1029 UNUSED REMOVED
_@M1029_ "_Rezervisano 2"
_@M1030_ "Sledeći"
_@M1031_ "Zadatak dolazne visine"
_@M1032_ "ZdDolVis"
_@M1033_ "Zadatak zahtevane visine"
_@M1034_ "ZdZahVis"
_@M1035_ "Zadatak proseč.brzina"
_@M1036_ "ZdProBrz"
_@M1037_ "Zadatak rastojanje"
_@M1038_ "ZdRast."
_@M1039_ "_Rezervisano 1"
_@M1040_ "Stari fLD"
_@M1041_ "Visina terena"
_@M1042_ "Vis.Ter"
_@M1043_ "Prosečni termal"
_@M1044_ "∑Termal"
_@M1045_ "Dobitak u termalu"
_@M1046_ "+Trm"
_@M1047_ "Zapis"
_@M1048_ "Zapis"
_@M1049_ "Vario"
_@M1050_ "Vario"
_@M1051_ "Brzina vetra"
_@M1052_ "Brz.Vet"
_@M1053_ "Smer Vetra"
_@M1054_ "Smr.Vet"
_@M1055_ "AA Vreme"
_@M1056_ "AAVreme"
_@M1057_ "AA maksim. rastojanje"
_@M1058_ "AAMkRast"
_@M1059_ "AA minim. rastojanje"
_@M1060_ "AAMiRast"
_@M1061_ "AA maksim. brzina"
_@M1062_ "AAMkBrz"
_@M1063_ "AA minim. brzina"
_@M1064_ "AAMiBrz"
_@M1065_ "Airspeed IAS"
_@M1066_ "IAS"
_@M1067_ "Visina BAROM."
_@M1068_ "VisBaro"
_@M1069_ "MacReady brzina"
_@M1070_ "MR.Brz"
_@M1071_ "Procentualno penjanje"
_@M1072_ "%Penjanj"
_@M1073_ "Vreme leta"
_@M1074_ "VrLeta"
_@M1075_ "G load"
_@M1076_ "G"
_@M1077_ "_Retervisano 2"
_@M1078_ "Stari nLD"
_@M1079_ "Lokalno vreme"
_@M1080_ "Vreme"
_@M1081_ "Vreme UTC"
_@M1082_ "UTC"
_@M1083_ "Vreme zadatka otići"
_@M1084_ "VrZ.OTI"
_@M1085_ "Sledeće vreme otići"
_@M1086_ "SlV.OTI"
_@M1087_ "Optimalna brzina leta"
_@M1088_ "OpBrzLet"
_@M1089_ "NetVario"
_@M1090_ "Netto"
_@M1091_ "Dolazno vreme zadatka"
_@M1092_ "DolVrZd"
_@M1093_ "Sledeće dolazno vreme"
_@M1094_ "SlDolVr"
_@M1095_ "Razlika u azimutu"
_@M1096_ "Cilј.Azi"
_@M1097_ "Spolјna Vazdušna Temperatura"
_@M1098_ "SpVazTem"
_@M1099_ "Relativna vlažnost"
_@M1100_ "RelVlaž"
_@M1101_ "Temperatura prognoze"
_@M1102_ "TemProg"
_@M1103_ "AA Distance Tg"
_@M1104_ "AADtgt"
_@M1105_ "AA Speed Tg"
_@M1106_ "AAVtgt"
_@M1107_ "T/D vario"
_@M1108_ "T/D var"
_@M1109_ "Airspeed TAS"
_@M1110_ "TAS"
_@M1111_ "Team Code"
_@M1112_ "KodTima"
_@M1113_ "Smer Tima"
_@M1114_ "SmerTim"
_@M1115_ "Timska razlika u smeru"
_@M1116_ "TmRazAz"
_@M1117_ "Udalјenost tima"
_@M1118_ "Uda.tim"
_@M1119_ "Trenutna brzina zadatka"
_@M1120_ "*TreBrz"
_@M1121_ "Razdalјina do kuće"
_@M1122_ "Raz.Kuć"
_@M1123_ "Brzina zadatka"
_@M1124_ "*Brzina"
_@M1125_ "AA Delta Time"
_@M1126_ "AAdT"
_@M1127_ "Svi termali"
_@M1128_ "Svi.Trm"
# 1129 and 1130 unused, can be used again
_@M1129_ "Rastojanje Vario"
_@M1130_ "Ras.Var"
_@M1131_ "Procenat baterije"
_@M1132_ "%Bater."
_@M1133_ "Zadatak Potrebna efikasnost"
_@M1134_ "*PotEfi"
_@M1135_ "Altern.Zahtevana efikasnost1"
_@M1136_ "Alt.Ef1"
_@M1137_ "Altern.Zahtevana efikasnost2"
_@M1138_ "Alt.Ef2"
_@M1139_ "Najbolјa Alter.Zahtev.Efikas."
_@M1140_ "NajAlZhEfi"
_@M1141_ "Visina QFE"
_@M1142_ "VisQFE"
_@M1143_ "Prosečna efikasnost"
_@M1144_ "∑Efikas"
_@M1145_ "Sledeća Zahtev.Efikasnost"
_@M1146_ "SlZahEfi"
_@M1147_ "Nivo Leta"
_@M1148_ "NL"
_@M1149_ "Zadat.Pokretno rastojanje"
_@M1150_ "ZadPokRas"
_@M1151_ "Dolazna alternativa 1"
_@M1152_ "AltDol1"
_@M1153_ "Dolazna alternativa 2"
_@M1154_ "AltDol2"
_@M1155_ "Najbolјa dolazna alternatica"
_@M1156_ "NajDolAlt"
_@M1157_ "Home Radial"
_@M1158_ "Radial"
_@M1159_ "Rastojanje vazdušnog prostora"
_@M1160_ "RasVPrs"
_@M1161_ "Eksterna baterija"
_@M1162_ "xBat#"
_@M1163_ "Napon Eks.Bat1"
_@M1164_ "xBat1"
_@M1165_ "Napon Eks.Bat2"
_@M1166_ "xbat2"
_@M1167_ "Odometar"
_@M1168_ "Odo"
_@M1169_ "Alter.QNH"
_@M1170_ "AlVQNH"
_@M1171_ "Alter.AGL"
_@M1172_ "AVisAGL"
_@M1173_ "GPS visina
_@M1174_ "VisGPS"
_@M1175_ "MacCready ekvicalent"
_@M1176_ "ekv.MC"
_@M1177_ "_Eksperimentalno1"
_@M1178_ "Eks1"
_@M1179_ "_Eksperimentalno2"
_@M1180_ "Eks2"
_@M1181_ "Napon baterije"
_@M1182_ "Bat."

# LK Info pages infobox titles, maximum 7 chars
_@M1183_ "Ruč.MC"
_@M1184_ "Aut.MC"
_@M1185_ "Vetar"
_@M1186_ "eIAS"
_@M1187_ "ReqE"
_@M1188_ "Dola"
_@M1189_ "Vro30"
_@M1190_ "DolMc0"
_@M1191_ "DolZad0"
_@M1192_ "StRas"
_@M1193_ "RelVis"
_@M1194_ "Var"
_@M1195_ "BLOCK"
_@M1196_ "DOLPHIN"
_@M1197_ "Bank"
_@M1198_ ""
_@M1199_ "Sat"
_@M1200_ "Start"

# McCready mode $(MacCreadyMode) in menu macros, use 3-4 chrs maximum!
_@M1201_ "Ruč"
_@M1202_ "Auto"
# Map label modes $(MapLabelsToggleActionName) in menu macros
_@M1203_ "TAČKA"
_@M1204_ "TOPOL."
# $(VisualGlideToggleName) if extended VisualGlide is enabled
_@M1205_ "Pomeranje"

# Startup / Shutdown dialog texts
_@M1206_ "Inicijalizacija..."
_@M1207_ "GREŠKA NEPOZNATA REZOLUCIJA!"
_@M1208_ "GREŠKA NE POSTOJI DIREKTORIJUM:"
_@M1209_ "PROVERI INSTALACIJU!"
_@M1210_ "PARAGLAJDING MOD"
_@M1211_ "SIMULACIJA"
_@M1212_ "AUTOMATSKA KONTROLA POZAD.SVETLA"
_@M1213_ "NEMA KONTROLE POZAD. SVETLA"
_@M1214_ "AUTOMATSKA KONTROLA NIVOA ZVUKA"
_@M1215_ "NEMA KONTROLE NIVOA ZVUKA"
_@M1216_ "Skeniranje vremenske prognoze"
_@M1217_ "Startovanje TLK"
_@M1218_ "Inicijalizacija ekrana"
_@M1219_ "Gašenje TLK, malo strplјenja..."
_@M1220_ "Gašenje snimanje podataka..."
_@M1221_ "Gašenje, snimanje profila..."
_@M1222_ "Gašenje, snimanje zadatka..."

# Topology options reset msgbox
_@M1223_ "Topologija postavlјena na podrazumevane vrednosti"

# Waypoint filters 1229 no more than 3 chrs!
_@M1224_ "Aeridrin"
_@M1225_ "TačkaNaZemlјi"
_@M1226_ "OkretnaTačka"
_@M1227_ "Fajl 1"
_@M1228_ "Fajl 2"
_@M1229_ "HDG"

# TeamCode dialog captions
_@M1230_ "Ref.Tima: "
_@M1231_ "Kod Tima: SET REF!"

# Waypoint edit dialog (same or less chars!)
_@M1232_ "Lat"
_@M1233_ "Latitude"
_@M1234_ "Lon"
_@M1235_ "Longitude"

# Waypoint list flags (Home,Airport,Landable,Turnpoint) 1chr!
_@M1236_ "K"
_@M1237_ "A"
_@M1238_ "Z"
_@M1239_ "O"

# dlgLKAirspaceWarning - Airspace warning messages
_@M1240_ "Ulazak"
_@M1241_ "Izlazak"
_@M1242_ "Let u zoni LETENјA"
_@M1243_ "Predviđen izlazak iz zone LETENјA"
_@M1244_ "Blizina izlaska iz zone LETENјA"
_@M1245_ "Napuštanje zone LETENјA"
_@M1246_ "Predviđen ulazak u zonu LETENјA"
_@M1247_ "Ulazak u zonu LETENјA"
_@M1248_ "Let izvan zone LETENјA"
_@M1249_ "Let izvan zone ZABRANE LETENјA"
_@M1250_ "Predviđen ulazak u zonu ZABRANE LETENјA"
_@M1251_ "Blizina ulaska u zonu ZABRANE LETENјA"
_@M1252_ "Ulazak u zonu ZABRANE LETENјA"
_@M1253_ "Let u zoni ZABRANE LETENјA"
_@M1254_ "Napuštanje zone ZABRANE LETENјA"
_@M1255_ "ŽUTO UPOZORENјE"
_@M1256_ "CRVENO UPOZORENјE"
_@M1257_ "za izlazak"
_@M1258_ "Za ulazak"
_@M1259_ "Predaleko, nije računato"
_@M1260_ "ispod"
_@M1261_ "iznad"
_@M1262_ "Poruka"
_@M1263_ "Nivo Upozo."
_@M1264_ "Hor.Raz."
_@M1265_ "Ver.Raz."

# dlgAirspaceDetails - Airspace details
_@M1266_ "Nivo POTVRDE"
_@M1267_ "Žuta POTVRDA"
_@M1268_ "Crvena POTVRDA"
_@M1269_ "Izgašeno"
_@M1270_ "LET - U"
_@M1271_ "LET-IZVAN"
_@M1272_ "Podešeno kao zona LETENјA?"
_@M1273_ "Podešeno kao zona ZABRANE LETENјA?"

# dlgConfig - Airspace warnings
_@M1274_ "Upozorenja"
_@M1275_ "Parametri upozor. Vazduš.Prostora"
_@M1276_ "Snimlјeni parametri upozor.Vazduš.Prostora"
_@M1277_ "Vreme ponavlјanja poruke Vazduš.Prostora "
_@M1278_ "Vertikalna ivica "
_@M1279_ "Vreme isteka poruke "
_@M1280_ "Palјenje Vazdušnog Prostora?"
_@M1281_ "Etiketa mepe "
_@M1282_ "UKLjUČENO"
_@M1283_ "ISKLjUČENO"
_@M1284_ "Gašenje Vazdušnog Prostora?"

# new airspace infobox
_@M1285_ "Airspace Vertical Dist"
_@M1286_ "ArSpcV"

# airspace analysis dialog page
_@M1287_ "Pravac"
# 1288 UNUSED REMOVED
_@M1288_ "Pokazivanje prema sledećoj tačci"
_@M1289_ "Sledeća tačka"
# M1290 UNUSED REMOVED
_@M1290_ "Pogled u smeru leta"
_@M1291_ "Blitu tačke"
_@M1292_ "Najbliži Zaduš.Prostor"
_@M1293_ "SONAR"
#1294 REMOVED UNUSED
_@M1294_ "Sonar ISKLj."
_@M1295_ "Pogled sa strane"
_@M1296_ "Optimizer"
_@M1297_ "FAI Start on turnpoint"
_@M1298_ "FAI Start on leg"
_@M1299_ "FAI Mercedes star"

# LK info page headers, try to use the same or less number of chars here,
# or test it with different screen reolutions and landscape/portrait mode too!
_@M1300_ "Rastoj."
_@M1301_ "Smer"
_@M1302_ "rEff"
_@M1303_ "VisA"
_@M1304_ "Rastoj."
_@M1305_ "Smer"
_@M1306_ "ZahEfi"
_@M1307_ "Dol.VIS"
_@M1308_ "Dolazna"
_@M1309_ "COMN"
_@M1310_ "HIST"
_@M1311_ "LND"
_@M1312_ "LNDB"
_@M1313_ "APT"
_@M1314_ "APTS"
_@M1315_ "TPS"
# ASP for nearest airspaces is M1642

# Reserved waypoint names, comments
_@M1316_ "POLETANјE"
_@M1317_ "TERMAL"
_@M1318_ "SAIGRAČ"
_@M1319_ "CILj"
_@M1320_ "POSLEDNјI DOBAR TERMAL"
_@M1321_ "TIMSKI IGRAČ"
_@M1322_ "FLARM CILj"

# Overlay multitarget prefixes, maximum 2chars!
_@M1323_ "T>"
_@M1324_ "B>"
_@M1325_ "1>"
_@M1326_ "2>"
_@M1327_ "H>"
_@M1328_ "L>"
_@M1329_ "M"
_@M1330_ "F>"

# LK traffic page headers, try to use the same or less number of chars here,
# or test it with different screen reolutions and landscape/portrait mode too!
_@M1331_ "TRF"
_@M1332_ "Var"
_@M1333_ "Vario"
_@M1334_ "VIS"

# Mapwindow texts
_@M1335_ " TEREN?"
_@M1336_ " T?"
_@M1337_ " AZM"
_@M1338_ " PAN"
_@M1339_ " iAUX"
_@M1340_ " TER0"
_@M1341_ " NAV1"
_@M1342_ " VIS2"
_@M1343_ " STA3"
_@M1344_ " ZAD4"
_@M1345_ " ATN5"
_@M1346_ " TLK6"
_@M1347_ " KRS7"
_@M1348_ " FIN8"
_@M1349_ " DOD9"
_@M1350_ " PRIKAZ"
_@M1351_ " BALAST"

# LKUtils
_@M1352_ "NIVO BATERIJE"
_@M1353_ "UPRAVLjANјE BATERIJOM IZGAŠENO"
_@M1354_ "KRITIČNI NIVO BATERIJE!"
_@M1355_ "NIVO BATERIJE VEOMA MALI!"
_@M1356_ "NISKI NIVO BATERIJE!"
_@M1357_ "UPOZORENјE BATERIJA NA IZDISAJU, GAŠENјE"

# Logger task declaration
_@M1400_ "Deklaracija zadatka"
_@M1401_ "Palјenje moda sa deklaracijom"
_@M1402_ "Gašenje moda deklaracije"
_@M1403_ "Slanje deklaracije"
_@M1404_ "Otvaranje konekcije"
_@M1405_ "Testiranje konekcije"
_@M1406_ "Zatvaranje konekcije"
_@M1410_ "Bepoznata greška"
_@M1411_ "TLK nije konektovan!"
_@M1412_ "Nema više tačaka!"
_@M1413_ "Previše tačaka!"
_@M1414_ "Uređaj ne odgovara!"
_@M1415_ "Deklaracija nije prihvaćena!"
_@M1420_ "Greška tokom deklaracije"
_@M1421_ "Deklaracija zadatka"
_@M1422_ "Start i cilј"

_@M1423_ "Forbidden during flight!"

#
# Variometer Bar
#
_@M1424_ "Mod Vario panela "
_@M1425_ "Vario mod u termalu i krstarenju"
_@M1426_ "Vario u termalu, Netto u krstarenju"
_@M1427_ "Vario u termalu, STF u krstarenju"

#
# Contests
#
_@M1450_ "Takmičenje"
_@M1451_ "Promena"
_@M1452_ "STARTOVAN SLOBODAN LET :)"

#
# Contest infoboxes, full name and abbreviated name for boxes
# We need OLC ahead of full names, to keep ordering in infobox list during configuration
#
# League predicted is not used
#
_@M1455_ "OLC Klas.Razdaljina"
_@M1456_ "OLC Raz"
_@M1457_ "OLC FAI Triangle Razdaljina"
_@M1458_ "FAI Raz"
_@M1459_ "OLC League Razdaljina"
_@M1460_ "LEA Raz"
_@M1461_ "OLC FAI 3 TPs Razdaljina"
_@M1462_ "3TP Raz"

_@M1463_ "OLC Klasična*Predviđena Razdaljina"
_@M1464_ "OLC*Raz"
_@M1465_ "OLC FAI Triangle*Predviđena Razdaljina"
_@M1466_ "FAI*Raz"
_@M1467_ "OLC League*Predviđena Razdaljina"
_@M1468_ "LEA*Raz"
_@M1469_ "OLC FAI 3 TPs*Predviđena Razdaljina"
_@M1470_ "3TP*Raz"

_@M1471_ "OLC Klasična Brzina"
_@M1472_ "OLC Brz"
_@M1473_ "OLC FAI Triangle Brzina"
_@M1474_ "FAI Brz"
_@M1475_ "OLC League Brzina"
_@M1476_ "LEA Brz"
_@M1477_ "OLC FAI 3 TPs Brzina"
_@M1478_ "3TP Brz"

_@M1479_ "OLC Classic*Predviđena Brzina"
_@M1480_ "OLC*Brz"
_@M1481_ "OLC FAI Triangle*Predviđena Brzina"
_@M1482_ "FAI*Brz"
_@M1483_ "OLC League*Predviđena Brzina"
_@M1484_ "LEA*Brz"
_@M1485_ "OLC FAI 3 TPs*Predviđena Brzina"
_@M1486_ "3TP*Brz"

_@M1487_ "OLC Klasičan rezultat"
_@M1488_ "OLC Rez"
_@M1489_ "OLC FAI Triangle rezultat"
_@M1490_ "FAI Rez"
_@M1491_ "OLC League Rezultat"
_@M1492_ "LEA Rez"
_@M1493_ "OLC FAI 3 TPs Rezultat"
_@M1494_ "3TP Rez"

_@M1495_ "OLC Classic*Predviđen rezultat"
_@M1496_ "OLC*Rez"
_@M1497_ "OLC FAI Triangle*Predviđen rezultat"
_@M1498_ "FAI*Rez"
_@M1499_ "OLC League*Predviđen rezultat"
_@M1500_ "LEA*Rez"
_@M1501_ "OLC FAI 3 TPs*Predviđen rezultat"
_@M1502_ "3TP*Rez"

_@M1503_ "OLC Plus Rezultat"
_@M1504_ "PLS Rez"
_@M1505_ "OLC Plus*Predviđen rezultat"
_@M1506_ "PLS*Rez"

_@M1507_ "OLC FAI triangle Distance to close"
_@M1508_ "C:"
_@M1509_ "OLC FAI triangle Distance close %"
_@M1510_ "%C:"
_@M1511_ "B:"
# #############################
# NEW 2.4 messages
# #############################

# Device name for "no device"
_@M1600_ "NEDOSTUPAN"
# Ex-963, new message for screen unlock
_@M1601_ "Dvoklik na Donji-Desni ugao za OTKLjUČAVANјE"

# Config system menu page 
_@M1602_ "Podešav. DONјEG panela"
_@M1603_ "Podešav. INFO stranice"
_@M1604_ "Podešavanje xxxx"
_@M1605_ "Donji panel"
_@M1606_ "INFO stranica"
_@M1607_ "Podešavanje DONјEG panea SNIMLjENO"
_@M1608_ "Podešavanje INFO stranice SNIMLjENO"

# Config InfoPages
