# LK8000 CHINESE MESSAGES - CHN_MSG.TXT
# MASTER UPDATED:  191010 mountainhare山岭野兔(wx9019258QQ)_翻译
#
# 该文件在启动时加载，所有消息都存储在内部。
# 如果要翻译这些消息，请尝试遵守尺寸。
# 首先_ @ Mn_是索引，您不能更改它们！
#
# 请注意，ENG_MSG.TXT是LK8000的英语主要语言
# 它应该永远存在。 请勿更改ENG_MSG.TXT！
#
# 注意>令牌的最大数量在LKLanguage中定义为MAX_MESSAGES
#
# 如果您以开发人员的身份添加消息，请不要回收号码，因为翻译会假设
# 不存在的令牌应替换为英文。
# 但是，如果翻译了旧令牌，它仍然会像那样出现，这是错误的！
#
# 所有空行或以＃开头的行都将被忽略。
# 开发人员必须在GITHUB上要求添加新消息的编号槽

_@M1_ " 相对值"
_@M907_ "任务"
_@M908_ "手动"
_@M909_ "转弯"
_@M910_ "目标"
_@M911_ "视线"
_@M912_ "[没有距离]"
_@M913_ "实验性"
_@M914_ "[没有目标]"
_@M915_ "不是IFR用法"
_@M916_ "警告，无降落场"
_@M917_ "纬度/经度 "
_@M918_ "纬度/经度"
_@M919_ "经纬度"
_@M920_ "加载Polar文件时出错！"
_@M921_ "倒数"
_@M922_ "没有飞行"
_@M923_ "注意里面"
_@M924_ "注意外面"
_@M925_ "没有任务开始"
_@M926_ "在起飞区, 准备好手臂向前"
_@M927_ "等待GPS连接"
_@M928_ "重启端口"
_@M929_ "等待GPS定位"
_@M930_ "起飞"
_@M931_ "降落"
_@M932_ "高于最佳滑翔"
_@M933_ "低于最佳滑翔"
_@M934_ "最佳滑翔穿越地形"
_@M935_ "标记已清除"
_@M936_ "比赛等级"
_@M937_ "比赛等级: "
_@M938_ "比赛ID"
_@M939_ "比赛ID: "
_@M940_ "填充 "
_@M941_ "仅轮廓"
_@M942_ "图案"
_@M943_ "半透明"
_@M944_ "不透明度 "
_@M945_ "图案，仅边框"
_@M946_ "半透明，仅边框"
_@M947_ "FLARM信号丢失"
_@M948_ "发现"
_@M949_ "TP"
_@M950_ "底部状态栏不透明度 "
_@M951_ "无法停止接收线程！"
_@M952_ "无法将数据写入端口！"
_@M953_ "透明"
_@M954_ "字体平滑 "
_@M955_ "清除类型"
_@M956_ "减轻锯齿"
# Page 1.5 name, keep short:
_@M957_ "比赛"

# ON/OFF in dialog windows (not Menu)
_@M958_ "开"
_@M959_ "关"

#
# Paragliding lock/unlock screen feature
#
_@M960_ "确认解锁屏幕?"
_@M961_ "确认锁定屏幕?"
# 962 max 35 characters!
_@M962_ "屏幕锁定直到起飞"
# 963 unused since 2.3
_@M963_ "DOUBLE-CLICK ON SCREEN TO FORCE UNLOCK"
_@M964_ "屏幕解锁"
#
# Menu buttons, MAX 8 character per line! Keep \n !
_@M965_ "解锁\n屏幕"
_@M966_ "锁定\n屏幕"
_@M967_ "空域变化 "
_@M968_ "仅限这次"
_@M969_ "一贯"
#
# GPS and COM port warnings粗体字暂无，用英文。
# 无有效修复 无串行端口 无数据接收 无效 未连接 数据错误
_@M970_ " GPS: NO VALID FIX "
_@M971_ " GPS: No ComPort "
_@M972_ " GPS: No Data Rx "
_@M973_ " GPS is missing "
_@M974_ " GPS not connected "
_@M975_ " GPS data error "

#
# V6.2
#
_@M981_ "自动对比"
_@M982_ "(保留)"
_@M983_ "交通图 "

#
# Infoboxes in Description / Tile order. 
# In titles use maximum 7 characters
#
_@M1001_ "QNH高度"
_@M1002_ "高度"
_@M1003_ "真实高度"
_@M1004_ "海拔高度"
_@M1005_ "热气流持续30秒"
_@M1006_ "前30s热爬"
_@M1007_ "方位"
_@M1008_ "Brg"
_@M1009_ "20s平均效"
_@M1010_ "20s效"
_@M1011_ "持续热巡航效率"
_@M1012_ "巡效"
_@M1013_ "地速"
_@M1014_ "GS"
_@M1015_ "热气流持续平均"
_@M1016_ "TL平均"
_@M1017_ "热气流最后爬升"
_@M1018_ "TL.获得高度"
_@M1019_ "热气流持续时间"
_@M1020_ "TL.时间"
_@M1021_ "MacCready设置"
_@M1022_ "MCready"
_@M1023_ "下一目标距离"
_@M1024_ "距离"
_@M1025_ "下一高度到达"
_@M1026_ "下一到达"
_@M1027_ "抵达下一目标所需高度"
_@M1028_ "下点需高"
# 1029 UNUSED REMOVED
_@M1029_ "_Reserved 2"
_@M1030_ "下一个"
_@M1031_ "到达任务高度"
_@M1032_ "任务到达"
_@M1033_ "到达任务需高度"
_@M1034_ "到任务需高"
_@M1035_ "任务平均速度"
_@M1036_ "任务均速"
_@M1037_ "任务距离"
_@M1038_ "任务距离"
_@M1039_ "_Reserved 1"
_@M1040_ "OLD fLD"
_@M1041_ "地形高程"
_@M1042_ "地"
_@M1043_ "热气流平均"
_@M1044_ "热气流爬升平均"
_@M1045_ "热气流获高"
_@M1046_ "热气流爬升获高"
_@M1047_ "跟踪"
_@M1048_ "跟踪"
_@M1049_ "高度表"
_@M1050_ "高度表"
_@M1051_ "风速"
_@M1052_ "风速效"
_@M1053_ "风方位"
_@M1054_ "风向"
_@M1055_ "AA时间"
_@M1056_ "AA时间"
_@M1057_ "AA最大滑行"
_@M1058_ "AA最大距"
_@M1059_ "AA最小距离"
_@M1060_ "AA最小距"
_@M1061_ "AA最大速度"
_@M1062_ "AA最大速"
_@M1063_ "AA最小速度"
_@M1064_ "AA最小速"
_@M1065_ "理论空速"
_@M1066_ "理空速"
_@M1067_ "海拔气压"
_@M1068_ "气压高度"
_@M1069_ "MacReady速度"
_@M1070_ "Mc速"
_@M1071_ "爬升百分比"
_@M1072_ "%爬升"
_@M1073_ "飞行时间"
_@M1074_ "飞行时间"
_@M1075_ "G负载"
_@M1076_ "G"
_@M1077_ "_Reserved 2"
_@M1078_ "OLD nLD"
_@M1079_ "本地时间"
_@M1080_ "时间"
_@M1081_ "UTC时间"
_@M1082_ "UTC"
_@M1083_ "任务时间到"
_@M1084_ "当点ETE"
_@M1085_ "下次出发时间"
_@M1086_ "下点ETE"
_@M1087_ "飞行速度"
_@M1088_ "STF"
_@M1089_ "Netto高度表"
_@M1090_ "Netto"
_@M1091_ "任务抵达时间"
_@M1092_ "当点ETA"
_@M1093_ "到达下一点时间"
_@M1094_ "下点ETA"
_@M1095_ "方位距离"
_@M1096_ "To"
_@M1097_ "外部温度"
_@M1098_ "OAT"
_@M1099_ "相对湿度"
_@M1100_ "相对湿度"
_@M1101_ "预报温度"
_@M1102_ "最高温度"
_@M1103_ "AA目标距离"
_@M1104_ "AADtgt"
_@M1105_ "AA目标速度"
_@M1106_ "AAVtgt"
_@M1107_ "L/D高度计"
_@M1108_ "L/D var"
_@M1109_ "真实空速"
_@M1110_ "TAS"
_@M1111_ "团队代码"
_@M1112_ "团队代码"
_@M1113_ "团队方位"
_@M1114_ "团队方位"
_@M1115_ "团队方位差"
_@M1116_ "团方位差"
_@M1117_ "团队范围"
_@M1118_ "团队距离"
_@M1119_ "任务瞬间速度"
_@M1120_ "任瞬速"
_@M1121_ "家距离"
_@M1122_ "家距离"
_@M1123_ "任务速度"
_@M1124_ "任务速度"
_@M1125_ "AA三角时间"
_@M1126_ "AA三角时"
_@M1127_ "全部热气流"
_@M1128_ "热.All"
# 1129 and 1130 unused, can be used again
_@M1129_ "可变距离"
_@M1130_ "可变距离"
_@M1131_ "电量百分比"
_@M1132_ "电池"
_@M1133_ "任务所需效率"
_@M1134_ "任务需效"
_@M1135_ "到备用1所需效率"
_@M1136_ "备用1.E"
_@M1137_ "到备用2所需效率"
_@M1138_ "备用2.E"
_@M1139_ "到最佳备用所需效率"
_@M1140_ "最佳备.E"
_@M1141_ "QFE高度"
_@M1142_ "QFE"
_@M1143_ "平均效率"
_@M1144_ "平均效率"
_@M1145_ "到下一点所需效率"
_@M1146_ "需求效率"
_@M1147_ "飞行等级"
_@M1148_ "FL"
_@M1149_ "任务涵盖距离"
_@M1150_ "任务涵盖"
_@M1151_ "到达备用1"
_@M1152_ "到达备1"
_@M1153_ "到达备用2"
_@M1154_ "到达备2"
_@M1155_ "到达最佳备降"
_@M1156_ "到最佳备"
_@M1157_ "家径向"
_@M1158_ "径向"
_@M1159_ "空域水平距离"
_@M1160_ "域水平距"
_@M1161_ "扩展电池无电"
_@M1162_ "扩电空"
_@M1163_ "扩展电池1电压"
_@M1164_ "扩电1"
_@M1165_ "扩展电池2电压"
_@M1166_ "扩电2"
_@M1167_ "里程表"
_@M1168_ "Odo"
_@M1169_ "备用QNH"
_@M1170_ "aAlt"
_@M1171_ "备用AGL"
_@M1172_ "aHAGL"
_@M1173_ "备用GPS"
_@M1174_ "HGPS"
_@M1175_ "MacCready等效"
_@M1176_ "等效MC"
_@M1177_ "_实验1"
_@M1178_ "实验1"
_@M1179_ "_实验2"
_@M1180_ "实验2"
_@M1181_ "电池电量"
_@M1182_ "电池"

# LK Info pages infobox titles, maximum 7 chars
_@M1183_ "主要MC"
_@M1184_ "辅助MC"
_@M1185_ "风况"
_@M1186_ "eIAS"
_@M1187_ "需效率"
_@M1188_ "到达"
_@M1189_ "Var30"
_@M1190_ "到达Mc0"
_@M1191_ "到达点0"
_@M1192_ "StDis"
_@M1193_ "真高"
_@M1194_ "Var"
_@M1195_ "阻碍"
_@M1196_ "海豚"
_@M1197_ "岸边"
_@M1198_ ""
_@M1199_ "Sat"
_@M1200_ "开始"

# McCready mode $(MacCreadyMode) in menu macros, use 3-4 chrs maximum!
_@M1201_ "主"
_@M1202_ "自动"
# Map label modes $(MapLabelsToggleActionName) in menu macros
_@M1203_ "WPTS"
_@M1204_ "拓扑地图"
# $(VisualGlideToggleName) if extended VisualGlide is enabled
_@M1205_ "移动中"

# Startup / Shutdown dialog texts
_@M1206_ "初始化中..."
_@M1207_ "错误未知的解决方案！"
_@M1208_ "错误无目录:"
_@M1209_ "检查安装！"
_@M1210_ "滑翔模式"
_@M1211_ "模拟"
_@M1212_ "自动背光控制"
_@M1213_ "无背光控制"
_@M1214_ "自动音量控制"
_@M1215_ "无音量控制"
_@M1216_ "扫描天气预报"
_@M1217_ "启动设备"
_@M1218_ "显示初始化中"
_@M1219_ "关机，请等待..."
_@M1220_ "关机，保存日志中..."
_@M1221_ "关机，保存配置文件中..."
_@M1222_ "关机，保存任务中..."

# Topology options reset msgbox
_@M1223_ "重置拓扑地图为默认值"

# Waypoint filters 1229 no more than 3 chrs!
_@M1224_ "机场"
_@M1225_ "可降落"
_@M1226_ "转弯点"
_@M1227_ "文件1"
_@M1228_ "文件2"
_@M1229_ "HDG"

# TeamCode dialog captions
_@M1230_ "团队参考.: "
_@M1231_ "团队代码: 设置参考!"

# Waypoint edit dialog (same or less chars!)
_@M1232_ "Lat"
_@M1233_ "纬    度"
_@M1234_ "Lon"
_@M1235_ "经    度"

# Waypoint list flags (Home,Airport,Landable,Turnpoint) 1chr!
_@M1236_ "H"
_@M1237_ "A"
_@M1238_ "L"
_@M1239_ "T"

# dlgLKAirspaceWarning - Airspace warning messages
_@M1240_ "进入"
_@M1241_ "离开"
_@M1242_ "在飞行区内飞行"
_@M1243_ "预计离开飞行区"
_@M1244_ "即将离开飞行区"
_@M1245_ "离开飞行区"
_@M1246_ "预计进入飞行区"
_@M1247_ "进入飞行区"
_@M1248_ "在飞行区外飞行"
_@M1249_ "在禁飞区外飞行"
_@M1250_ "预计进入禁飞区"
_@M1251_ "靠近进入禁飞区"
_@M1252_ "进入禁飞区"
_@M1253_ "在禁飞区内飞行"
_@M1254_ "离开禁飞区"
_@M1255_ "黄色警告"
_@M1256_ "红色警告"
_@M1257_ "离开"
_@M1258_ "进入"
_@M1259_ "太远，未计算"
_@M1260_ "下方"
_@M1261_ "上方"
_@M1262_ "信息"
_@M1263_ "警告等级"
_@M1264_ "水平距离"
_@M1265_ "垂直距离"

# dlgAirspaceDetails - Airspace details
_@M1266_ "确认等级"
_@M1267_ "黄色确认"
_@M1268_ "红色确认"
_@M1269_ "已禁止"
_@M1270_ "飞入"
_@M1271_ "飞出"
_@M1272_ "设置为飞行区吗？"
_@M1273_ "设置为禁飞区？"

# dlgConfig - Airspace warnings
_@M1274_ "警告事项"
_@M1275_ "空域警告参数"
_@M1276_ "空域警告参数已保存。"
_@M1277_ "空域信息重复时间 "
_@M1278_ "垂直边距 "
_@M1279_ "信息显示时长 "
_@M1280_ "允许此空域?"
_@M1281_ "地图标签 "
_@M1282_ "允许"
_@M1283_ "禁止"
_@M1284_ "禁用此空域?"

# new airspace infobox
_@M1285_ "空域垂直距离"
_@M1286_ "空域垂距"

# airspace analysis dialog page
_@M1287_ "航向"
# 1288 UNUSED REMOVED
_@M1288_ "Showing towards next waypoint"
_@M1289_ "下一航点"
# M1290 UNUSED REMOVED
_@M1290_ "Showing toward heading"
_@M1291_ "附近空域"
_@M1292_ "最近空域"
_@M1293_ "声纳"
#1294 REMOVED UNUSED
_@M1294_ "声纳关闭"
_@M1295_ "侧视图"
_@M1296_ "优化器"
_@M1297_ "FAI开始转弯点"
_@M1298_ "FAI开始边"
_@M1299_ "FAI奔驰之星"

# LK info page headers, try to use the same or less number of chars here,
# or test it with different screen reolutions and landscape/portrait mode too!
_@M1300_ "距离"
_@M1301_ "方向"
_@M1302_ "需效"
_@M1303_ "AltA"
_@M1304_ "距离"
_@M1305_ "方向"
_@M1306_ "需求效率"
_@M1307_ "达高"
_@M1308_ "达速"
_@M1309_ "COMN"
_@M1310_ "HIST"
_@M1311_ "LND"
_@M1312_ "LNDB"
_@M1313_ "APT"
_@M1314_ "APTS"
_@M1315_ "TPS"
# ASP for nearest airspaces is M1642

# Reserved waypoint names, comments
_@M1316_ "起飞"
_@M1317_ "热气流"
_@M1318_ "队友"
_@M1319_ "目标"
_@M1320_ "最佳热气流"
_@M1321_ "队友"
_@M1322_ "FLARM目标"

# Overlay multitarget prefixes, maximum 2chars!
_@M1323_ "T>"
_@M1324_ "B>"
_@M1325_ "1>"
_@M1326_ "2>"
_@M1327_ "H>"
_@M1328_ "L>"
_@M1329_ "M"
_@M1330_ "F>"

# LK traffic page headers, try to use the same or less number of chars here,
# or test it with different screen reolutions and landscape/portrait mode too!
_@M1331_ "TRF"
_@M1332_ "Var"
_@M1333_ "高度表"
_@M1334_ "海拔高度"

# Mapwindow texts
_@M1335_ " 地形?"
_@M1336_ " T?"
_@M1337_ " AZM"
_@M1338_ " 平移"
_@M1339_ " iAUX"
_@M1340_ " TRM0"
_@M1341_ " 民航1"
_@M1342_ " ALT2"
_@M1343_ " STA3"
_@M1344_ " 任务4"
_@M1345_ " ATN5"
_@M1346_ " 系统6"
_@M1347_ " 巡航7"
_@M1348_ " 最佳8"
_@M1349_ " 辅助9"
_@M1350_ " 回放"
_@M1351_ " 配重"

# LKUtils
_@M1352_ "电池电量"
_@M1353_ "电池管理器已禁用"
_@M1354_ "电池电量不足！"
_@M1355_ "电池电量很低！"
_@M1356_ "电池电量低！"
_@M1357_ "电池警告已禁用"

# Logger task declaration
_@M1400_ "任务公告"
_@M1401_ "启用公告模式"
_@M1402_ "禁用公告模式"
_@M1403_ "发送公告"
_@M1404_ "开启连接"
_@M1405_ "测试连接"
_@M1406_ "关闭连接"
_@M1410_ "未知错误"
_@M1411_ "设备未连接！"
_@M1412_ "无足够航路点！"
_@M1413_ "太多航路点！"
_@M1414_ "设备无响应！"
_@M1415_ "不接受公告！"
_@M1420_ "公告时出错"
_@M1421_ "任务描述"
_@M1422_ "起点和终点"

_@M1423_ "在飞行中禁止！"

#
# Variometer Bar
#
_@M1424_ "高度表模式"
_@M1425_ "在热气流和巡航中使用高度表"
_@M1426_ "在热气流中使用高度表，巡航中全用Netto"
_@M1427_ "热气流中使用高度表, 巡航中使用STF"

#
# Contests
#
_@M1450_ "比赛"
_@M1451_ "改变"
_@M1452_ "检测到自由飞行起飞"

#
# Contest infoboxes, full name and abbreviated name for boxes
# We need OLC ahead of full names, to keep ordering in infobox list during configuration
#
# League predicted is not used
#
_@M1455_ "OLC典型距离"
_@M1456_ "OLC距离"
_@M1457_ "OLC FAI三角距离"
_@M1458_ "FAI距离"
_@M1459_ "OLC联赛距离"
_@M1460_ "联赛距离"
_@M1461_ "OLC FAI 3 TPs距离"
_@M1462_ "3TP距离"

_@M1463_ "OLC典型*预计距离"
_@M1464_ "OLC*估距"
_@M1465_ "OLC FAI三角*预计距离"
_@M1466_ "FAI*估距"
_@M1467_ "OLC联赛*预计距离"
_@M1468_ "联赛*预计距离"
_@M1469_ "OLC FAI 3 TPs*预计距离"
_@M1470_ "3TP*估距"

_@M1471_ "OLC典型速度"
_@M1472_ "OLC速度"
_@M1473_ "OLC FAI三角速度"
_@M1474_ "FAI速度"
_@M1475_ "OLC联赛速度"
_@M1476_ "联赛速度"
_@M1477_ "OLC FAI 3 TPs速度"
_@M1478_ "3TP速度"

_@M1479_ "OLC典型*预计速度"
_@M1480_ "OLC*估速"
_@M1481_ "OLC FAI三角*预计速度"
_@M1482_ "FAI*估速"
_@M1483_ "OLC联赛*预计速度"
_@M1484_ "LEA*估速"
_@M1485_ "OLC FAI 3 TPs*预计速度"
_@M1486_ "3TP*估速"

_@M1487_ "OLC典型得分"
_@M1488_ "OLC得分"
_@M1489_ "OLC FAI三角得分"
_@M1490_ "FAI得分"
_@M1491_ "OLC联赛得分"
_@M1492_ "联赛得分"
_@M1493_ "OLC FAI 3 TPs得分"
_@M1494_ "3TP得分"

_@M1495_ "OLC典型*预计得分"
_@M1496_ "OLC*估分"
_@M1497_ "OLC FAI三角*预计得分"
_@M1498_ "FAI*估分"
_@M1499_ "OLC 联赛*预计得分"
_@M1500_ "联赛*估分"
_@M1501_ "OLC FAI 3 TPs*预计得分"
_@M1502_ "3TP*估分"

_@M1503_ "OLC加分"
_@M1504_ "加分"
_@M1505_ "OLC加分*预计分"
_@M1506_ "加分*估分"

_@M1507_ "OLC FAI三角形闭合距离"
_@M1508_ "C:"
_@M1509_ "OLC FAI三角距离闭合 %"
_@M1510_ "%C:"
_@M1511_ "B:"
# #############################
# NEW 2.4 messages
# #############################

# Device name for "no device"
_@M1600_ "无效"
# Ex-963, new message for screen unlock
_@M1601_ "双击右下角解锁"

# Config system menu page 
_@M1602_ "配置底部信息栏"
_@M1603_ "配置信息页"
_@M1604_ "配置xxxx"
_@M1605_ "底部信息栏"
_@M1606_ "信息页"
_@M1607_ "底部栏配置已保存"
_@M1608_ "信息页配置已保存"

# Config InfoPages
_@M1610_ "1.1 巡航 "
_@M1611_ "1.2 热气流 "
_@M1612_ "1.3 任务 "
_@M1613_ "1.4 自定义 "
_@M1614_ "1.5 比赛 "
_@M1615_ "1.6 转弯 "
_@M1616_ "2.1 APT "
_@M1617_ "2.2 LND "
_@M1618_ "2.3 TPS "
_@M1619_ "2.4 ASP "
_@M1620_ "3.1 COMN "
_@M1621_ "3.2 HIST "
_@M1622_ "3.3 THERM "
_@M1623_ "1.7 水平仪 "

# New airspace messages
_@M1630_ "高度边缘 "

# Navboxes
_@M1640_ "当前襟翼"
_@M1641_ "襟翼"

# Header nearest Airspaces
_@M1642_ "ASP"

_@M1643_ "已启用"

_@M1644_ "到家高"
_@M1645_ "到家"

# Menu Config 15, Alarms
_@M1646_ "15警报器"
_@M1647_ "最大高度1 "
_@M1648_ "最大高度2 "
_@M1649_ "最大高度3 "

# "ALARM x ALTITUDE 1234"   warning message
_@M1650_ "警报"
_@M1651_ "注意高度"

# customkey for airspace analysis
_@M1652_ "空域分析"
_@M1653_ "切换地图<>空域信息页"

# airspace details buttons
_@M1654_ "选择"
_@M1655_ "分析"
_@M1656_ "*取消选择*"

# customkeys zoom 
_@M1657_ "放大"
_@M1658_ "缩小"
_@M1659_ "快速放大"
_@M1660_ "快速缩小"

# Active map indicator in map scale (with AZM, NAV1 etc.), 3 letters!
_@M1661_ "ACT"

# Error message
_@M1662_ "系统错误"
_@M1663_ "没有足够内存"

# Total energy configuration 
# Toggle is for customkey config
_@M1666_ "总能量切换"
_@M1667_ "总能量使用中!"
_@M1668_ "完全节能"
_@M1669_ "使用总能量 "

# Header Thermal History keep short!
_@M1670_ "THR"
# average lift 
_@M1671_ "热气流均"
_@M1672_ "热气流细节"
_@M1673_ "平均"

# Auto MC configuration
_@M1674_ "自动Mc "
# Menu buttons MacCready, keep very short! - F C E are the overlay indicators
# Fin Th Equ  are fron button shortcuts, max 3 letters!
_@M1675_ "最佳"
_@M1676_ "F"
_@M1677_ "热气"
_@M1678_ "T"
_@M1679_ "等效"
_@M1680_ "E"
_@M1681_ "Fin"
_@M1682_ "Th"
_@M1683_ "Eq"
# Change 118 average climb with average thermal
_@M1684_ "平均热气流(Th.All)"
# Change 148 with 1685
_@M1685_ "最佳+平均"

# Optimized routes for paraglider
_@M1686_ "最优路线 "
_@M1687_ "切换到最优路线"

# Customkey name
_@M1688_ "屏幕锁"
_@M1689_ "神谕"

# ORACLE
_@M1690_ "LK8000神谕"
_@M1691_ "神谕在思考"
_@M1692_ "请等待..."

# Customkey
_@M1693_ "加深地形颜色"

# Safety Altitude indicator on overlay
_@M1694_ "+ 安全"

#infobox Logger status
_@M1695_ "记录器"
# max 3-4 chars!
_@M1696_ "自动"

# PG autozoom threshold on config page 23
_@M1697_ "自动缩放阈值 "

#Multitarget bearing infobox
_@M1698_ "多目标方位"
_@M1699_ "多点方"

# Logger status
_@M1700_ "开"
_@M1701_ "未记录"

# dialogs for The Oracle
_@M1702_ "神谕想要GPS定位"
_@M1703_ "北"
_@M1704_ "东北"
_@M1705_ "东"
_@M1706_ "东南"
_@M1707_ "南"
_@M1708_ "西南"
_@M1709_ "西"
_@M1710_ "西北"
# 3km south-west of ..
_@M1711_ "于"
_@M1712_ "附近"
_@M1713_ "上空"
_@M1714_ "本城"
# 2km South of the city
_@M1715_ "城市的"
_@M1716_ "城市上空"
# over the city and (lake)
_@M1717_ "城市和湖"
# 2km south of city , over (lake)
_@M1718_ "上空"
_@M1719_ "到最近"
# grass airport, small airport
_@M1720_ "机场的"
# outlanding field, not an airport/airfield
_@M1721_ "领域的"
_@M1722_ "机场的"
_@M1723_ "到最近"
_@M1724_ "你的位置:"
_@M1725_ "非常抱歉"
_@M1726_ "你的位置未知!"
# 1727-1739 reserved for The Oracle
_@M1740_ "OLC分析"
_@M1741_ "完全重置LK8000配置文件!"
_@M1742_ "真高:"
_@M1743_ "ELV:"
# this was the old V rough air. Leave a trailing space!
_@M1744_ "最快速度 "
# new startup profile buttons
_@M1745_ "飞机"
_@M1746_ "系统"
# new button caption on task overview dialog, appears only in PG/HG mode
_@M1747_ "时间门"
_@M1748_ "日志本"
_@M1749_ "文件没有找到"
_@M1750_ "空"
_@M1751_ "确认飞行日志本重置?"
_@M1752_ "重置飞行日志本"
_@M1753_ "飞行清单"
_@M1754_ "自由飞行开始"
_@M1755_ "拖曳"
_@M1756_ "飞行员"
_@M1757_ "LK8000配置文件重置"
_@M1758_ "这会将所有配置文件重置为出厂默认设置"
_@M1759_ "在系统中选择"

#
# These are new infoboxes:
_@M1761_ "备用1 方位"
_@M1762_ "备用2 方位"
_@M1763_ "最佳备用 方位"
_@M1764_ "备用1距离"
_@M1765_ "备用2距离"
_@M1766_ "最佳备用距离"
_@M1767_ "达到最高海拔"
_@M1768_ "最高海拔"
_@M1769_ "最大已获得高度"
_@M1770_ "获取高度"
_@M1771_ "航向风速"
_@M1772_ "迎风"
# Customkey
_@M1774_ "减浅地形颜色"

# New AverEfficiency intervals
_@M1775_ "3 秒"
_@M1776_ "5 秒"
_@M1777_ "10 秒"
_@M1778_ "45 秒"

# New livetracker configuration
_@M1779_ "实时跟踪器日志间隔 "
_@M1780_ "用户"
_@M1781_ "密码"
_@M1782_ "实时跟踪服务器"

# configuration SETUP save 
_@M1783_ "飞机配置文件"
_@M1784_ "飞行员配置文件"
# page names
_@M1785_ "飞行员配置"
_@M1786_ "飞机配置"

# Page names in configuration
_@M1787_ "自定义菜单"
_@M1788_ "自定义配置菜单"

_@M1789_ "删除任务文件"
_@M1790_ "无任务文件被删除"

# Customkey configuration item
_@M1791_ "准备切换高级"

# configuration PG/Hg specials
_@M1792_ "快速手势 "

# Wind mode configuration, "External" (from external instrument)
_@M1793_ "外部传感器"

# Safety takeoff alarm
_@M1794_ "安全起飞 "

# Replacing 120, 755 and 756
_@M1795_ "气压海拔可用"
_@M1796_ "使用气压海拔中"

# Replacing 822
_@M1797_ "向量"

_@M1798_ "准备转弯点"
_@M1799_ "停止移动!"

_@M1800_ "无轨迹"
_@M1801_ "爬升轨迹"
_@M1802_ "爬升/下沉轨迹"
_@M1803_ "航向向上"
_@M1804_ "航向向右"
_@M1805_ "线+下一航点"
_@M1806_ "阴影+下一航点"
_@M1807_ "_已预留 2"
_@M1808_ "加载FLARMNET数据库中"

# Trip computer, Infobox title, max 6-7 chars
_@M1809_ "移动"
_@M1810_ "稳住"
_@M1811_ "汇总"
_@M1812_ "时光"

# New virtual waypoints
_@M1813_ "FAI关闭"
_@M1814_ "自由飞翔"
# 1815 can be changed anytime, do not reuse!
_@M1815_ "未使用"
_@M1816_ "FAI点关闭中"
_@M1817_ "退出并返回关闭中的点"

# profile button, keep short!
_@M1818_ "设备"
# configuration SETUP save 
_@M1819_ "设备配置文件"
# page name
_@M1820_ "设备配置"
# Bottom bar configuration button
_@M1821_ "自动"
_@M1822_ "配置多地图"
// leave a space after Ack
_@M1823_ "小组确认 "

// Task buttons (keep SHORT text!)
_@M1824_ "插入处开始"
_@M1825_ "之前插入"
_@M1826_ "替换"
_@M1827_ "结束前附加"
_@M1828_ "结束后附加"

# Gear warning alarm
_@M1829_ "设备警告中 "
_@M1830_ "设备高度警告中 "
_@M1831_ "关闭"
_@M1832_ "临近陆地"
_@M1833_ "总是"
_@M1834_ "检查设备！"

# oudie 2 bluetooth
_@M1835_ "无法配对设备"
_@M1836_ "查找"
_@M1837_ "配对"
_@M1838_ "取消配对"

_@M1840_ "最佳备用:"
#infobox
_@M1841_ "备用1辐射状"
_@M1842_ "备用2辐射状"
_@M1843_ "备用1距离.nm"
_@M1844_ "备用2距离.nm"

# Reverse task
_@M1850_ "反向\n任务"
_@M1851_ "反向任务"
_@M1852_ "反向任务?"
_@M1853_ "任务反向"

# HSI
_@M1860_ "水平仪"

_@M1870_ "空域声纳 "
_@M1871_ "终端"
_@M1872_ "没有接收到数据"

# Menu 12 font edit
_@M1880_ "地图航路点 "
_@M1881_ "拓扑地图 "
_@M1882_ "最近 "
_@M1883_ "底状态栏 "
_@M1884_ "叠加类型 "
_@M1885_ "信息显示2行 "
_@M1886_ "叠加目标 "
_@M1887_ "叠加数值 "
_@M1888_ "可视滑翔 "

_@M1891_ "左上方 "
_@M1892_ "顶部中心 "
_@M1893_ "右上 "
_@M1894_ "右上方 "
_@M1895_ "右中心 "
_@M1896_ "右下 "
_@M1897_ "左上 "
_@M1898_ "左中心 "
_@M1899_ "左下 "
_@M1900_ "左上角 "
_@M1901_ "关  机"

############################################################
#                  - MENU MESSAGES - 
#
#             DO NOT REMOVE OR CHANGE \n  
#       it means New Line, for line splitting!!
#
############################################################

_@M2001_ "缩放\n放大"
_@M2002_ "缩放\n缩小"
_@M2003_ "这是\n什么?"
_@M2004_ "平移\n"
_@M2005_ "全\n屏"
_@M2006_ "显示\n1/3"
_@M2007_ "显示\n2/3"
_@M2008_ "显示\n3/3"
_@M2009_ "缩放"
_@M2010_ "导航\n1/3"
_@M2011_ "取消"
_@M2012_ "返回"
_@M2013_ "任务\n计算"
_@M2014_ "高级\n"
_@M2015_ "航点\n查看"
_@M2016_ "导航\n2/3"
_@M2017_ "任务\n编辑"
_@M2018_ "任务\n清除"
_@M2019_ "任务\n重开"
_@M2020_ "目标"
_@M2021_ "团队\n代码"
