# LK8000 ENGLISH MESSAGES - ENG_MSG.TXT
# MASTER UPDATED:  110102
#
# This file is loaded on startup and all messages are stored internally.
# If you are translating these messages, try to respect sizes.
# The first _@Mn_  are the indexes, and you cannot change them!
#
# Please note that ENG_MSG.TXT is the english master language for LK8000
# and it should always exist. Do not change ENG_MSG.TXT!
#
# All lines that are empty, or starting with a # , are ignored.
# DEVELOPERS ADDING NEW MESSAGES HERE SHOULD REQUEST A NUMBERING SLOT TO PAOLO

_@M1_ " Διαφορά"
_@M661_ "Κατάσταση: Αεροσκάφος"
_@M662_ "Κατάσταση: Εξωτ. Συσκευής"
_@M663_ "Κατάσταση: Κανόνες"
_@M664_ "Κατάσταση: Συστήματα"
_@M665_ "Κατάσταση: Διαδρομή"
_@M666_ "Κατάσταση: Χρόνοι"
_@M667_ "Statute"
_@M668_ "Σταθερά"
_@M669_ "Stop Καταγραφέα"
_@M670_ "Stop"
_@M671_ "Δύση ηλίου"
_@M672_ "Μπαταρία"
_@M673_ "Κατάσταση Συστήματος"
_@M674_ "ΟΡΑΤΟΣ ΠΡΟΟΡΙΣΜΟΣ"
_@M675_ "ΠΡΟΟΡΙΣΜΟΣ ΚΛΕΙΔΩΘΗΚΕ"
_@M676_ "ΜΗΔΕΝΙΣΜΟΣ ΕΠΑΝΕΚΚΙΝΗΣΗΣ ΔΙΑΔΡΟΜΗΣ"
_@M677_ "TRUE"
_@M678_ "TURN"
_@M679_ "Tab"
_@M680_ "Ώρα Απογείωσης"
_@M681_ "Targ.speed"
_@M682_ "Target circling"
_@M683_ "Στόχος Κλειδώθηκε"
_@M684_ "Στόχος"
_@M685_ "Υπολογιστής Διαδρομής"
_@M686_ "Δήλωση Διαδρομής!"
_@M687_ "Τέλος Διαδρομής"
_@M688_ "Επισκόπηση Διαδρομής"
_@M689_ "Σημείο Διαδρομής"
_@M690_ "Κανόνες Διαδρομής"
_@M691_ "Ταχύτητα Διαδρομής "
_@M692_ "Εναρξη Διαδρομής"
_@M693_ "Κατάσταση Διαδρομής"
_@M694_ "Δήλωση Διαδρομής"
_@M695_ "Απόσταση Διαδρομής"
_@M696_ "Το αρχείο Διαδρομής είδη υπάρχει"
_@M697_ "Ταχύτητα Διαδρομής"
_@M698_ "Task to go"
_@M699_ "Διαδρομή"
_@M700_ "Κωδικός Ομάδας"
_@M701_ "Temp trace"
_@M702_ "Φωτεινότητα Εδάφους "
_@M703_ "Χρώματα Εδάφους "
_@M704_ "Αντίθεση Εδάφους "
_@M705_ "Οθόνη Εδάφους "
_@M706_ "Έδαφος "
_@M707_ "Υψόμετρο Εδάφους "
_@M708_ "Έδαφος"
_@M709_ "Έδαφος\nOFF"
_@M710_ "Style Κειμένου"
_@M711_ "Κείμενο:"
_@M712_ "Μπάρα Θερμικού "
_@M713_ "Thermal Orbiter "
_@M714_ "Υψος Θερμικού"
_@M715_ "Εντόπισμός Θερμικού "
_@M716_ "Αυτό το Σημείο είναι μόνο για ανάγνωση"
_@M717_ "Time "
_@M718_ "Time step circling "
_@M719_ "Time step cruise "
_@M720_ "Time"
_@M721_ "Timing "
_@M722_ "Πλήκτρο Χάρτη<>Κοινά"
_@M723_ "Πλήκτρο Χάρτη<>Προσγειώσημα"
_@M724_ "Πλήκτρο Χάρτη<>Κυκλοφορία"
_@M725_ "Πλήκτρο Χάρτη<>τρέχουσα σελίδα"
_@M726_ "Πλήκτρο Επικάλυψης"
_@M727_ "Πάρα πολλά σημεία στην Διαδρομή!"
_@M728_ "Top Screen"
_@M729_ "Top"
_@M730_ "Topleft"
_@M731_ "Topology Zoom Levels"
_@M732_ "Αποθήκευση διαμόρφωσης Τοπολογίας."
_@M733_ "Οθόνη Τοπολογίας "
_@M734_ "Στοιχεία Τοπολογίας"
_@M735_ "Total:"
_@M736_ "Track Line "
_@M737_ "Track up"
_@M738_ "Traffic"
_@M739_ "Trail drift "
_@M740_ "Μήκος Ίχνους "
_@M741_ "Πλάτος Ίχνους "
_@M742_ "Τρίγωνο"
_@M743_ "True Type"
_@M744_ "TrueWind IAS "
_@M745_ "TrueWind period "
_@M746_ "TrueWind updated!"
_@M747_ "Tsk start time "
_@M748_ "Tsk time gates "
_@M749_ "Πυλώνας"
_@M750_ "Φίλτρα Πυλώνων "
_@M751_ "Τύπος "
_@M752_ "Τύπος"
_@M753_ "ΑΓΝΩΣΤΟ! "
_@M754_ "ΞΕΚΛΕΙΔΩΜΑ"
_@M755_ "ΧΡΗΣΗ ΔΙΑΘΕΣΗΜΟΥ ΥΨΟΥΣ BARO"
_@M756_ "ΧΡΗΣΗ ΥΨΟΥΣ BARO"
_@M757_ "ΧΡΗΣΗ ΥΨΟΥΣ GPS"
_@M758_ "UTC Offset "
_@M759_ "Unable to Change Settings on Port"
_@M760_ "Unable to Set Serial Port Timers"
_@M761_ "Unable to Start RX Thread on Port"
_@M762_ "Unable to open port"
_@M763_ "Unboxed, no units"
_@M764_ "Unboxed, with units"
_@M765_ "Άγνωστο"
_@M766_ "Χρήση χρόνου GPS"
_@M767_ "Χρήση HBar on/off"
_@M768_ "Χρήση MacCready"
_@M769_ "Χρήση aver.efficiency"
_@M770_ "Χρήση ύψους baro"
_@M771_ "Use black outline*"
_@M772_ "V ach"
_@M773_ "V rem"
_@M774_ "V rough air "
_@M775_ "ΕΙΚΟΝΙΚΟ Σημείο"
_@M776_ "Έγκυρο τελείωμα"
_@M777_ "Έγκυρη αρχή"
_@M778_ "Λευκά Στοιχεία"
_@M779_ "Μεταβλητό"
_@M780_ "Vario μαύρο"
_@M781_ "Vario πρασ+κοκκ"
_@M782_ "Vario rainbow"
_@M783_ "Vario κοκκ+μπλέ"
_@M784_ "Vario"
_@M785_ "Variometer Bar "
_@M786_ "Πολύ Ψηλά"
_@M787_ "Εικονικά Πλήκτρα "
_@M788_ "Ένταση "
_@M789_ "Προειδοποίηση"
_@M790_ "Προειδοποίηση Χρόνου*"
_@M791_ "Προειδοποίηση"
_@M792_ "Προειδοποιήσεις "
_@M793_ "Υδατογραφήματα "
_@M794_ "Κύμα"
_@M795_ "Επεξεργασία Σημείων"
_@M796_ "Πληροφορίες Σημείων"
_@M797_ "Waypoint Parser"
_@M798_ "Επεξεργασία Σημείων UTM"
_@M799_ "Σημειώσεις"
_@M800_ "Σημεία"
_@M801_ "Έναρξη\nΣημείων"
_@M802_ "Επόμενο\nΣημείο"
_@M803_ "Προηγ/μενο\nΣημείο"
_@M804_ "Εναρξη\nΣημείου"
_@M805_ "Waypointfile Parse Error"
_@M806_ "Σημεία 1 "
_@M807_ "Σημεία 2 "
_@M808_ "Στυλ κειμένου Σημείων "
_@M809_ "Επεξεργασμένα Σημεία"
_@M810_ "Σημεία που εξαιρούνται, αποθήκευση?"
_@M811_ "Σημεία εκτός Εδάφους"
_@M812_ "Πρόγνωση καιρού"
_@M813_ "Παράμετροι καιρού"
_@M814_ "Βάρος"
_@M815_ "Λευκό περίγραμμα"
_@M816_ "Λευκό"
_@M817_ "Θα είναι αυτό το τέλος?"
_@M818_ "Ρυθμίσεις Ανέμου"
_@M819_ "Δείκτης Ανέμου"
_@M820_ "Άνεμος σε Υψόμετρο"
_@M821_ "Φορτίο πτέρυγας "
_@M822_ "Winpilot"
_@M823_ "Working band"
_@M824_ "Wpt εκτός Εδάφους "
_@M825_ "Κίτρινο"
_@M826_ "Ναί σε ΟΛΑ"
_@M827_ "ΝΑΙ"
_@M828_ "Κωδικός σου "
_@M829_ "Zombie "
_@M830_ "Zone "
_@M831_ "_Κενό_"
_@M832_ "Πρόσθεση Σημείου"
_@M833_ "Βοηθητικά"
_@M834_ "Κύκλωμα"
_@M835_ "Πορεία"
_@M836_ "Τελική Πορεία"
_@M837_ "εκτός ορίων εδάφους"
_@M838_ "Πρώτα 8"
_@M839_ "Πρώτα 10"
_@M840_ "Πρώτα 12"
_@M841_ "Μέγεθος Χαρακτήρων"
_@M842_ "Μεγάλοι Χαρακτήρες "
_@M843_ "Μικροί Χαρακτήρες"
_@M850_ "ΤΟ ΠΡΩΤΟ ΠΑΡΑΘΥΡΟ ΑΝΟΙΓΗ ΣΕ 1 ΩΡΑ"
_@M851_ "ΤΟ ΠΡΩΤΟ ΠΑΡΑΘΥΡΟ ΑΝΟΙΓΗ ΣΕ 30 ΛΕΠΤΑ"
_@M852_ "10 MINUTES TO GO"
_@M853_ "5 MINUTES TO GO"
_@M854_ "ActiveMap ON"
_@M855_ "ActiveMap OFF"
_@M856_ "AutoZoom ON"
_@M857_ "AutoZoom OFF"
_@M858_ "Pan mode ON"
_@M859_ "Pan mode OFF"
_@M860_ "Auto MacCready ON"
_@M861_ "Auto MacCready OFF"
_@M862_ "Καταγραφέας ON"
_@M863_ "Καταγραφέας OFF"
_@M864_ "NMEA Log ON"
_@M865_ "NMEA Log OFF"
_@M866_ "Ποιότητα"
_@M867_ "ORBITER ON"
_@M868_ "ORBITER OFF"
_@M869_ "Εντός Εναέριου Χώρου"
_@M870_ "Έξοδος"
_@M871_ "Πλησιέστερος Εναέριος Χώρος"
_@M872_ "LANDSCAPE ZOOM FOR 20s"
_@M873_ "BACK TO NORMAL ZOOM"
_@M874_ "Πιέστε στο κέντρο της οθόνης για να ξεκινήσετε"
_@M875_ "ΠΡΟΣΟΧΗ: ΤΟ GPS ΣΤΕΛΝΕΙ ΑΚΥΡΗ ΗΜΕΡΟΜΗΝΙΑ,\n ΚΑΙ ΠΙΘΑΝΟΣ ΛΑΘΟΣ ΧΡΟΝΟ"
_@M876_ "Εκκίνηση δηλωμένης καταγραφής"
_@M877_ "Εγκατάσταση Αποθηκέυτηκε"
_@M878_ "Σημειωματάριο"
_@M879_ "ΣΥΓΝΩΜΗ Ο ΠΡΟΟΡΙΣΜΟΣ ΜΟΛΙΣ ΕΞΑΦΑΝΙΣΤΗΚΕ"
_@M880_ "UNLOCK current target?"
_@M881_ "Επιλογή Προορισμού"
_@M882_ "TARGET RELEASED"
_@M883_ "TARGET DISAPPEARED!"
_@M884_ "LOCK this target?"
_@M885_ "Ρυθμίσεις"
_@M886_ "Υπολ. Διαδρομής"
_@M887_ "Set wind"
_@M888_ "Προειδοποιήσεις"
_@M889_ "Μάζα"
_@M890_ "ΟΧΙ"
_@M891_ "Ακύρωση παλιάς διαδρομής και φόρτωση"
_@M892_ "(Χειρωκίνητο)"
_@M893_ "(Αυτόματο)"
_@M894_ "ON"
_@M895_ "Force"
_@M896_ "Unforce"
_@M897_ "Auto"
_@M898_ "ALL OFF"
_@M899_ "ALL ON"
_@M900_ "Φόρτωση Αρχείου Εδάφους..."
_@M901_ "Φόρτωση Ονοματολογίας Εδάφους..."
_@M902_ "Φόρτωση Αρχείου Τοπολογίας..."
_@M903_ "Φόρτωση Αρχείου Σημείων..."
_@M904_ "Tactical Flight Computer"
_@M905_ "Θερμικό"
_@M906_ "Πορεία"
_@M907_ "Διαδρομή"
_@M908_ "Custom"
_@M909_ "Στροφή"
_@M910_ "Στόχος"
_@M911_ "Sight"
_@M912_ "[no dest]"
_@M913_ "Experimental"
_@M914_ "[no target]"
_@M915_ "ΟΧΙ ΓΙΑ ΧΡΗΣΗ IFR"
_@M916_ "ΠΡΟΣΟΧΗ, ΟΧΙ ΠΡΟΣΓΕΙΩΣΕΙΣ"
_@M917_ "Lat/Lon "
_@M918_ "Lat/Lon"
_@M919_ "LatLon"
_@M920_ "Σφάλμα φόρτωσεις αρχείου πολικής καμπύλης!"
_@M921_ "Αντίστροφη μέτρηση"
_@M922_ "ΟΧΙ ΣΕ ΠΤΗΣΗ"
_@M923_ "ΛΑΘΟΣ inSIDE"
_@M924_ "ΛΑΘΟΣ outSIDE"
_@M925_ "NO TSK START"
_@M926_ "In sector, arm advance when ready"
_@M927_ "Αναμονή για επικοινωνία GPS"
_@M928_ "Επανεκκίνηση Θυρών επικοινωνίας"
_@M929_ "Αναμονή για επανασύνδεση GPS"
_@M930_ "Απογείωση"
_@M931_ "Προσγείωση"
_@M932_ "Ανωθεν Final Glide"
_@M933_ "Κάτωθεν Final Glide"
_@M934_ "Τελική Πορεία Μέσω Εδάφους"
_@M935_ "Καθαρισμός Σημείων"
_@M936_ "Αγωνιστική Κλάση"
_@M937_ "Αγωνιστική Κλάση: "
_@M938_ "Αγωνιστική ID"
_@M939_ "Αγωνιστική ID: "
_@M940_ "Συμπλήρωση "
_@M941_ "Περίγράμμα Μόνο"
_@M942_ "Διάταξη"
_@M943_ "Ημι-Διάφανο"
_@M944_ "Αδιαφάνεια "
_@M945_ "Διάταξη, περιθώρια μόνο"
_@M946_ "Ημι-Διάφανο, περιθώρια μόνο"

_@M950_ "Αδιαφάνεια Κάτω μπάρας"
_@M951_ "Cannot stop RX thread!"
_@M952_ "Αδυναμία εγγραφής δεδομένων στη Θύρα!"
_@M953_ "Διάφανο"
_@M954_ "Εξομάλυνση Γραμματοσειράς "
_@M955_ "ClearType"
_@M956_ "Anti Aliasing"
# Page 1.5 name, keep short:
_@M957_ "Αγώνας"

# ON/OFF in dialog windows (not Menu)
_@M958_ "ON"
_@M959_ "OFF"

#
# Paragliding lock/unlock screen feature
#
_@M960_ "ΕΠΙΒΕΒΑΙΩΣΗ ΞΕΚΛΕΙΔΩΜΑΤΟΣ ΟΘΟΝΗΣ?"
_@M961_ "ΕΠΙΒΕΒΑΙΩΣΗ ΚΛΕΙΔΩΜΑΤΟΣ ΟΘΟΝΗΣ?"
# 962 max 35 characters!
_@M962_ "ΟΘΟΝΗ ΚΛΕΙΔΩΜΕΝΗ ΜΕΧΡΙ ΤΗΝ ΑΠΟΓΕΙΩΣΗ"
# 963 unused since 2.3
_@M963_ "ΚΑΝΕ ΔΙΠΛΟ ΚΛΙΚ ΣΤΗΝ ΟΘΟΝΗ ΓΙΑ ΑΝΑΓΚΑΣΜΟ ΞΕΚΛΕΙΔΩΜΑΤΟΣ"
_@M964_ "Η ΟΘΟΝΗ ΕΙΝΑΙ ΞΕΚΛΕΙΔΩΤΗ"
#
# Menu buttons, MAX 8 character per line! Keep \n !
_@M965_ "ΞΕΚΛΕΙΔΩΜΑ\nΟΘΟΝΗΣ"
_@M966_ "ΚΛΕΙΔΩΜΑ\nΟΘΟΝΗΣ"

#
# GPS and COM port warnings
#
_@M970_ " GPS: ΟΧΙ ΕΓΚΥΡΟ ΣΗΜΑ "
_@M971_ " GPS: Χωρίς ComPort "
_@M972_ " GPS: Χωρίς Δεδομένα Rx "
_@M973_ " GPS λείπει "
_@M974_ " GPS δεν είναι συνδεδεμένο "
_@M975_ " GPS λάθος δεδομένα "


#
# Infoboxes in Description / Tile order. 
# In titles use maximum 7 characters
#
_@M1001_ "Ύψος QNH"
_@M1002_ "Ύψος"
_@M1003_ "Ύψος AGL"
_@M1004_ "HAGL"
_@M1005_ "Θερμικό τελευταία 30 sec"
_@M1006_ "TC.30s"
_@M1007_ "Κατεύθυνση"
_@M1008_ "Brg"
_@M1009_ "Eff. τελευταία 20 sec"
_@M1010_ "E.20s"
_@M1011_ "Eff. τελευταίου θερμικού"
_@M1012_ "E.Cru"
_@M1013_ "Ταχύτητα Εδάφους"
_@M1014_ "GS"
_@M1015_ "Μέσος όρος τελευταίου θερμικού"
_@M1016_ "TL.Avg"
_@M1017_ "Απόκτηση ύψους από τελευταίο θερμικό"
_@M1018_ "TL.Gain"
_@M1019_ "Χρόνος τελευταίου θερμικού"
_@M1020_ "TL.Time"
_@M1021_ "Ρύθμιση MacCready"
_@M1022_ "MCready"
_@M1023_ "Επόμενη Απόσταση"
_@M1024_ "Dist"
_@M1025_ "Υψος επόμενης άφηξης"
_@M1026_ "NxtArr"
_@M1027_ "Υψος που απαιτείται για επόμενο σημείο"
_@M1028_ "NxtAltR"
# 1029 UNUSED REMOVED
_@M1029_ "_Reserved 2"
_@M1030_ "Επόμενο"
_@M1031_ "Υψος άφηξης διαδρομής"
_@M1032_ "TskArr"
_@M1033_ "Απαιτούμενο ύψος διαδρομής"
_@M1034_ "TskAltR"
_@M1035_ "Μέση Ταχύτητα διαδρομής"
_@M1036_ "TskSpAv"
_@M1037_ "Απόσταση διαδρομής"
_@M1038_ "TskDis"
_@M1039_ "_Reserved 1"
_@M1040_ "OLD fLD"
_@M1041_ "Υψόμετρο Εδάφους"
_@M1042_ "Gnd"
_@M1043_ "Μ.Ο. Θερμικού"
_@M1044_ "TC.Avg"
_@M1045_ "Κέρδος ύψους Θερμικού"
_@M1046_ "TC.Gain"
_@M1047_ "Πορεία"
_@M1048_ "Πορεία"
_@M1049_ "Vario"
_@M1050_ "Vario"
_@M1051_ "Ταχύτητα Ανέμου"
_@M1052_ "WindV"
_@M1053_ "Κατεύθυνση Ανέμου"
_@M1054_ "WindB"
_@M1055_ "AA Χρόνος"
_@M1056_ "AATime"
_@M1057_ "AA Απόσταση Max"
_@M1058_ "AADmax"
_@M1059_ "AA Απόσταση Min"
_@M1060_ "AADmin"
_@M1061_ "AA Ταχύτητα Max"
_@M1062_ "AAVmax"
_@M1063_ "AA Ταχύτητα Min"
_@M1064_ "AAVmin"
_@M1065_ "Ταχύτητα Ανέμου IAS"
_@M1066_ "IAS"
_@M1067_ "Υψόμετρο BARO"
_@M1068_ "HBAR"
_@M1069_ "Ταχύτητα MacReady"
_@M1070_ "SpMc"
_@M1071_ "Ποσοστό Ανόδου"
_@M1072_ "%Climb"
_@M1073_ "Χρόνος Πτήσης"
_@M1074_ "FlyTime"
_@M1075_ "Φόρτος G"
_@M1076_ "G"
_@M1077_ "_Εφεδρεικό 2"
_@M1078_ "OLD nLD"
_@M1079_ "Τοπική Ώρα"
_@M1080_ "Ώρα"
_@M1081_ "Ώρα UTC"
_@M1082_ "UTC"
_@M1083_ "Υπολοιπόμενος χρόνος διαδρομής"
_@M1084_ "TskETE"
_@M1085_ "Υπολοιπόμενος χρόνος για επόμενο σημείο"
_@M1086_ "NextETE"
_@M1087_ "Speed To Fly"
_@M1088_ "STF"
_@M1089_ "Netto Vario"
_@M1090_ "Netto"
_@M1091_ "Χρόνος άφηξης διαδρομής"
_@M1092_ "TskETA"
_@M1093_ "Χρόνος άφηξης επόμενου σημείου"
_@M1094_ "NextETA"
_@M1095_ "Διαφορά διόπτευσης"
_@M1096_ "To"
_@M1097_ "Εξωτερική Θερμοκρασία Αέρα"
_@M1098_ "OAT"
_@M1099_ "Σχετική Υγρασία"
_@M1100_ "RelHum"
_@M1101_ "Προβλεπόμενη Θερμοκρασία"
_@M1102_ "MaxTemp"
_@M1103_ "AA Απόσταση Tg"
_@M1104_ "AADtgt"
_@M1105_ "AA Ταχύτητα Tg"
_@M1106_ "AAVtgt"
_@M1107_ "L/D vario"
_@M1108_ "L/D var"
_@M1109_ "Ταχύτητα Αέρα TAS"
_@M1110_ "TAS"
_@M1111_ "Κωδικός ¨ομάδας"
_@M1112_ "TeamCod"
_@M1113_ "Κατεύθυνση Ομάδας"
_@M1114_ "TmBrng"
_@M1115_ "Διάφορά Κατεύθυνσης Ομάδας"
_@M1116_ "TeamBd"
_@M1117_ "Απόσταση Ομάδας"
_@M1118_ "TeamDis"
_@M1119_ "Στιγμιαία Ταχύτητα Διαδρομής"
_@M1120_ "TskSpI"
_@M1121_ "Απόσταση Απογείωσης"
_@M1122_ "HomeDis"
_@M1123_ "Ταχύτητα Διαδρομής"
_@M1124_ "TskSp"
_@M1125_ "AA Χρόνος Delta"
_@M1126_ "AAdT"
_@M1127_ "Θερμικά All"
_@M1128_ "Th.All"
# 1129 and 1130 unused, can be used again
_@M1129_ "Distance Vario"
_@M1130_ "DVario"
_@M1131_ "Ποσοστό Μπαταρίας"
_@M1132_ "Battery"
_@M1133_ "Task Req.Efficiency"
_@M1134_ "TskReqE"
_@M1135_ "Alternate1 Req.Efficiency"
_@M1136_ "Atn1.E"
_@M1137_ "Alternate2 Req.Efficiency"
_@M1138_ "Atn2.E"
_@M1139_ "BestAltern Req.Efficiency"
_@M1140_ "BAtn.E"
_@M1141_ "Υψόμετρο QFE"
_@M1142_ "QFE"
_@M1143_ "Μέση Αποδοτικότητα"
_@M1144_ "E.Avg"
_@M1145_ "Next Req.Efficiency"
_@M1146_ "Req.E"
_@M1147_ "Επίπεδο Πτήσης"
_@M1148_ "FL"
_@M1149_ "Task Covered distance"
_@M1150_ "TskCov"
_@M1151_ "Alternate1 Arrival"
_@M1152_ "Atn1Arr"
_@M1153_ "Alternate2 Arrival"
_@M1154_ "Atn2Arr"
_@M1155_ "BestAlternate Arrival"
_@M1156_ "BAtnArr"
_@M1157_ "Home Radial"
_@M1158_ "Radial"
_@M1159_ "Airspace Horizontal Dist"
_@M1160_ "ArSpcH"
_@M1161_ "Ext.Batt.Bank"
_@M1162_ "xBnk#"
_@M1163_ "Τάση Εξωτερικής Μπαταρίας.1"
_@M1164_ "xBat1"
_@M1165_ "Τάση Εξωτερικής Μπαταρίας.2"
_@M1166_ "xBat2"
_@M1167_ "Οδόμετρο"
_@M1168_ "Odo"
_@M1169_ "Εναλακτικό QNH"
_@M1170_ "aAlt"
_@M1171_ "Εναλακτικό AGL"
_@M1172_ "aHAGL"
_@M1173_ "Υψόμετρο GPS"
_@M1174_ "HGPS"
_@M1175_ "MacCready Equivalent"
_@M1176_ "eqMC"
_@M1177_ "_Πειραματικό1"
_@M1178_ "Exp1"
_@M1179_ "_Πειραματικό2"
_@M1180_ "Exp2"
_@M1181_ "Τάση Μπαταρίας"
_@M1182_ "Batt"

# LK Info pages infobox titles, maximum 7 chars
_@M1183_ "ManMC"
_@M1184_ "AutMC"
_@M1185_ "Wind"
_@M1186_ "eIAS"
_@M1187_ "ReqE"
_@M1188_ "Arr"
_@M1189_ "Var30"
_@M1190_ "ArrMc0"
_@M1191_ "TskArr0"
_@M1192_ "StDis"
_@M1193_ "RelAlt"
_@M1194_ "Var"
_@M1195_ "BLOCK"
_@M1196_ "DOLPHIN"
_@M1197_ "Bank"
_@M1198_ ""
_@M1199_ "Sat"
_@M1200_ "Start"

# McCready mode $(MacCreadyMode) in menu macros, use 3-4 chrs maximum!
_@M1201_ "Man"
_@M1202_ "Auto"
# Map label modes $(MapLabelsToggleActionName) in menu macros
_@M1203_ "WPTS"
_@M1204_ "TOPO"
# $(VisualGlideToggleName) if extended VisualGlide is enabled
_@M1205_ "Moving"

# Startup / Shutdown dialog texts
_@M1206_ "Initialising..."
_@M1207_ "ΣΦΑΛΜΑ ΑΓΝΩΣΤΗ ΑΝΑΛΥΣΗ!"
_@M1208_ "ΣΦΑΛΜΑ ΔΕΝ ΥΠΑΡΧΕΙ ΚΑΤΑΛΟΓΟΣ:"
_@M1209_ "ΕΛΕΓΞΕ ΤΗΝ ΕΓΚΑΤΑΣΤΑΣΗ!"
_@M1210_ "PARAGLIDING MODE"
_@M1211_ "ΠΡΟΣΟΜΟΙΩΣΗ"
_@M1212_ "ΑΥΤΟΜΑΤΟΣ ΕΛΕΓΧΟΣ ΦΩΤΕΙΝΟΤΗΤΑΣ"
_@M1213_ "ΟΧΙ ΕΛΕΓΧΟΣ ΦΩΤΕΙΝΟΤΗΤΑΣ"
_@M1214_ "ΑΥΤΟΜΑΤΟΣ ΕΛΕΓΧΟΣ ΕΠΙΠΕΔΟΥ ΗΧΟΥ"
_@M1215_ "ΟΧΙ ΑΥΤΟΜΑΤΟΣ ΕΛΕΓΧΟΣ ΕΠΙΠΕΔΟΥ ΗΧΟΥ"
_@M1216_ "Ανίχνευση πρόγνωσης καιρού"
_@M1217_ "Εναρξη συσκευών"
_@M1218_ "Εναρξη Οθόνης"
_@M1219_ "Απενεργοποίηση, παρακαλώ περιμένετε..."
_@M1220_ "Απενεργοποίηση, αποθήκευση καταγραφής..."
_@M1221_ "Απενεργοποίηση, αποθήκευση προφίλ..."
_@M1222_ "Απενεργοποίηση, αποθήκευση διαδρομής..."

# Topology options reset msgbox
_@M1223_ "Επαναφορά Τοπολογίας στα προεπιλεγμένα μεγέθη"
# Waypoint filters 1229 no more than 3 chrs!
_@M1224_ "Αεροδρόμιο"
_@M1225_ "Προσγειώσημα"
_@M1226_ "Πυλώνες"
_@M1227_ "Αρχείο 1"
_@M1228_ "Αρχείο 2"
_@M1229_ "HDG"

# TeamCode dialog captions
_@M1230_ "Team Ref.: "
_@M1231_ "Team code: SET REF!"

# Waypoint edit dialog (same or less chars!)
_@M1232_ "Lat"
_@M1233_ "Latitude"
_@M1234_ "Lon"
_@M1235_ "Longitude"

# Waypoint list flags (Home,Airport,Landable,Turnpoint) 1chr!
_@M1236_ "H"
_@M1237_ "A"
_@M1238_ "L"
_@M1239_ "T"

# dlgLKAirspaceWarning - Airspace warning messages
_@M1240_ "Είσοδος"
_@M1241_ "Έξοδος"
_@M1242_ "Πτήση μέσα σε FLY ζώνη"
_@M1243_ "Προβλέψιμη έξοδος από FLY ζώνη"
_@M1244_ "Κοντά στην έξοδο από FLY ζώνη"
_@M1245_ "Έξοδος από FLY ζώνη"
_@M1246_ "Προβλέψιμη είσοδος σε FLY ζώνη"
_@M1247_ "Είσοδος σε FLY ζώνη"
_@M1248_ "Πτήση εκτός FLY ζώνης"
_@M1249_ "Πτήση εκτός NOFLY ζώνης"
_@M1250_ "Predicted entering NOFLY zone"
_@M1251_ "Κοντά στην είσοδο σε NOFLY ζώνη"
_@M1252_ "Είσοδος σε NOFLY ζώνη"
_@M1253_ "Πτήση εντώς NOFLY ζώνης"
_@M1254_ "Έξοδος από NOFLY ζώνης"
_@M1255_ "ΚΙΤΡΙΝΗ ΠΡΟΕΙΔΟΠΟΙΗΣΗ"
_@M1256_ "ΚΟΚΚΙΝΗ ΠΡΟΕΙΔΟΠΟΙΗΣΗ"
_@M1257_ "σε έξοδο"
_@M1258_ "σε είσοδο"
_@M1259_ "Πολύ μακριά, δεν υπολογίζεται"
_@M1260_ "κάτωθεν"
_@M1261_ "άνωθεν"
_@M1262_ "Μήνυμα"
_@M1263_ "WarnLevel"
_@M1264_ "HDist"
_@M1265_ "VDist"

# dlgAirspaceDetails - Airspace details
_@M1266_ "Επίπεδο Αναγνώρισης"
_@M1267_ "Κίτρινη αναγνώριση"
_@M1268_ "Κόκκινη αναγνώριση"
_@M1269_ "Απενεργοποίηση"
_@M1270_ "FLY-IN"
_@M1271_ "FLY-OUT"
_@M1272_ "Ορισμός ως FLY ζώνη?"
_@M1273_ "Ορισμός NOFLY ζώνης?"

# dlgConfig - Airspace warnings
_@M1274_ "Προειδοποιήσεις"
_@M1275_ "Παράμετροι προειδοποιήσεων Εναέριου χώρου"
_@M1276_ " Οι παράμετροι προειδοποιήσεων Εναέριου χώρου αποθηκευτεί."
_@M1277_ "Χρόνος Επανάληψης μηνυμάτων Εναέριου Χώρου"
_@M1278_ "Κατακόρυφο Όριο"
_@M1279_ "Λήξη χρόνου Μηνύματος"
_@M1280_ "Ενεργοποίηση Εναέριου χώρου?"
_@M1281_ "Στοιχεία Χάρτη"
_@M1282_ "ΕΝΕΡΓΟΠΟΙΗΣΗ"
_@M1283_ "ΑΠΕΝΕΡΓΟΠΟΙΗΣΗ"
_@M1284_ "Απενεργοποίηση Εναέριου χώρου?"

# new airspace infobox
_@M1285_ "Κατακόρυφη απόσταση Εναέριου Χώρου"
_@M1286_ "ArSpcV"

# airspace analysis dialog page
_@M1287_ "Κατεύθυνση"
# 1288 UNUSED REMOVED
_@M1288_ "Εμφάνιση προς το επόμενο σημείο"
_@M1289_ "Επόμενο WP"
# M1290 UNUSED REMOVED
_@M1290_ "Εμφάνιση προς την κατεύθυνση"
_@M1291_ "Κοντά σε AS"
_@M1292_ "Πλησιέστερος Εναέριος χώρος"
_@M1293_ "SONAR"
#1294 REMOVED UNUSED
_@M1294_ "Sonar OFF"
_@M1295_ "Πλαϊνή όψη"

# LK info page headers, try to use the same or less number of chars here,
# or test it with different screen reolutions and landscape/portrait mode too!
