# LK8000 ENGLISH MESSAGES - ENG_MSG.TXT
# MASTER UPDATED:  101216
#
# This file is loaded on startup and all messages are stored internally.
# If you are translating these messages, try to respect sizes.
# The first _@Mn_  are the indexes, and you cannot change them!
#
# Please note that ENG_MSG.TXT is the english master language for LK8000
# and it should always exist. Do not change ENG_MSG.TXT.
#
# All lines that are empty, or starting with a 
# , are ignored.

# DEVELOPERS ADDING MESSAGES HERE SHOULD REQUEST A NUMBERING SLOT TO PAOLO





_@M1_ " Разлика"
_@M747_ "Стартно време задатка "
_@M748_ "Време капије задатка "
_@M749_ "Окретна тачка"
_@M750_ "Филтер окретне тачке "
_@M751_ "Сертификат ваздухоплова "
_@M752_ "ТИП"
_@M753_ "НЕПОЗНАТО! "
_@M754_ "ОТКЉУЧАНО"
# Unused 755 and 756 since  v3.2 
_@M755_ "КОРИШЋЕЊЕ СЛОБОДНЕ ВИСИНЕ ПО ПРИТИСКУ"
_@M756_ "КОРИШЋЕЊЕ ВИСИНЕ ПО ПРИТИСКУ"
_@M757_ "КОРИШЋЕЊЕ ГПС ВИСИНЕ"
_@M758_ "UTC поравњање "
_@M759_ "Немогуће променити подећавања на порту"
_@M760_ "Немогуће подесити време на Сериском порту"
_@M761_ "Немогуће стартовање RX нити на порту"
_@M762_ "Немогуће отварање порта"
_@M763_ "Неоквирено, без јединица"
_@M764_ "Неоквирено, са јединицама"
_@M765_ "Непознато"
_@M766_ "Коришћење ГПС времена "
_@M767_ "Кор. HBar УКЉУ./ИСКЉ."
_@M768_ "Kор.MacCready"
_@M769_ "Koр.просеч.ефикасност"
_@M770_ "Koр.висину по притиску "
_@M771_ "Koр.црну спољну*"
_@M772_ "V ach"
_@M773_ "V rem"
_@M774_ "V rough air "
_@M775_ "Виртуелна тачка 'WP'"
_@M776_ "Валидан крај"
_@M777_ "Валидан старт"
_@M778_ "Беле вредности"
_@M779_ "Променљиве"
_@M780_ "Вариом. црни"
_@M781_ "Вариом. зелени+црвени"
_@M782_ "Вариом. дуга"
_@M783_ "Вариом. црвена+плава"
_@M784_ "Вариом."
_@M785_ "Вариометарски панел "
_@M786_ "Веома Високо"
# REMOVED after v2.3
_@M787_ "Виртуелни тастери "
_@M788_ "Јачина "
_@M789_ "УПОЗО."
_@M790_ "Време упозорења*"
_@M791_ "Упозорење"
_@M792_ "Упозорења "
_@M793_ "Водена етикета "
_@M794_ "Талас"
_@M795_ "Ажурирање тачака"
_@M796_ "Информација тачке"
_@M797_ "Компајлер тачке"
_@M798_ "UTM Уредник тачке"
_@M799_ "Белешке тачке "
_@M800_ "Тачка"
_@M801_ "Тачка 'WP'\nКрај"
_@M802_ "Тачка 'WP'\nСледећи"
_@M803_ "Тачка 'WP'\nПретходни"
_@M804_ "Тачка 'WP'\nСтарт"
_@M805_ "Фајл тачака, компајлер грешка"
_@M806_ "WP Тачка 1 "
_@M807_ "WP Тачка 2 "
_@M808_ "Стил тачке "
_@M809_ "Ажурирање тачака"
_@M810_ "Тачка је изузета и сними у сваком случају?"
_@M811_ "Тачка је изван терена"
_@M812_ "Временска прогноза"
_@M813_ "Параметри времена"
_@M814_ "Тежина"
_@M815_ "Бела спољна линија"
_@M816_ "Бело"
_@M817_ "Да ли ће бити завршено?"
_@M818_ "Подешавање ветра"
# 819 REMOVED after 2.3
_@M819_ "Стрелица ветра"
_@M820_ "Ветар по висини"
_@M821_ "Оптерећ.крила "
# 822 REMOVED after 3.0
_@M822_ "Winpilot"
_@M823_ "Радна дужина"
_@M824_ "Тачка изван терена "
_@M825_ "Жута"
_@M826_ "Да СВЕ"
_@M827_ "Дa"
_@M828_ "Ваш код "
_@M829_ "Zombie "
_@M830_ "Зона "
_@M831_ "_РАЗМАК_"
_@M832_ "Додај тачку"
_@M833_ "Помоћни уређај"
_@M834_ "кружење"
_@M835_ "крстарење"
_@M836_ "финеса до циља"
_@M837_ "изван оквира терена"
_@M838_ "Првих 8"
_@M839_ "Првих 10"
_@M840_ "Првих 12"
_@M841_ "Величина фонта "
_@M842_ "Велики фонт "
_@M843_ "Мали фонт "
_@M850_ "ПРВА КАПИЈА СЕ ОТВАРА ЗА 1 САТ"
_@M851_ "ПРВА КАПИЈА СЕ ОТВАРА ЗА 30 МИНУТА"
_@M852_ "10 МИНУТА ДО ПОЧЕТКА"
_@M853_ "5 МИНУТА ДО ПОЧЕТКА"
_@M854_ "Активна мапа УКЉУЧЕНА"
_@M855_ "Активна мапа ИСКЉУЧЕНА"
_@M856_ "Ауто.Повећање УКЉУЧЕНО"
_@M857_ "Aуто.Повећање ИСКЉУЧЕНО"
_@M858_ "Пан мод УКЉУЧЕН"
_@M859_ "Пан мод ИСКЉУЧЕН"
_@M860_ "Ауто.MacCready УКЉУЧЕН"
_@M861_ "Aуто.MacCready ИСКЉУЧЕН"
_@M862_ "Летачки дневник УКЉУЧЕН"
_@M863_ "Летачки дневник ИСКЉУЧЕН"
_@M864_ "NMEA уписивање УКЉУЧЕНО"
_@M865_ "NMEA уписивање ИСКЉУЧЕНО"
_@M866_ "Квалитет"
_@M867_ "ORBITER УКЉУЧЕН"
_@M868_ "ORBITER ИСКЉУЧЕН"
_@M869_ "У ваздушном простору"
_@M870_ "Излаз"
_@M871_ "Најближи вазд.простор"
_@M872_ "ПАНОРАМСКО УВЕЋАЊЕ ЗА 20сек."
_@M873_ "ВРАЋАЊЕ НА НОРМАЛНО УВЕЋАЊЕ"
_@M874_ "Кликните на центар екрана за ПОЧЕТАК"
_@M875_ "УПОЗОРЕЊЕ: ГПС ШАЉЕ НЕТАЧНЕ ПОДАТКЕ И ВЕРОВАТНО НЕТАЧНО ВРЕМЕ"
_@M876_ "Старт Лет.Дневника са декларацијом"
_@M877_ "Подешавања снимљена"
_@M878_ "Белешке"
_@M879_ "ИЗВИНИТЕ СИЉ ЈЕ ЈЕДНОСТАВНО НЕСТАО"
_@M880_ "ОТКЉУЧАВАЊЕ тренутног циља?"
_@M881_ "Избор циља"
_@M882_ "ЦИЉ ОБЈАВЉЕН"
_@M883_ "ЦИЉ НЕСТАО!"
_@M884_ "ЗАКЉУЧАВАЊЕ овог циља?"
_@M885_ "Подешав."
_@M886_ "Дигитрон"
_@M887_ "Порешавање ветра"
_@M888_ "Упозорења"
_@M889_ "Mаса"
_@M890_ "НЕ"
_@M891_ "Брисање старог задатка и учитавање"
_@M892_ "(ручно)"
_@M893_ "(аутом.)"
_@M894_ "УКЉУ."
_@M895_ "Насилно"
_@M896_ "НЕНасилно"
_@M897_ "Аутом."
_@M898_ "СВЕ ИСКЉУ."
_@M899_ "СВЕ УКЉУ."
_@M900_ "Учитавање фајла терена..."
_@M901_ "Учитавање назива терена..."
_@M902_ "Учитавање топографије из топографског фајла..."
_@M903_ "Учитавање такака из фајла..."
_@M904_ "TАКТИЧКИ ЛЕТАЧКИ РАЧУНАР"
_@M905_ "Термал"
_@M906_ "Крстар."
_@M907_ "Задатак"
_@M908_ "Изборни"
_@M909_ "Oкрет"
_@M910_ "ЦИЉ"
_@M911_ "Поглед"
_@M912_ "[без одредишта]"
_@M913_ "Ekспериментално"
_@M914_ "[без циља]"
_@M915_ "НИЈЕ ЗА ИФР КОРИШЋЕЊЕ"
_@M916_ "УПОЗОРЕЊЕ, БЕЗ СЛЕТАЊА"
_@M917_ "Lat/Lon "
_@M918_ "Lat/Lon"
_@M919_ "LatLon"
_@M920_ "Грепка у учитавању фајла поларе!"
_@M921_ "одбројавање"
_@M922_ "БЕЗ ЛЕТЕЊА"
_@M923_ "НЕТАЧНО УНУТРА"
_@M924_ "НЕТАЧНО СПОЉА"
_@M925_ "СТАРТ БЕЗ ЗАДАЗКА"
_@M926_ "У сектору, напредни ARM када буде спреман"
_@M927_ "Чекање ГПС конекције"
_@M928_ "Ресетовање Com портова"
_@M929_ "Чекање за поправку ГПС-а"
_@M930_ "ПОЛЕТАЊЕ"
_@M931_ "СЛЕТАЊЕ"
_@M932_ "Изнад финесе до циља"
_@M933_ "Испод финесе до циља"
_@M934_ "Крајња финеса кроз терен"
_@M935_ "Маркер очишћен"
_@M936_ "Класа тамичења"
_@M937_ "Kласа тамичења: "
_@M938_ "Такмичарски ИБ"
_@M939_ "Tакмичарски ИБ: "
_@M940_ "Попуњавање "
_@M941_ "Само спољне линије"
_@M942_ "Шаре"
_@M943_ "Полу-Провидно"
_@M944_ "Непрозирност "
_@M945_ "Шара, само граничне"
_@M946_ "Полу-Провидно, само граничне"
_@M947_ "ИЗГУБЉЕН ФЛАРМ"
_@M948_ "Пронађен"
_@M949_ "TP"
_@M950_ "Непроз. доње бар линије "
_@M951_ "Немогуће зауставити RX нит!"
_@M952_ "Немогуће писање података у порт!"
_@M953_ "Полу-Провидан"
_@M954_ "Сређивање слова "
_@M955_ "ClearType"
_@M956_ "Anti Preklapanje"
# Page 1.5 name, keep short:
_@M957_ "Тамичење"

# ON/OFF in dialog windows (not Menu)
_@M958_ "УКЉУ."
_@M959_ "ИСКЉ."

#
# Paragliding lock/unlock screen feature
#
_@M960_ "ПОТВРДА ОТКЉУЧАВАЊА ЕКРАНА?"
_@M961_ "ПОТВРДА ЗАКЉУЧАВАЊА ЕКРАНА?"
# 962 max 35 characters!
_@M962_ "ЕКРАН ЈЕ ЗАКЉУЧАН ДОК ПОЛЕЋЕТЕ"
# 963 unused since 2.3
_@M963_ "ДУПЛИ КЛИК НА ЕКРАН ЗА ОТКЉУЧАВАЊЕ"
_@M964_ "ЕКРАН ЈЕ ОТКЉУЧАН"
#
# Menu buttons, MAX 8 character per line! Keep \n !
_@M965_ "ОТКЉУЧ.\nЕКРАНА"
_@M966_ "ЗАКЉУЧ.\nЕКРАНА"
_@M967_ "Промена Ваздуш.прост. "
_@M968_ "само овај пут"
_@M969_ "Упоран"
#
# GPS and COM port warnings
#
_@M970_ "НЕИСПРАВАН ГПС СИГ."
_@M971_ " НЕМА Com ПОРТА "
_@M972_ " НЕ ВИДИМ ГПС УРЕЂ."
_@M973_ " ГПС недостаје "
_@M974_ " ГПС није конектован "
_@M975_ " ГПС грешка у подац. "


#
# Infoboxes in Description / Tile order. 
# In titles use maximum 7 characters
#
_@M1001_ "Висина QNH"
_@M1002_ "ВисQNH"
_@M1003_ "Висина AGL"
_@M1004_ "ВисАGL"
_@M1005_ "Термали последњих 30сек."
_@M1006_ "TП.30s"
_@M1007_ "Азимут"
_@M1008_ "Ази."
_@M1009_ "Ефикасност последњих 20сек."
_@M1010_ "E.20с"
_@M1011_ "Ефикасност кретања у последњем термалу"
_@M1012_ "E.ПТер"
_@M1013_ "Брзина у односу на земљу"
_@M1014_ "Брз.Зем"
_@M1015_ "Просечан последњи термал"
_@M1016_ "∑ПосТрм"
_@M1017_ "Добитак у последњем термалу"
_@M1018_ "+ПосТрм"
_@M1019_ "Време последњег термала"
_@M1020_ "ВрПсТрм"
_@M1021_ "MacCready подешавања"
_@M1022_ "MacC"
_@M1023_ "Следеће растојање"
_@M1024_ "Сл.Рас"
_@M1025_ "Следећа долазна висина"
_@M1026_ "СлД.Вис"
_@M1027_ "Следећа потребна висина"
_@M1028_ "СлП.Вис"
# 1029 UNUSED REMOVED
_@M1029_ "_Резервисано 2"
_@M1030_ "Следећи"
_@M1031_ "Задатак долазне висине"
_@M1032_ "ЗдДолВис"
_@M1033_ "Задатак захтеване висине"
_@M1034_ "ЗдЗахВис"
_@M1035_ "Задатак просеч.брзина"
_@M1036_ "ЗдПроБрз"
_@M1037_ "Задатак растојање"
_@M1038_ "ЗдРаст."
_@M1039_ "_Резервисано 1"
_@M1040_ "Стари fLD"
_@M1041_ "Висина терена"
_@M1042_ "Вис.Тер"
_@M1043_ "Просечни термал"
_@M1044_ "∑Термал"
_@M1045_ "Добитак у термалу"
_@M1046_ "+Трм"
_@M1047_ "Запис"
_@M1048_ "Запис"
_@M1049_ "Варио"
_@M1050_ "Варио"
_@M1051_ "Брзина ветра"
_@M1052_ "Брз.Вет"
_@M1053_ "Смер Ветра"
_@M1054_ "Смр.Вет"
_@M1055_ "AA Време"
_@M1056_ "AAВреме"
_@M1057_ "AA максим. растојање"
_@M1058_ "AAМкРаст"
_@M1059_ "AA миним. растојање"
_@M1060_ "AAМиРаст"
_@M1061_ "AA максим. брзина"
_@M1062_ "AAМкБрз"
_@M1063_ "AA миним. брзина"
_@M1064_ "AAМиБрз"
_@M1065_ "Airspeed IAS"
_@M1066_ "IAS"
_@M1067_ "Висина БАРОМ."
_@M1068_ "ВисБаро"
_@M1069_ "MacReady брзина"
_@M1070_ "MР.Брз"
_@M1071_ "Процентуално пењање"
_@M1072_ "%Пењањ"
_@M1073_ "Време лета"
_@M1074_ "ВрЛета"
_@M1075_ "G load"
_@M1076_ "G"
_@M1077_ "_Ретервисано 2"
_@M1078_ "Стари nLD"
_@M1079_ "Локално време"
_@M1080_ "Време"
_@M1081_ "Време UTC"
_@M1082_ "UTC"
_@M1083_ "Време задатка отићи"
_@M1084_ "ВрЗ.ОТИ"
_@M1085_ "Следеће време отићи"
_@M1086_ "СлВ.ОТИ"
_@M1087_ "Оптимална брзина лета"
_@M1088_ "ОпБрзЛет"
_@M1089_ "NetVario"
_@M1090_ "Netto"
_@M1091_ "Долазно време задатка"
_@M1092_ "ДолВрЗд"
_@M1093_ "Следеће долазно време"
_@M1094_ "СлДолВр"
_@M1095_ "Разлика у азимуту"
_@M1096_ "Циљ.Ази"
_@M1097_ "Спољна Ваздушна Температура"
_@M1098_ "СпВазТем"
_@M1099_ "Релативна влажност"
_@M1100_ "РелВлаж"
_@M1101_ "Температура прогнозе"
_@M1102_ "ТемПрог"
_@M1103_ "AA Distance Tg"
_@M1104_ "AADtgt"
_@M1105_ "AA Speed Tg"
_@M1106_ "AAVtgt"
_@M1107_ "Т/Д варио"
_@M1108_ "Т/Д вар"
_@M1109_ "Airspeed TAS"
_@M1110_ "TAS"
_@M1111_ "Team Code"
_@M1112_ "КодТима"
_@M1113_ "Смер Тима"
_@M1114_ "СмерТим"
_@M1115_ "Тимска разлика у смеру"
_@M1116_ "ТмРазАз"
_@M1117_ "Удаљеност тима"
_@M1118_ "Уда.тим"
_@M1119_ "Тренутна брзина задатка"
_@M1120_ "*ТреБрз"
_@M1121_ "Раздаљина до куће"
_@M1122_ "Раз.Кућ"
_@M1123_ "Брзина задатка"
_@M1124_ "*Брзина"
_@M1125_ "AA Delta Time"
_@M1126_ "AAdT"
_@M1127_ "Сви термали"
_@M1128_ "Сви.Трм"
# 1129 and 1130 unused, can be used again
_@M1129_ "Растојање Варио"
_@M1130_ "Рас.Вар"
_@M1131_ "Проценат батерије"
_@M1132_ "%Батер."
_@M1133_ "Задатак Потребна ефикасност"
_@M1134_ "*ПотЕфи"
_@M1135_ "Алтерн.Захтевана ефикасност1"
_@M1136_ "Алт.Eф1"
_@M1137_ "Алтерн.Захтевана ефикасност2"
_@M1138_ "Алт.Eф2"
_@M1139_ "Најбоља Алтер.Захтев.Ефикас."
_@M1140_ "НајАлЗхЕфи"
_@M1141_ "Висина QFE"
_@M1142_ "ВисQFE"
_@M1143_ "Просечна ефикасност"
_@M1144_ "∑Ефикас"
_@M1145_ "Следећа Захтев.Ефикасност"
_@M1146_ "СлЗахЕфи"
_@M1147_ "Ниво Лета"
_@M1148_ "НЛ"
_@M1149_ "Задат.Покретно растојање"
_@M1150_ "ЗадПокРас"
_@M1151_ "Долазна алтернатива 1"
_@M1152_ "АлтДол1"
_@M1153_ "Долазна алтернатива 2"
_@M1154_ "АлтДол2"
_@M1155_ "Најбоља долазна алтернатица"
_@M1156_ "НајДолАлт"
_@M1157_ "Home Radial"
_@M1158_ "Radial"
_@M1159_ "Растојање ваздушног простора"
_@M1160_ "РасВПрс"
_@M1161_ "Екстерна батерија"
_@M1162_ "xБат#"
_@M1163_ "Напон Екс.Бат1"
_@M1164_ "xБат1"
_@M1165_ "Напон Екс.Бат2"
_@M1166_ "xбат2"
_@M1167_ "Одометар"
_@M1168_ "Одо"
_@M1169_ "Алтер.QNH"
_@M1170_ "АлВQNH"
_@M1171_ "Алтер.AGL"
_@M1172_ "АВисAGL"
_@M1173_ "ГПС висина
_@M1174_ "ВисГПС"
_@M1175_ "MacCready еквицалент"
_@M1176_ "екв.MC"
_@M1177_ "_Експериментално1"
_@M1178_ "Ekс1"
_@M1179_ "_Ekспериментално2"
_@M1180_ "Ekс2"
_@M1181_ "Напон батерије"
_@M1182_ "Бат."

# LK Info pages infobox titles, maximum 7 chars
_@M1183_ "Руч.MC"
_@M1184_ "Аут.MC"
_@M1185_ "Ветар"
_@M1186_ "eIAS"
_@M1187_ "ReqE"
_@M1188_ "Дола"
_@M1189_ "Вро30"
_@M1190_ "ДолMc0"
_@M1191_ "ДолЗад0"
_@M1192_ "StRas"
_@M1193_ "РелВис"
_@M1194_ "Var"
_@M1195_ "BLOCK"
_@M1196_ "DOLPHIN"
_@M1197_ "Bank"
_@M1198_ ""
_@M1199_ "Сат"
_@M1200_ "Старт"

# McCready mode $(MacCreadyMode) in menu macros, use 3-4 chrs maximum!
_@M1201_ "Руч"
_@M1202_ "Aуто"
# Map label modes $(MapLabelsToggleActionName) in menu macros
_@M1203_ "ТАЧКА"
_@M1204_ "ТОПОЛ."
# $(VisualGlideToggleName) if extended VisualGlide is enabled
_@M1205_ "Померање"

# Startup / Shutdown dialog texts
_@M1206_ "Иницијализација..."
_@M1207_ "ГРЕШКА НЕПОЗНАТА РЕЗОЛУЦИЈА!"
_@M1208_ "ГРЕШКА НЕ ПОСТОЈИ ДИРЕКТОРИЈУМ:"
_@M1209_ "ПРОВЕРИ ИНСТАЛАЦИЈУ!"
_@M1210_ "ПАРАГЛАЈДИНГ МОД"
_@M1211_ "СИМУЛАЦИЈА"
_@M1212_ "АУТОМАТСКА КОНТРОЛА ПОЗАД.СВЕТЛА"
_@M1213_ "НЕМА КОНТРОЛЕ ПОЗАД. СВЕТЛА"
_@M1214_ "АУТОМАТСКА КОНТРОЛА НИВОА ЗВУКА"
_@M1215_ "НЕМА КОНТРОЛЕ НИВОА ЗВУКА"
_@M1216_ "Скенирање временске прогнозе"
_@M1217_ "Стартовање ТЛК"
_@M1218_ "Иницијализација екрана"
_@M1219_ "Гашење ТЛК, мало стрпљења..."
_@M1220_ "Гашење снимање података..."
_@M1221_ "Гашење, снимање профила..."
_@M1222_ "Гашење, снимање задатка..."

# Topology options reset msgbox
_@M1223_ "Топологија постављена на подразумеване вредности"

# Waypoint filters 1229 no more than 3 chrs!
_@M1224_ "Aеридрин"
_@M1225_ "TачкаНаЗемљи"
_@M1226_ "OkретнаТачка"
_@M1227_ "Фајл 1"
_@M1228_ "Фајл 2"
_@M1229_ "HDG"

# TeamCode dialog captions
_@M1230_ "Реф.Тима: "
_@M1231_ "Код Тима: SET REF!"

# Waypoint edit dialog (same or less chars!)
_@M1232_ "Lat"
_@M1233_ "Latitude"
_@M1234_ "Lon"
_@M1235_ "Longitude"

# Waypoint list flags (Home,Airport,Landable,Turnpoint) 1chr!
_@M1236_ "K"
_@M1237_ "A"
_@M1238_ "Z"
_@M1239_ "O"

# dlgLKAirspaceWarning - Airspace warning messages
_@M1240_ "Улазак"
_@M1241_ "Излазак"
_@M1242_ "Лет у зони ЛЕТЕЊА"
_@M1243_ "Предвиђен излазак из зоне ЛЕТЕЊА"
_@M1244_ "Близина изласка из зоне ЛЕТЕЊА"
_@M1245_ "Напуштање зоне ЛЕТЕЊА"
_@M1246_ "Предвиђен улазак у зону ЛЕТЕЊА"
_@M1247_ "Улазак у зону ЛЕТЕЊА"
_@M1248_ "Лет изван зоне ЛЕТЕЊА"
_@M1249_ "Лет изван зоне ЗАБРАНЕ ЛЕТЕЊА"
_@M1250_ "Предвиђен улазак у зону ЗАБРАНЕ ЛЕТЕЊА"
_@M1251_ "Близина уласка у зону ЗАБРАНЕ ЛЕТЕЊА"
_@M1252_ "Улазак у зону ЗАБРАНЕ ЛЕТЕЊА"
_@M1253_ "Лет у зони ЗАБРАНЕ ЛЕТЕЊА"
_@M1254_ "Напуштање зоне ЗАБРАНЕ ЛЕТЕЊА"
_@M1255_ "ЖУТО УПОЗОРЕЊЕ"
_@M1256_ "ЦРВЕНО УПОЗОРЕЊЕ"
_@M1257_ "за излазак"
_@M1258_ "За улазак"
_@M1259_ "Предалеко, није рачунато"
_@M1260_ "испод"
_@M1261_ "изнад"
_@M1262_ "Порука"
_@M1263_ "Ниво Упозо."
_@M1264_ "Хор.Раз."
_@M1265_ "Вер.Раз."

# dlgAirspaceDetails - Airspace details
_@M1266_ "Ниво ПОТВРДЕ"
_@M1267_ "Жута ПОТВРДА"
_@M1268_ "Црвена ПОТВРДА"
_@M1269_ "Изгашено"
_@M1270_ "ЛЕТ - У"
_@M1271_ "ЛЕТ-ИЗВАН"
_@M1272_ "Подешено као зона ЛЕТЕЊА?"
_@M1273_ "Подешено као зона ЗАБРАНЕ ЛЕТЕЊА?"

# dlgConfig - Airspace warnings
_@M1274_ "Упозорења"
_@M1275_ "Параметри упозор. Ваздуш.Простора"
_@M1276_ "Снимљени параметри упозор.Ваздуш.Простора"
_@M1277_ "Време понављања поруке Ваздуш.Простора "
_@M1278_ "Вертикална ивица "
_@M1279_ "Време истека поруке "
_@M1280_ "Паљење Ваздушног Простора?"
_@M1281_ "Етикета мепе "
_@M1282_ "УКЉУЧЕНО"
_@M1283_ "ИСКЉУЧЕНО"
_@M1284_ "Гашење Ваздушног Простора?"

# new airspace infobox
_@M1285_ "Airspace Vertical Dist"
_@M1286_ "ArSpcV"

# airspace analysis dialog page
_@M1287_ "Правац"
# 1288 UNUSED REMOVED
_@M1288_ "Показивање према следећој тачци"
_@M1289_ "Следећа тачка"
# M1290 UNUSED REMOVED
_@M1290_ "Поглед у смеру лета"
_@M1291_ "Блиту тачке"
_@M1292_ "Најближи Задуш.Простор"
_@M1293_ "SONAR"
#1294 REMOVED UNUSED
_@M1294_ "Sonar ИСКЉ."
_@M1295_ "Поглед са стране"
_@M1296_ "Optimizer"
_@M1297_ "FAI Start on turnpoint"
_@M1298_ "FAI Start on leg"
_@M1299_ "FAI Mercedes star"

# LK info page headers, try to use the same or less number of chars here,
# or test it with different screen reolutions and landscape/portrait mode too!
_@M1300_ "Растој."
_@M1301_ "Смер"
_@M1302_ "rEff"
_@M1303_ "ВисА"
_@M1304_ "Растој."
_@M1305_ "Смер"
_@M1306_ "ЗахЕфи"
_@M1307_ "Дол.ВИС"
_@M1308_ "Долазна"
_@M1309_ "COMN"
_@M1310_ "HIST"
_@M1311_ "LND"
_@M1312_ "LNDB"
_@M1313_ "APT"
_@M1314_ "APTS"
_@M1315_ "TPS"
# ASP for nearest airspaces is M1642

# Reserved waypoint names, comments
_@M1316_ "ПОЛЕТАЊЕ"
_@M1317_ "ТЕРМАЛ"
_@M1318_ "SAIGRAČ"
_@M1319_ "ЦИЉ"
_@M1320_ "ПОСЛЕДЊИ ДОБАР ТЕРМАЛ"
_@M1321_ "ТИМСКИ ИГРАЧ"
_@M1322_ "FLARM ЦИЉ"

# Overlay multitarget prefixes, maximum 2chars!
_@M1323_ "T>"
_@M1324_ "B>"
_@M1325_ "1>"
_@M1326_ "2>"
_@M1327_ "H>"
_@M1328_ "L>"
_@M1329_ "M"
_@M1330_ "F>"

# LK traffic page headers, try to use the same or less number of chars here,
# or test it with different screen reolutions and landscape/portrait mode too!
_@M1331_ "TRF"
_@M1332_ "Вар"
_@M1333_ "Варио"
_@M1334_ "ВИС"

# Mapwindow texts
_@M1335_ " ТЕРЕН?"
_@M1336_ " T?"
_@M1337_ " AZM"
_@M1338_ " PAN"
_@M1339_ " iAUX"
_@M1340_ " ТЕР0"
_@M1341_ " НАВ1"
_@M1342_ " ВИС2"
_@M1343_ " STA3"
_@M1344_ " ЗАД4"
_@M1345_ " ATN5"
_@M1346_ " ТЛК6"
_@M1347_ " КРС7"
_@M1348_ " ФИН8"
_@M1349_ " ДОД9"
_@M1350_ " ПРИКАЗ"
_@M1351_ " БАЛАСТ"

# LKUtils
_@M1352_ "НИВО БАТЕРИЈЕ"
_@M1353_ "УПРАВЉАЊЕ БАТЕРИЈОМ ИЗГАШЕНО"
_@M1354_ "КРИТИЧНИ НИВО БАТЕРИЈЕ!"
_@M1355_ "НИВО БАТЕРИЈЕ ВЕОМА МАЛИ!"
_@M1356_ "НИСКИ НИВО БАТЕРИЈЕ!"
_@M1357_ "УПОЗОРЕЊЕ БАТЕРИЈА НА ИЗДИСАЈУ, ГАШЕЊЕ"

# Logger task declaration
_@M1400_ "Декларација задатка"
_@M1401_ "Паљење мода са декларацијом"
_@M1402_ "Гашење мода декларације"
_@M1403_ "Слање декларације"
_@M1404_ "Отварање конекције"
_@M1405_ "Тестирање конекције"
_@M1406_ "Затварање конекције"
_@M1410_ "Бепозната грешка"
_@M1411_ "ТЛК није конектован!"
_@M1412_ "Нема више тачака!"
_@M1413_ "Превише тачака!"
_@M1414_ "Уређај не одговара!"
_@M1415_ "Декларација није прихваћена!"
_@M1420_ "Грешка током декларације"
_@M1421_ "Декларација задатка"
_@M1422_ "Старт и циљ"

_@M1423_ "Forbidden during flight!"

#
# Variometer Bar
#
_@M1424_ "Мод Варио панела "
_@M1425_ "Варио мод у термалу и крстарењу"
_@M1426_ "Варио у термалу, Netto у крстарењу"
_@M1427_ "Варио у термалу, STF у крстарењу"

#
# Contests
#
_@M1450_ "Tакмичење"
_@M1451_ "Промена"
_@M1452_ "СТАРТОВАН СЛОБОДАН ЛЕТ :)"

#
# Contest infoboxes, full name and abbreviated name for boxes
# We need OLC ahead of full names, to keep ordering in infobox list during configuration
#
# League predicted is not used
#
_@M1455_ "OLC Klas.Razdaljina"
_@M1456_ "OLC Raz"
_@M1457_ "OLC FAI Triangle Razdaljina"
_@M1458_ "FAI Raz"
_@M1459_ "OLC League Razdaljina"
_@M1460_ "LEA Raz"
_@M1461_ "OLC FAI 3 TPs Razdaljina"
_@M1462_ "3TP Raz"

_@M1463_ "OLC Klasična*Predviđena Razdaljina"
_@M1464_ "OLC*Raz"
_@M1465_ "OLC FAI Triangle*Predviđena Razdaljina"
_@M1466_ "FAI*Raz"
_@M1467_ "OLC League*Predviđena Razdaljina"
_@M1468_ "LEA*Raz"
_@M1469_ "OLC FAI 3 TPs*Predviđena Razdaljina"
_@M1470_ "3TP*Raz"

_@M1471_ "OLC Klasična Brzina"
_@M1472_ "OLC Brz"
_@M1473_ "OLC FAI Triangle Brzina"
_@M1474_ "FAI Brz"
_@M1475_ "OLC League Brzina"
_@M1476_ "LEA Brz"
_@M1477_ "OLC FAI 3 TPs Brzina"
_@M1478_ "3TP Brz"

_@M1479_ "OLC Classic*Predviđena Brzina"
_@M1480_ "OLC*Brz"
_@M1481_ "OLC FAI Triangle*Predviđena Brzina"
_@M1482_ "FAI*Brz"
_@M1483_ "OLC League*Predviđena Brzina"
_@M1484_ "LEA*Brz"
_@M1485_ "OLC FAI 3 TPs*Predviđena Brzina"
_@M1486_ "3TP*Brz"

_@M1487_ "OLC Klasičan rezultat"
_@M1488_ "OLC Rez"
_@M1489_ "OLC FAI Triangle rezultat"
_@M1490_ "FAI Rez"
_@M1491_ "OLC League Rezultat"
_@M1492_ "LEA Rez"
_@M1493_ "OLC FAI 3 TPs Rezultat"
_@M1494_ "3TP Rez"

_@M1495_ "OLC Classic*Predviđen rezultat"
_@M1496_ "OLC*Rez"
_@M1497_ "OLC FAI Triangle*Predviđen rezultat"
_@M1498_ "FAI*Rez"
_@M1499_ "OLC League*Predviđen rezultat"
_@M1500_ "LEA*Rez"
_@M1501_ "OLC FAI 3 TPs*Predviđen rezultat"
_@M1502_ "3TP*Rez"

_@M1503_ "OLC Plus Rezultat"
_@M1504_ "PLS Rez"
