# LK8000 ENGLISH MESSAGES - ENG_MSG.TXT
# MASTER UPDATED:  110102
#
# This file is loaded on startup and all messages are stored internally.
# If you are translating these messages, try to respect sizes.
# The first _@Mn_  are the indexes, and you cannot change them!
#
# Please note that ENG_MSG.TXT is the english master language for LK8000
# and it should always exist. Do not change ENG_MSG.TXT!
#
# All lines that are empty, or starting with a # , are ignored.
# DEVELOPERS ADDING NEW MESSAGES HERE SHOULD REQUEST A NUMBERING SLOT TO PAOLO

_@M1_ " Dife"
_@M772_ "Vel. Ach"
_@M773_ "Vel. Rem"
_@M774_ "Vel. Viento Fuerte "
_@M775_ "Waypoint VIRTUAL"
_@M776_ "Meta Válida"
_@M777_ "Inicio Válido"
_@M778_ "Valores en blanco"
_@M779_ "Variable"
_@M780_ "Vario Negro"
_@M781_ "Vario Verde+Rojo"
_@M782_ "Vario Arcoiris"
_@M783_ "Vario Rojo+Azul"
_@M784_ "Vario"
_@M785_ "Barra del Variómetro "
_@M786_ "Muy Alto"
_@M787_ "Teclas Virtuales "
_@M788_ "Volumen "
_@M789_ "Advertencia"
_@M790_ "tiempo de Advertencia*"
_@M791_ "Advertencia"
_@M792_ "Advertencias "
_@M793_ "Etiquetas de Agua "
_@M794_ "Ola"
_@M795_ "Editor de Waypoints"
_@M796_ "Información de Waypoints"
_@M797_ "Análisis de Waypoints"
_@M798_ "Editor UTM de Waypoints"
_@M799_ "Notas de Waypoints "
_@M800_ "Waypoints"
_@M801_ "Waypoint\nMeta"
_@M802_ "Waypoint\nSiguiente"
_@M803_ "Waypoint\nPrevio"
_@M804_ "Waypoint\nIncio"
_@M805_ "Error en el archivo de Waypoints"
_@M806_ "Waypoints 1 "
_@M807_ "Waypoints 2 "
_@M808_ "Estilo del Texto de Waypoints "
_@M809_ "Waypoints editados"
_@M810_ "Waypoints excluidos, salvar de todos modos?"
_@M811_ "Waypoints fuera del área"
_@M812_ "Pronostico Meteorológico"
_@M813_ "Parámetros de la Meteo"
_@M814_ "Peso"
_@M815_ "Alineado en blanco"
_@M816_ "Blanco"
_@M817_ "Este Waypoint será la Meta?"
_@M818_ "Configuración del Viento"
_@M819_ "flecha del Viento"
_@M820_ "Viento a Altitud"
_@M821_ "Carga del Ala "
_@M822_ "Winpilot"
_@M823_ "Banda útil"
_@M824_ "Waypoint fuera del área "
_@M825_ "Amarillo"
_@M826_ "Si a TODO"
_@M827_ "Si"
_@M828_ "Su código "
_@M829_ "Zombie "
_@M830_ "Zona "
_@M831_ "_Espacio_"
_@M832_ "Agregar Waypoint"
_@M833_ "Auxiliar"
_@M834_ "Termaleo"
_@M835_ "Transición"
_@M836_ "Planeo Final"
_@M837_ "Fuera de los Limites de Área"
_@M838_ "Primeros 8"
_@M839_ "Primeros 10"
_@M840_ "Primeros 12"
_@M841_ "Tamaño de Fuente "
_@M842_ "Fuente Grande "
_@M843_ "Fuente Pequeña "
_@M850_ "PRIMERA SALIDA ABRE EN 1 HORA"
_@M851_ "PRIMERA SALIDA ABRE EN 30 MINUTOS"
_@M852_ "10 MINUTOS PARA SALIR"
_@M853_ "5 MINUTOS PARA SALIR"
_@M854_ "Mapa Activo ON"
_@M855_ "Mapa Activo OFF"
_@M856_ "AutoZoom ON"
_@M857_ "AutoZoom OFF"
_@M858_ "Modo Pan ON"
_@M859_ "Modo Pan OFF"
_@M860_ "Auto MacCready ON"
_@M861_ "Auto MacCready OFF"
_@M862_ "Grabadora ON"
_@M863_ "Grabadora OFF"
_@M864_ "Grabadora NMEA ON"
_@M865_ "Grabadora NMEA OFF"
_@M866_ "Calidad"
_@M867_ "ORBITADOR ON"
_@M868_ "ORBITADOR OFF"
_@M869_ "Dentro de Espacio Aéreo"
_@M870_ "SALIDA"
_@M871_ "Espacio Aéreo cercano"
_@M872_ "Zoom horizontal por 20 Segs."
_@M873_ "DE REGRESO A ZOOM NORMAL"
_@M874_ "Presione la pantalla unos segundos para iniciar..."
_@M875_ "ADVERTENCIA: EL GPS ENVÍA FECHA Y HORARIO INVÁLIDOS"
_@M876_ "Iniciar Grabadora con Declaración"
_@M877_ "Configuración Salvada"
_@M878_ "Notepad"
_@M879_ "EL OBJETIVO A DESAPARECIDO"
_@M880_ "DESBLOQUEAR el Objetivo actual?"
_@M881_ "Selección de Objetivo"
_@M882_ "OBJETIVO LIBERADO"
_@M883_ "OBJETIVO A DESAPARECIDO!"
_@M884_ "DESBLOQUEAR ESTE OBJETIVO?"
_@M885_ "Configuraciones"
_@M886_ "Calc. de Manga"
_@M887_ "Fijar Viento"
_@M888_ "Advertencias"
_@M889_ "Masa"
_@M890_ "No"
_@M891_ "Eliminar Manga anterior y cargar?"
_@M892_ "(Manual)"
_@M893_ "(Auto)"
_@M894_ "ON"
_@M895_ "Forzar"
_@M896_ "Desforzar"
_@M897_ "Auto"
_@M898_ "TODO OFF"
_@M899_ "TODO ON"
_@M900_ "Cargando archivo de Terreno..."
_@M901_ "Cargando detalles de Terreno..."
_@M902_ "Cargando archivo de Topología..."
_@M903_ "Cargando archivo de Waypoints..."
_@M904_ "Computadora Táctica de vuelo"
_@M905_ "Termaleo"
_@M906_ "Transición"
_@M907_ "Manga"
_@M908_ "Personalizado"
_@M909_ "Giro"
_@M910_ "Objetivo"
_@M911_ "A la vista"
_@M912_ "[Sin Destino]"
_@M913_ "Experimental"
_@M914_ "[Sin Objetivo]"
_@M915_ "NO PARA SU USO IFR"
_@M916_ "ADVERTENCIA: SIN ATERRIZAJES!"
_@M917_ "Lat/Lon "
_@M918_ "Lat/Lon"
_@M919_ "LatLon"
_@M920_ "Error cargando archivo de Polar!"
_@M921_ "Cuenta Regresiva"
_@M922_ "NO EN VUELO"
_@M923_ "ERROR DENTRO"
_@M924_ "ERROR AFUERA"
_@M925_ "NO HAY INICIO DE MANGA"
_@M926_ "En el Sector, armar Inicio cuando listo"
_@M927_ "Esperando conexión del GPS"
_@M928_ "Reiniciando los Puertos COM"
_@M929_ "Esperando calcular señal de GPS"
_@M930_ "DESPEGUE!"
_@M931_ "ATERRIZAJE!"
_@M932_ "SOBRE del Planeo Final"
_@M933_ "DEBAJO del Planeo Final"
_@M934_ "Planeo final sobre el Terreno"
_@M935_ "Marcas despejadas"

# TODO - Translate new tokens below, according to the localized manual, if available
